Name,Address,Telephone
Premium Academy,"Kalimati,","00977-1-4277632,9841-757769,"
D. A. V. Rukmini Banarasi Kedia School,"P.O. Box: 43, Birgunj,","522217,,"
Nirvana Academy (English Medium Primary School),"Swoyambhu, Kimdole, P.O. Box: 5728, Ktm,","00977-1-42768262180540,,"
Pennwood Academy,"Sano Gauchar, P.O. Box: 8514, Ktm,","00977-1-44173394418898,,"
Daffodil Boarding School,"Saraswati Nagar,","00977-1-48217234821824,,"
Malpi Primary School,"Baluwatar,","00977-1-44114584426092,,"
Happy Boarding School,"Shiva Marga, Masbar, Pokhara-7,","061-462156,98560-37776,"
Damodar Academy,"VDC-Parikauli-04, Mahoorati, NEPAL,","9816824399,9819635498,"
School of Information Technologies,"Raja Janak Marg, Tinkune ,","01 4117999,9861666678,"
International Airhostess Academy,"Putalisadak ,","014233864,9851163919,"
Happy Boarding School,"10.2 Shiva Marga, Masbar,","061-466214061-462156,9856037776,"
Future Nepal Friendship Organization,"Thamel,","9849056230,9849056230,"
Moonlight English Boarding School,"05 Birgunj, Resham Kothi Birganj 44300,","051-525896,9801010195,"
Kopila Cottage Preschool,"Bishalnagar,","00977-1-4427832,,"
Haru International Academy,"G.P.O. 10697, Naya Bazaar Marg, Sorakhutte-16,","+977 016201954,+977 9801041954+9779841541573,"
Kids Care International Preschool,"Jhamshikhel Latitpur,","015544748015013575,9851017839,"
Tiny Seeds STEM Education,"Nayabazar,","00977-1-4385710,9851242459,"
GLOBAL ACADEMY (OPEN SCHOOL),"Lagankhel, Lalitpur,","01-6201688,9851175318,"
Everest English School,"Mibachhen-2,","+977-1-6611211+977 1-6619662,,"
Gautam Secondary School,"Shreepur -13,","+977-51-520407,,"
Happy Boarding School,"Shiva Marga, Masbar, Pokhara-7,","977-61-462156,977-9856037776,"
Kids Care Inernational Preschool,"Jhamsikhel,","00977-1-5522748. 015013575,9851017839,"
Little Angels' School,"Hattiban, P.O. Box: 8322, Ktm,","+977-1-5251111,,"
LRI School,"GPO: 4081, Ktm, Kalankisthan,","+977-1-5218188+977-1-5218515+977-1-5218170,,"
Premier International IB World School,"Satdobato, P.O. Box: 8975, EPC. 1084,","00977-1-552803200977-1-554984900977-1-5549773,,"
Gyanda Academy,"Ramgharwa,","+977-51-525656,,"
Satyanarayan High School,"8,, Biratnagar Road,","+977-21-522814,,"
Top College in Nepal,"Thamel ,","014432892,,"
Whitefield Higher Secondary School,"Chhetrapati,","+977-1-4251733+977-1-44249538+977-1-44387812+977-1-44274539,,"
Babylon National School,"Shantinagar, Kathmandu-31,","01-410890501-4108973,,"
Damodar Acadmey,"VDC-Parikauli-04, District-Mahottari,","977-9724156599,987386730998440316999816824399,"
SK Home Tuition,"Dhalko,","014265227,9741275761,"
Gadhimai Nepal,"Maha Gadhimai Municipality ,","9824253740,,"
Kanika Nisha Higher Secondary School,"School line, Bijayanagar,","+977-87-520172,,"
Laligurans Batika Secondary School,"Bidhyanagar, (Narephant), Koteshwor, Kathmandu, Nepal,","01-5149347,,"
Sacred Cosmos International Educational Foundation,"Abhiyan Marg, Samakhusi, Kathmandu,","+977-01-4021033,,"
Springdale E. S. B. School,"Libali - 8, Bhaktapur,","+977 1 5122204,+977 9851033696+977 9851139696,"
Toddlers International Pre School (Montessori Based),"Anandapur Boudha, P.O. Box: 1620, Ktm,","00977-1-4914869,,"
GHP School,"Shreepur - 16,","051 - 522131,,"
Gopal Shikshya Sadan,"Battisputali,","00977-1-4471056,9841314206,"
Institute of Solar Technology,"Kalimati,Kuleswor ( Naya Basti ) - 14, Kathamandu, Nepal.,","977-1- 0000000,+977-9841440353,"
Jhapa Model English School,"Damak-13, Jhapa","977(23)580830,,"
Princeton International Higher Secondary School,"Shantinagar,","00977-1-410756441076044107540,,"
St. Paul International School,"New Baneshwor,","00977-1-44945564477081,,"
THREE STAR ENGLISH SCHOOL,"Boudha, Mahankal, Kathmandu,","016201391,+977-9860076164+977-9843456391,"
Pacific Academy,"Shankhamul,","00977-1-478135247831014781602,,"
SIDDHARTHA SHISHU SADAN ENGLISH BOARDING SCHOOL,"Bazar Line,SUNWAL-4,Nawalparasi,","078-570431+977 -9840060488,,"
Trintiy Multi-Solution Pvt. Ltd,"Shantinagar-34, om shanti chowk,","+977-1-4620318,9851007531,"
Prabhat Memorial High School Pvt. Ltd.,"Bhrikutinagar, Nepalgunj-13, Banke,","081-522463,,"
RADS TUITION,"Tinkune ; subidhanagar ; behind kantipur hospital,","+977 9813426875,+977 9813426875,"
Swastika,"kalimati, teku,","01-4244319,9841664724,"
Zenith English Secondary School,"Bafal, P.O. Box: 9610, Ktm,","00977-1-42706974285400,,"
Advanced College of Engineering & Management,"Kupondole,","00977-1-55228525528397,,"
A. J. Wild Institute of Advanced Studies,"Maharajgunj, P.O. Box: 23243, Ktm,","00977-1-441313701-62075954428197,,"
Bablon National School,"Shantinagar, Kathmanmdu-31,","01-410897301-4108905,,"
Childrens Paradise Secondary Boarding School (CPS),"Godawari-4, P.O. Box: 8975 EPC 1669,","00977-1-5560888,,"
CPS Godawari,"Godawari 4,","00977-1-5560818,,"
CPS Higher Secondary School,"Godawari, P.O. Box: 8975 EPC 1669,","00977-1-55608885560818,,"
Einstein Academy,"Mahalaxmi Chowk, P.O. Box: 8975 EPC 719,","00977-1-55308185544739,,"
Gangchen Samling School,"Boudha, P.O. Box: 1620, Ktm,","00977-1-4498869,,"
Ganesh Boarding School,"Changunarayan Municipality - 3, Sundarthali, Jhaukhel, Bhaktapur,","9841042201,,"
Graded English Medium School (GEMS),"Dhapakhel, P.O. Box: 1794, Ktm,","00977-1-50031115003060,,"
Kathmandu Valley College,"Chhauni, P.O. Box: 25129, Ktm,","00977-1-42715624272429,,"
