Name,Address,Telephone
SIPRADI TRADING PVT. LTD.,"Thapathali,","+977 1 4311501+977 1 4311502+ 977 1 4311510,,"
Himal Trade Link Pvt. Ltd.,"lalitpur, Satdobato,","015553931,9805226000,"
G.D.S. Fiber World,"opposit to Dudhfarm chowk,","9841872556,984187255698424010659849721102,"
Global Japanese Used Car Dealer,"Bishalnagar, Kathmandu,","01-4426893,,"
Indrayani Motor Garage,"KhariBot, Vanasthali16,","9810132817,9841454628,"
Club Motors,"Nayabazar-9,","+97761528615,9856025381,"
Kamana Auto Mobiles Pvt Ltd,"Tinkune Kathmandu, Nepal,","015199452,9851078164,"
Suzuki Prabisha Trading Pvt. Ltd.,"Sinamangal, airport, Kathmandu,","014490873,9851170933,"
BikePricesinNepal,"Kalanki,","9860695751,,"
Sasto Auto Parts Nepal,"29 Hotel Marg (Radisson Hotel) Lazimpat,","014005037,,"
DUGAR BROTHERS AND SONS,"Balaju Industries Estate,","+977-1-4362992,,"
Telematics Tech Pvt Ltd,"Sankhamul,","014784728,9802024051,"
ASB International Pvt. Ltd.,"Gattha Ghar,","01-6632560,9851119694,"
Navin Polymer Industries Pvt. Ltd.,"Resham Kothi, Road no. 3,","9802900938,9801026614,"
Yamaha Nepal,"Tripureshwor, Teku Road,","01-4268252,,"
Shree Jagdamba Battery Udhyog,"kupondole,","+977-1-5430996,+977-985-1029232,"
ENERGY AND CONSTRUCTION CO. PVT. LTD.,"Kalanki,","01622018998510180639741106152,,"
Prabidhi International Pvt. Ltd.,"Kamaladi, P.O. Box: 20743, Ktm,","00977-1-44286554437195,00977-9851066466,"
BHAGAWATI CARBIDE IND. PVT. LTD.,"Shiva Arcade,","4241504,,"
Clean Energy Products International,"Bhat Bhateni, P.O. Box: 20465, Ktm,","00977-1-4418568,,"
DHAULAGIRI SOLAR AND ELECTRONICS COMPANY PVT. LTD.,"Balaju,","436537620901099741020731,,"
DUGAD BROTHERS AND SONS,"Kantipath,","4244352,,"
GURANS ENGINEERS PVT. LTD.,"Balaju,","43629924350912,,"
SATYADIP INTERNATIONAL PVT. LTD.,"Ring Road,","+977-1-5188650+977-1-5188480,+977-985-1019390,"
Skytech Enterprises Pvt. Ltd.,"Tengal,","00977-1-44377914437787,,"
Ashok Battery Industries,unknown,"521642,,"
AWAI AUTO TRADING COMPANY,"Jyatha,","42493754249115,,"
Balaji Battery & Components Industries (P) Ltd.,"New Road, P.O. Box: 6653, Ktm,","00977-1-42426734246640,,"
BALAJI BATTERY AND COMPONENTS INDUSTRIES PVT.LTD.,"New Road,","42466404242673,,"
Bhagwati Carbide Industries Pvt. Ltd.,"Basantpur, P.O. Box: 556, Ktm,","00977-1-4241504,,"
BHAJURATNA ENGINEERING AND SALES PVT. LTD.,"Kantipath,","42254904225134,,"
BHAGWATI CARBIBE INDUSTRIES,"Sanihat,","525025540115,,"
Deta Batteries,"Lazimpat, P.O. Box: 286, Ktm,","00977-1-44117864412112,,"
Exide Care Centre,"Teku,","00977-1-4261063,,"
Golden Battery Industries (P) Ltd.,"Khichapokhari (Branch), P.O. Box: 3127, Ktm,","00977-1-42209634221312,,"
GOLDEN BATTERY IND. PVT. LTD.,"Khichapokhari,","42213124241572,,"
HOLDING ASIA INC.,"Old Baneshwor,","44730244477526,,"
Kulayan Battery Industries (P) Ltd.,"H.O: Dharan Road,","+977-1-524791+977-1-523956,+977-1-9852620291,"
Nepal Battery Co. Ltd.,"Balaju, P.O. Box: 3194, Ktm,","00977-1-43509544350909,,"
NEPAL MOTOR CO. PVT. LTD.,"Tripureshwor,","42616734229630,,"
ORBIT INTERNATIONAL TRADE,"Jwalgal, Lalitpur","50112215011231,,"
RISHAV INTERNATIONAL PVT. LTD.,"Basantapur,","42411814243525,,"
SAFU GENERAL TRADING,"Bypass Road,","523987525244,,"
SHREE BALAJI TRADING CONCERN,"Putalisadak,","44239332200520,,"
SOLAR ELECTRICITY CO. PVT. LTD.,"Bagbazar,","42252534227876,,"
SPRINT INTERNATIONAL PVT. LTD.,"Kathmandu,","4441787,,"
Stupa Enterprises,"Putalisadak, P.O. Box: 8975 EPC 5528,","00977-1-423272742458154244507,,"
SUNTECH ENERGY CO. PVT. LTD.,"Kuleshwor,","42827984281995,,"
Volta Batteries (Jwal-Lha Trading House),"Putalisadak, P.O. Box: 2300, Ktm,","00977-1-4437431,,"
Su Shree International Pvt. Ltd.,"Tripureshwor,","00977-1-4218905,00977-9851002346,"
Unicorn,"ajshfakj,","unknown,,"
Ashok Battery Industries,"Balaju,","00977-1-4362019,,"
IMAGE INTEGRATED TECHNOLOGY PVT. LTD.,"Kupandole, Lalitpur","0162258675527064,,"
JWAL-LHA TRADING HOUSE,"Putalisadak,","44374314286595,,"
Kulayan Battery Industries (P) Ltd.,"Kalimati,","00977-1-4278162,,"
S-POWER PVT. LTD.,"Bafal,","428000942863419841214371016222972,,"
SNK PROJECT AIDERS PVT. LTD,"916, KIRTI SHIKHAR TOWER ,","9310459241,9312245331,"
BANGLAMUKHI TRADE CENTER,"Kuleshwor,","0162170954281969,,"
Bhagwati Carbide Industries Pvt. Ltd.,"Main Road,","525025,,"
Golden Battery Industries (P) Ltd.,"Biratnagar (H.0), P.O. Box: 30, Btr,","526708527653,,"
KULAYAN BATTERY INDUSTRIES PVT. LTD.,"Janapath,","524791,,"
Sahara Battery Industries (P) Ltd.,"Sunsari,","581625581708,,"
SHREE KULAYAN BATTERY IND. PVT. LTD.,"Janapath,","524791,,"
ADHIKARI TRADE INTERNATIONAL,"Nepalgunj Road,","52216798580200309848081416,,"
ASIAN TRADE HOUSE,"Pulchowk, Lalitpur","55288579841302228,,"
Baba Power Solution Pvt. Ltd.,"Teku,","00977-1-4233395 9841326857,,"
Battery House,"Balaju,","00977-1-4355772,,"
Bhagwati Carbide Industries Pvt. Ltd.,"Tankisinwari (Fac),","540115,,"
Bhama Battery Works Trade,"Teku,","00977-1-4242137,,"
Bhimsen Auto Electric Workshop,"Banasthali,","00977-1-4351329,,"
B. S. Enterprises,"Birtamod, Jhapa","023-540459,,"
Dakshinkali Traders,unknown,"091-521976,,"
Danfe Motor Battery Works,unknown,"520239,,"
Divya Auto Enterprises,unknown,"527080,,"
Everest Battery Works,unknown,"520356,,"
Everest Motor Battery Co.,"Main Road,","520391520356,,"
EVEREST MOTOR BATTERY WORKSHOP,"Main Road,","520356520391,,"
Gandaki Motor Parts,"Naya Bazar,","520680,,"
GOPAL MOTOR STORE,"Birgunj,","522146,,"
HM Concern,unknown,"580195,,"
J.S. TRADE LINK PVT. LTD.,"Old Buspark,","42417804248654,,"
KALIKA MOTORS BATTERY UDYOG,"Butwal/Bhairahawa,","540771,,"
Kulayan Battery Tatha Marmat Kendra,"Main Road,","521257,,"
KULAYAN BATTERY SALE SERVICE CENTRE,"Pulchowk, Chitwan","522997,,"
M.P. ENTERPRISES,"Butwal/Bhairahawa,","20433169857028160,,"
Nanda Battery Industry,unknown,"540774542775,,"
NEPAL MOTOR BATTERY WORKSHIP,"Adarshnagar,","522328522620,,"
NEW DURGA MOTORS,"Butwal/Bhairahawa,","54026698470240669847036478,,"
Om Sairam Battery Charging Station,"New Road,","00977-1-42637374244186,,"
PARADISE SOLAR TECHNOLOGY,"Nepalgunj Road,","5265219858022754,,"
Pashupati Battery & Chemical Industries,"New Bus Stand,","521697,,"
PASHUPATI BATTERY AND CHEMICAL INDUSTRIES,"New Bus Stand,","521697,,"
Prakash Battery Traders,"Dharmapath,","00977-1-42227204224064,,"
PRAKASH BATTE RY TRADERS,"Dharmapath,","42227204224064,,"
PRATYUSH INTERNATIONAL PVT. LTD.,"Tripureshwor,","42616734229630,,"
RAHIMAFROOZ BATTERIES LTD.,"Bhagawati Bahal,","4424900,,"
Raj Chemical Industries,unknown,"524791,,"
SAMBHAR BATTERY UDYOG,"Birgunj,","521507,,"
Shambhar Battery Udyog,"Parsa,","521507,,"
SHIVA SHAKTI SUPPLIERS,"Milanchowk, Butwal/Bhairahawa","5400449847046172,,"
Shree Kulayan Battery Industries (P) Ltd.,"Janapath Tole,","521039,,"
Shree Kulayan Battery Industries (P) Ltd.,"Sonapur Fac,","540266540116,,"
SIDDHARTHA BATTERY UDYOG,"Milanchowk, Butwal/Bhairahawa","540045,,"
Sunsari Trading Centre,"Dharan Road,","522706,,"
SUNRISE ELECTRONICS,"Butwal/Bhairahawa,","546499,,"
SUN-WAVE TECHNOLOGY,"Birgunj,","5233249858022784,,"
TRI SHAKTI GROUP ENTERPRISES,"Kakadvitta, Jhapa","98426352349842625395,,"
