Name,Address,Telephone
New Muktinath Traders and Suppliers,"Baidhyakhana Road, anamnagar-32 ,","014770967014770203,9851023378,"
Nepal kagaj stationery,"Yangal Colony, Yangal Chowk To Jaisidawal Road Purano Badhkeko Durbar, Near Om bhal,","42588034250181,9808167207,"
Samyak International Pvt Ltd,"Bhaktapur,","unknown,9849825407,"
Apollo Paper And Allied Industries,"Tinthana, Chandragiri,","9851109786,9851079385,"
EP PUBLICATION (P) Ltd,"Sukkhanagar-10, Butwal,","071 550 939,98570 38939,"
EVEREST PAPER MILLS PVT. LTD.,"Pyukha, New Road, P. O. Box 2332,","+977â1 â225428+977â1 â240934+977â1 â240935,,"
Reliance Paper Mills P. Ltd.,"2nd Floor, Prasiddhi Tower Pulchwok,","+977-1-5970970,,"
Sharaswoti Paper & Printing Pvt. Ltd.,"Jorpati, Kathmandu,","9851336159,9849037393,"
NEPALI PAPER PRODUCTS PVT. LTD.,"Sitapaila,","+977015140706,9851089338,"
Eco Green Fibers industries Pvt.Ltd,"Basamadi,Hetauda-28, Nepal,","+977-526790057-411127,+977-9845027341,"
NOVA Lineographic Industry Pvt.Ltd,"Hetauda-28, Makawanpur, Narayani, NEPAL,","+977-57-526790,+977-9851030833,"
BIRAT COPY UDHYOG,"kathmandu, 7 , chabahil,","4484565,9841239119,"
Himalayan Paper Works,"Kamal Binayak, P.O. Box: 12260, Bkt,","00977-1-6613344,,"
Bagmati Paper Industries Pvt. Ltd.,"Sinamangal, P.O. Box: 11362, Ktm,","00977-1-44910804499554,,"
BAGMATI PAPER INDUSTRIES,"Sinamangal,","44910804499554,,"
Bharath Paper Conversions,"40, 5th Cross, Bharathi Park Road Coimbatore 641 043, TamilNadu, India","+91-422-2438346424210024412232441805,,"
Krishna paper products,"maisthan, road no. 2,","0097751521543,009779812285891,"
NEPAL TRADITIONAL CRAFTS PVT. LTD.,Lalitpur,"55279165523608,,"
Tibetan Handicraft & Paper Pvt. Ltd.,"Kapan, P.O. Box: 10527, Ktm,","00977-1-482072898510884829851006243,,"
Tibetan Handicraft Industry,"GPO: 10527, Ktm, Dhumbarahi,","44107444414114,,"
TIBETAN HANDICRAFT AND PAPER PVT. LTD.,"Kapan,","482004448207289851006243,,"
Raja Paper Crafts,"Thamel,","00977-1-4250828,00977-9841203713,"
JAMARKO PAPER RECYCLING,"Galkopakha, Kathmandu, Nepal,","014351050015529495,,"
Pooja Paper Industry,"Gothatar, P.O. Box: 23103, Ktm,","00977-1-4991204016911875,00977-9851019542,"
VIEWS AND PAPERCRAFT,"Kupandole, Lalitpur","2111135,,"
Ashoka Carbon & Allied Industries (P) Ltd.,"Indra Chowk, P.O. Box: 1011, Ktm,","00977-1-422612342280334800017,,"
CLEAN COMBUSTION LTD.,"Navrangpura, Ahmedabad","91-79-2640285526405068,,"
HATLE UDYOG PVT. LTD.,"Sitapaila,","4274012,,"
KANTIPUR COPY UDHYOG,"Kupandole, Lalitpur","211049255554179851090908,,"
Lotus Paper Crafts (P) Ltd.,"Balaju, P.O. Box: 8333, Ktm,","00977-1-4350812,,"
LOTUS PAPER CRAFTS PVT. LTD.,"Machhapokhari,","4350812,,"
Marina Paper,"P.O. Box: 10981, ktm,","00977-1-4416968,,"
Nepal Paper Crafts Pvt. Ltd.,"Bagbazar, P.O. Box: 3423, Ktm,","00977-1-42317294231614,,"
Nepali Paper Product (P) Ltd.,"Swoyambhu, P.O. Box: 6750, Ktm,","00977-1-427401242814594284524,,"
NEPAL TENT AND TARPAULIN PVT. LTD.,"Balaju,","435653343566014350831,,"
