Name,Address,Telephone
R. C. Agro House,"Golfutar,","4370549986-1608199,,"
Shreenagar Agro Farm Pvt. Ltd.,"Bagmati,","540160+97714412406,,"
Probiotech Industries Pvt. Ltd,"KUK Building- 3rd Floor Sinamangal-10 P.O. Box 5751,","+977-1-4567791+977-1-4567792+977-1-4567793+977-1-4567794,,"
PRANAM INTERNATIONAL,"Kalimati,","42770219851052097,,"
National Agriculture & Forestry (P) Ltd.,"Pulchowk,","00977-1-5534428+97714785842,,"
Durga Beej Bhandar,"Chhireshwornath-5, Dhanusha, Nepal,","041-540238,98078249639844021145,"
Bindabasini Metal Industry,"Devdaha-4,Bijayapur,Nepal,","9857057296,9821578557,"
Shree Ganesh Krishi and Machinery House,"Pritivi Raj Marg, Near Central Bus Stand, Bharatpur, Chotwan, Nepal,","00977-56-527401,9845307251,"
NANDANI AGRO INDUSTRIES PVT LTD,"Padsari-4,","+97771429293,+9779802679940,"
GK&CO.KUKRI HOUSE,"Thamel-29,","977-1-4351393,977-9851015547,"
Sagar Poultry Breeding Farm and Hatchery,"sallaghari katunje-6kha,","+977-1-6611493,+977-9851024371,"
Adam Tribe Organic Farm Pvt. Ltd.,"Pakhure, Makanpur , Ghadichhina , Kaski , Ghandichok 8,","9856034795,9808483777,"
Divya Suppliers and Distributions,"Bhotebahal,Kathmandu,","9851065580,9823155942,"
Kirloskar Generators Sterling Sales Co. Pvt. Ltd.,"Naxal, Kathmandu,","00977-9801333777 / 9721337777,00977-1-4443952,"
"The Beekeeping Shop, Beekeeping & Research Centre","Manbhwan, 2546 The Beekeeping Shop, Patan, Lalitpur-5, P.O. Box: 12780, Ktm (shifted from Kumaripati),","+97715547278,,"
New DK Suppliers,"Min Bhawan, Shanti Nagar Gate,","014622158,98510815589851075905,"
The Beekeeping Shop,"Manbhawan, Lalitpur, P.O. Box: 12730, Kathmandu,","00977-1-5547278,,"
Biocomp Nepal,"Khokana, Lalitpur,","+977 1-6923275,9802054440,"
Universal Breeding and Research,"Naraha-5, Siraha,","009779845333986,9814209401,"
Swabhiman Agro Farm,"Kanipokhari Gaun Palika,","9843102588,9800990158,"
A.K. Enterprises,"Chandrauta,Kapilvastu,Nepal","076540117,,"
Annapurna Aroma,"naya baneswar ,","+97714107655,+9779841985608,"
Mahalaxmi Solvent & Refinery Pvt. Ltd.,"Triveni Complex,","00977-1-22397984248732,+977-98011564119801082759,"
AeromaX Poultry Equipment,"Tahachal Soeltee hotel Back gate,","+977-1-4038305,,"
CA Construction and Consultancy P Ltd,"Sitapaila Kathmandu,","9801067615,9801067615,"
Faiz International,"Anchalpur-8, Bhairahawa,","071573834,9857010387,"
LGC,"Kathmandu Nepal ,","9842536987,9842536987,"
National Organics Pvt.Ltd,"Shree Saibaba Road-1,HSE-27,Balaju Height,Kathmandu,Nepal,","97714359612,9779851026965,"
Nepal Dairy Association,"New Baneshwar, Thapagaon,","+977-1-5244482,,"
Nimbus International Co. Pvt. Ltd.,"KUK Building- 3rd Floor Sinamangal-10 P.O. Box 5751,","+977-1-4567791+977-1-4567792+977-1-4567793+977-1-4567794,,"
Om Chabo Biro Feed Industries Pvt. Ltd.,"401, 4th Floor, Central Business Park Thapathali,","+977-1-4101670+977-1-4101671+977-1-4101672+977-1-4101673+977-1-4101674,,"
Riddhi Siddhi Chemical Traders,"Kathmandu, Nepal,","+977-1-5107118,+977-9851120308+977-9851240308,"
THE WAVES GROUPS TRADING PVT. LTD.,"Kapurdhara Marg 140, Lainchaur,","442726444104234410435,,"
SEAN Seed Service Center Ltd.,"Thankot, P.O. Box: 13784, Ktm,","00977-1-4310245,,"
YETI LAND BABU KAJI'S KNITWEAR,"Thamel,","42208414261132,,"
Grapple Arch Mines and Minerals,Jaipur Rajasthan - India,"+91 9351131834,+91 9351131834,"
Greenplus Energy & AgroTech Industries P.Ltd,"Millanchowk 10,","+977-071-229553,+977-9857030446,"
Greenplus Energy & AgroTech Industries P.Limited,"Millanchowk 10,","+977-071-229553,9857030446,"
Kharel Veterinary Store,"Thana Road ,","023580290,9802670037,"
New sangam poultry farm,"Devinagar, Rupandehi,","+977-71-410187+977-71-410196,,"
Agricultural Technology Centre (ATC),"Lane-2, Jwagal 10, Lalitpur,","+977155259565522755,,"
kabitaMobileCentre,"nagarpalika chowk,damak-11,jhapa,nepal,","023585861,98427919009804842888,"
PANCHKHAL BEEJ BHANDAR,"Panchkhal ,","011499299,,"
VemaTRACK,"Kathmandu,","7022789591,7022789591,"
Baral Feed Industries,"Pardi Birauta-17 Pokhara,","+977 61-450828,+977-985-6071024,"
Booster Feed Industry Pvt Ltd,"Opposite to Hotel Pauwa, Jogikuti,","+977-71-438287,+977-980-2620845,"
Brothers Meat Product And Sales Pvt. Ltd.,"Lekhnath-3, Budhibazar,Kaski,","061206697,9816639615,"
Dahal Trading Concern,"M8V8+446, Tripura Marg,","+977-1-4260751,+977-980-1978833,"
ADHUNIK POULTRY FEED PRODUCT PVT. TD.,"Balaju Industrial State, Bohoratar road,","+977-1-4355550+977-1-4351862,,"
CHAMUNDA TAR JALI AND STEEL FABRICATOR PVT LTD,"TINDOBATO BANKEPA,","9801058221,9851008549,"
