Name,Address,Telephone
Nepgeeks Technology,"Putalisadak Kathmandu,","9869178426984-3026054,9869178426,"
Shera Sherpa Adventures,"Post Box - 3417 Kathmandu, Nepal,","977 980816038000977984382313,977 9808160380,"
Core Dreams Innovations Pvt Ltd,"Tikhedewal,Bishalchowk,Lalitpur.44700,","015543015,,"
NepalLink Network Pvt. Ltd.,"Khusibu,","00977-1-42608222296776+977 1 5525877,,"
KlientScape Pvt. Ltd,"Gairidhara,","98020005929808362580+977 1-4425513,,"
S. W. Nepal Pvt. Ltd.,"89 Krishna Dhara Marga Maharajgunj, Kathmandu, Nepal,","4411156,9813983367,"
Target Consultants Human Resources Pvt. Ltd.,"Lazimpat,","00977-1-4005039+977 014478737,00977-9851079010,"
Techmind Solution,"Babarmahal,","977-1-4102299+977 1 4102213,977-1-41022134102239,"
Sagarmatha Insurance Company Ltd.,"Chippledhunga,","061-535037+977-1-452904,977-9846219262,"
Solutions Consultant,"Thamel, P.O. Box: 8974 CPC 281,","00977-1-42242464269008+977-1-4001095,,"
Alignstech (P). Ltd.,"Anamnagar, P.O. Box: 1818, Ktm,","00977-1-62083592041825+977 1-4350441,,"
Elance Digital Media Pvt Ltd,"Bhimsengola,","977 981-8097976+9779843210144,,"
Agile Solutions Pvt. Ltd.,"Nil Saraswati Marga, Gairidhara, Kathmandu, Nepal,","01-400478901-4004790,,"
Himalayan World Wide Educational Consultancy,"4th Floor of Himalayan Bank, Opposite to, BICC Hall, (South Gate ) New Baneshwor, Kathmandu 44600, Nepal,","+977 1-4785685,,"
Greentick Nepal (P) Ltd,"4th Floor, Mahalaxmi Complex, Minbhavan, Kathmandu, Nepal,","+977-1-4620741,,"
Til Ganga Eye Centre,"Gaushala, Bagmati Bridge P. O. Box # 561,","+977-1-597 0048,,"
Landmark HR Consultant,"Maitidevi, Kathmandu,","01-4390092,9813054004,"
MANAGEMENT SUPPORT SERVICE PVT. LTD.,"Kathmandu,","42714304271157+977-1-4276129,,"
Kantipur Management Private Limited,"Lagankhel-19, Lalitpur, Nepal,","+977 1 55305995532572,9801800020,"
Vigorous IT Solution,"Chhorepatan-17, Pokhara 33700, Nepal,","061460932,9816162802,"
Divya Mantra Saving And Credit Co-operative ltd.,"KatyayaniChowck,Baneshwor Kathmandu,Nepal,","977-01-41091534109053,9851065580,"
Thrive Management Advisory Solution P. Ltd,"Shantinagar, New Baneshwor, Kathmandu, Nepal,","009779851151675,009779801151675,"
Jagdamba Enterprises Pvt Ltd,"Jeetpur,","Head office - 051-534441/2Factory - 053-412255/77,9841347315,"
Raj Sharma Traders and Consulting Agency Pvt Ltd,"Lazimpat,","+977014426258,+9779813920555,"
K. K. Outsourcing Pvt. Ltd.,"Babarmahal, Kathmandu,","01-5707166,,"
United Finance Limited,"Bharatpur Chitwan,","056-572028571714571520,984182313498510079489849098923,"
Zenith Business Consultancy,"New Road,","9817727325,9817727325,"
BRSS & ASSOCIATES | Chartered Accountants,"4th Floor, Everest Bank Building, Bagdole, Lalitpur, Nepal,","+977-16226783,9862839459,"
KCL Astute Capital Ltd.,"Hattisar-1,","0977-01-44291494429150,9851200676,"
"T. Karki & Associates, chartered Accountants","Awati Marg, Putalisadak,","014232213,9801080031,"
Green Tick Nepal Pvt. Ltd.,"4th Floor Mahalaxmi Complex Prayag Marg Minbhavan Nepal,","01-4620741,,"
Adex International,"Bagmati,","+977 9801832778,,"
Bitsbeat,"Bagmati,","+977 9808588164,,"
Curl Labs,"Bagmati,","+977 -984-1027948,,"
Elscript Technology Pvt Ltd,"Bagmati,","+9779818439664,,"
