Name,Address,Telephone
Himal Hydro & General Construction Ltd.,"Bhanimandal, P.O. Box: 12268, Ktm,","00977-1-5000032+977 1-5555977,,"
Essel-Clean Solu Hydropower Pvt. Ltd.,"P.O. Box: 24773, Ktm,","00977-1-4264827,,"
Devendra Shrestha and Associates,"Ekantakuna, P.O. Box: 458, Ktm,","00977-1-5555399,00977-9813695488,"
Real Time Solutions Pvt. Ltd,"Dhobighat, Jhamsikhel, Kathmandu,","5538687,9801074963,"
D.P.ENGINEERS,"A-12,LGF, Pandav Nager Complex, Ganesh Nager, Near Aggarwal Sweet, Delhi-110092 ,","9811065204,9871014210,"
Naxalaya Pvt. Ltd.,"Jhamshikhel chowk,","05527517+977 14416543,9849102008,"
Nepal sunbrella awning pvt ltd,"Koteshwor Madhevsthan Marga Kathmandu,","014600911,98520596629828751888,"
Aiden Engineering Pvt. Ltd.,"Dillibazar-33,","016207568,9843715705,"
Kirloskar Generators Sterling Sales Co. Pvt. Ltd.,"Naxal, Kathmandu,","00977-9801333777 / 9721337777,00977-1-4443952,"
PCT,"Swayambhu, Kathmandu,","9818952881,9818952881,"
Pumori Engineering Services Pvt. Ltd.,"Basanta Marg-351, Babarmahal, KMC-11, Kathmandu,","00977-1-4216034/42399839851104112,00977-98511096179851006427,"
PrefabhomesNepal,"Charkhal, Dillibazar, Kathmandu, Nepal,","01-6207568,9843715705,"
Himal Engineering And Power Concern,"Udayapur,","+9779852835025,+9779852835025,"
North Engineering Company P Ltd,"Maina Nagar,","071-5501819857020664,98570341819857034182,"
Pokhara Industrial Automation Engineering,"Shantinagar Tole, Hariyali Marga,","+977 9841260542,,"
Marsyangdi Engineering Consultant and Construction,"Banasthali, Kathmandu,","9810044118,9810044118,"
WOW Pvt. Ltd.,"Pashupatiroad-33, Gyaneshwor,","014435195,9841524047,"
Jirel Electronics,"Dhobhighat, Kathmandu,","9813821252,+9779848864762+9779803045545,"
Mathema and Partners Pvt Ltd,"Sanepa, Lalitpur,","00977-1-5422579,,"
AB'S ENGINEERING CONSULTANCY PVT. LTD.,"Mahendra Pool,","(977) (61) -537300536377,9856022049,"
Cemat Consultants (P) Ltd.,"Kupondol Road,","+977 1-4434694,,"
Mastermind Engineering Consultancy,"Yeti Plaza,Bagbazar,","00977-1-4248199,+977-9851127076+977-9841469226,"
Smart Prabidhi Pvt. Ltd,"Padam Road, Power House,","+97751525771,+9779802940006+9779802940005+9779802969093+9779802969094,"
NORTH ENGINEERING COMPANY PVT. LTD.,"Kalikapath, Butwal,","+977-71-550181,,"
Adept Engineers,"Bandipur-06, Tanahun Nepal,","9841973033,9803800458,"
East West Engineering Service Pvt. Ltd.,"Bansbari, P.O. Box: 8621, Ktm,","00977-1-4373316,,"
Himalaya Urja Bikash Co. Pvt. Ltd.,"Subhidanagar, Tinkune, Kathmandu,","00977-1-4487793,,"
Silt Consultants (P.) Ltd.,"Ratopul, Gaushala, Kathmandu, Nepal, P.O. Box: 2724.,","+977-1 44875984475139,+977-9851153061,"
EAST CONSULT PVT. LTD.,"Lazimpat,","4412062,,"
Nepal Ekarat Engineering Com.Pvt.Ltd,"Thana bharayang,","unknown,,"
Machhapuchhre Consultancy (P) Ltd.,"BP Marg, Newroad, Pokhara-9, Nepal,","521622,9856018463,"
Vijaya Engineering (P) Ltd.,"Vijaya Engineering Pvt. Ltd.,","061-531134,958560-2229598461-53411,"
