Name,Address,Telephone
Global Eye Centre,"Near SBI Bank, Battisputali, Kathmandu, Nepal,","014469050,9843393583,"
Visual Line Opticals Contact Lens & Eye Clinic,"Bansbari road, Narayan Gopal Chowk, Kathmandu, nepal,","9860344968,9860344968,"
Jamal Drishti Eye Care Center and Optical,"Viswojyoti Mall,Ground Floor,Jamal ,Kathmandu,","014223655,9860050096,"
Rachana Eye Care & Optical,"Rapti Road, Hetauda, nepal,","9745080770,9855020517,"
citi eyewears,"Chakku Bakku Mandir Marg. Opposite to BICC. New Baneshwor. Kathmandu, Nepal.,","unknown,9841687596,"
Vision First Opticals & Eye Clinic,"Narayangopal Chowk, Maharajgunj, Kathmandu, Nepal,","00977-1-4011507,9860344968,"
London Optician (Eye & Contact Lens Clinic),"Tripureshwor, P.O. Box: 12771, Ktm,","00977-1-4244589,00977-9841241266,"
Tuladhar Brothers & Sons,"Ason, P.O. Box: 2936, Ktm,","00977-1-4257422,,"
Sagarmatha Eye Care & Optical Centr,"Birendra Bazar -3 Dhanusha ,","9849098855,9804756754,"
Central Opticals,"New Road,","00977-1-42633795540576,00977-9841250512,"
Dynamic Opticians,"New Road, P.O. Box: 2936, Ktm,","00977-1-4257422,,"
Manakamana Opticals,"Ratopool, P.O. Box: 15142 KPC 232,","00977-1-4424041,,"
Optic Eye Centre,"Bagbazar, P.O. Box: 2936, Ktm,","00977-1-4220863,,"
Optic Palace,"Jamal,","00977-1-4226673,,"
Paradise International,"New Road, P.O. Box: 3097, Ktm,","00977-1-4241388,,"
Gupta Impex,"New Road,","00977-1-42469964222845,,"
Lenscraft Optical & Contact Lens Clinic,"New Road, P.O. Box: 5922, Ktm,","00977-1-42509024242618,,"
"Lenscraft, Opticals & Contact Lens Clinic","Jamal, P.O. Box: 5922, Ktm,","00977-1-42695494246933,,"
LENSCRAFT THE OPTICAL SHOP,"Khichapokhari,","42426184250902,,"
National Optical,"New Road,","00977-1-4222917,,"
National Optical & Contact Lens Clinic,"New Road,","00977-1-4222917,,"
NATIONAL OPTICAL AND CONTACT LENS CLINIC,"Khichapokhari,","4222917,,"
Nemkul Chasma Ghar,"Manbhawan,","00977-1-5533406,,"
Nepal Optical Production,"Mahankalsthan,","00977-1-4220126,,"
New Chasma Ghar,"Maitidevi,","00977-1-4438999,,"
New Road Optical House,"New Road,","00977-1-4266065,,"
Ocean Optics,"Bangemudha, P.O. Box: 2417 HTC 100,","00977-1-4226194,,"
Optic Gallery,"New Road,","00977-1-4232287,,"
Optic Nepal,"Pulchowk,","00977-1-5549623,,"
Opticare,"Pulchowk,","00977-1-552115255350414258442,,"
Ritu Optics,"New Road, P.O. Box: 3293, Ktm,","00977-1-4258268,,"
Shree Ganesh Optical Shop,"Tripureshwor, P.O. Box: 5469, Ktm,","00977-1-4261185,,"
New Optics,"New Road,","00977-1-4231268,,"
Shyambala Trade Concern,"Suraj Arcade,","00977-1-42280444228331,,"
Anant Optical Works,"Tripureshwor,","00977-1-4267186,,"
Balaju Optical & Contact Lens Clinic,"Balaju,","00977-1-2073156,,"
Bhagwan Traders,"Bagdurbar,","00977-1-4268454,,"
Birat Optical House,unknown,"522357,,"
Blown Vision Care Centre,"Boudha,","00977-1-4485632,,"
Buddha Optical Centre,"Galkopakha,","00977-1-4356818,,"
C.F. STORE,"Indrachowk,","4223392,,"
Chandeshwari Optical House,"Maharajgunj,","00977-1-4720560,,"
Chasma Ghar,"Kupondole,","00977-1-5521687,,"
City Chasma Ghar,"Minbhawan,","00977-1-2042303,,"
Clear Vision Optical,"Kumaripati,","00977-1-2120490,,"
CONTACT LENS AND OPTICAL CENTER,"Jamal,","4242006,,"
Diamond Optical Center,"Pulchowk,","00977-1-5551549,,"
Dibyadristi Opticals,"Tripureshwor,","00977-1-4267671,,"
Diksha Chasma Pasal,"Tripureshwor,","00977-1-20113129851059813,,"
Divya Jyoti Chasma Ghar,"Gausala,","00977-1-4493256,,"
Ekta Optical,"Maharajgunj,","00977-1-4446030,,"
Everest Optical,"Tripureshwor, P.O. Box: 335, Ktm,","00977-1-4258356,,"
EVEREST OPTICALS,"Tripureshwor,","4258356,,"
4 Eyes Optical,"Chhetrapati,","00977-1-42624799851044242,,"
Eye Care,"Mahendra Pool,","524717526397,,"
Eye Care Optical & Contact Lens Clinic,"Chhetrapati,","00977-1-42589659851053067,,"
Eye Care Opticals,"Maharajgunj,","00977-1-4721548,,"
Fewa Optical House,"Chipledhunga,","528974,,"
Gandaki Chasma Ghar,"Mahendrapool,","535080,,"
Ganesh Optical Center,"Tripureshwor,","00977-1-4261185,,"
Gopi Krishna Optical Shop,"Pulchowk,","00977-1-5544125,,"
GYANWALI CHASMA PASAL,"Hospital Line, Butwal/Bhairahawa","541240,,"
Harati Opticals,"Chhetrapati,","00977-1-4251478,,"
Janaki Opticals,"Tripureshwor,","00977-1-4253268,,"
JGS Eye Care Centre,"Teendhara,","00977-1-4247956,,"
Kantipur Optical,"Tripureshwor,","00977-1-4261876,,"
Kathmandu Chasma Ghar,"Old Baneshwor,","00977-1-4480371,,"
Kathmandu Opticals,"Sinamangal,","00977-1-4480583,,"
Kathmandu Optical,"Sinamangal,","4480583,,"
Kirtipur Optical Centre,unknown,"00977-1-4331182,,"
Korean Chasma Pasal,"Mahalaxmisthan,","00977-1-9841741829,,"
Lalitpur Chasma Ghar,"Lagankhel,","00977-1-55360559851069987,,"
Mahalaxmi Chasma Pasal,"Lagankhel, P.O. Box: 8975 EPC 1797,","00977-1-5536218,,"
Manjushree Opticals,"New Road,","533322,,"
Metro Opticals & Eye Clinic,"New Baneshwor,","00977-1-2040123,,"
Model Optical,"Sukuldhoka,","00977-1-6613360,,"
Moon Optical Centre,"Kalimati,","00977-1-42831734301676,,"
Namrata Medical Hall,"Kamalpokhari,","00977-1-4438528,,"
Namuna Eye Care,"Lagankhel,","00977-1-55293909851065108,,"
National Chasma Ghar,"Rangeli Road,","521334,,"
NAWDURGA CHASHMA PASAL,"Narayangadh, Chitwan","5271009845087425,,"
Naxal Chasma Pashal,"Naxal,","00977-1-4435410,,"
Nemkul Optical & Watches,"Jawalakhel,","00977-1-5551923,,"
Nemkul Optical Centre,"New Road,","00977-1-422039342312684253966,,"
Nemkul Optical Centre,"Tripureshwor,","00977-1-2011366,,"
Nemkul Optical House,"Gabahal, P.O. Box: 215, Ltp,","00977-1-5551923,,"
Nepal Chasma Ghar,"Chipledhunga,","530776524317,,"
Nepal Optical Concern,"New Road,","00977-1-42636714230255,,"
Nepal Optical House,"New Road,","00977-1-4263671,,"
New Himalayan Optical Shop,"Dillibazar,","00977-1-4421596,,"
New Optic Nerve,"New Road, P.O. Box: 7046, Ktm,","00977-1-4247556,,"
New Sakura Chasma Pasal,"Kamalpokhari,","00977-1-44259659841387723,,"
New Tamrakar Opticals,"Dillibazar,","00977-1-4435410,,"
New Tilganga Chasma Center,"Gausala,","00977-1-4460116,,"
Om Chasma Ghar,"Tripureshwor,","00977-1-4258356,,"
Om Sai Opticals & Watch Service,"Kalimati,","00977-1-4288731,,"
Optical Centre,"Chhetrapati,","00977-1-4265506,,"
Opto Lens,"Jamal,","00977-1-42432524250984,,"
OPTIC NERVE,"Khichapokhari,","4247556,,"
OPTICAL ZONE,"Khichapokhari,","4150164,,"
Parbat Opticals,"Tripureshwor,","00977-1-42611814253107,,"
Patan Optical House,"Gabahal,","00977-1-55334995550559,,"
Pokhara Optical Center,"Mahendra Pool,","521662523020,,"
Poonam Opticals,"Chhetrapati,","00977-1-4251537,,"
Potala Opticals,"Boudha,","00977-1-4496054,,"
Raj Chasma Pasal,"Tripureshwor,","00977-1-4262087,,"
Rajesh Optical Centre,"Tripureshwor,","00977-1-4261995,,"
Royal Enterprises,"Makhan Tole,","00977-1-4220184,,"
ROYAL OPTICALS CONCERN,"Indrachowk,","4222845,,"
Sakura Eye Clinic,"Tripureshwor,","00977-1-4260413,,"
Shahi Opticals,"Paknajol,","00977-1-4216397,,"
Shakya Optical Works,"Ason,","00977-1-4250984,,"
Silwal International Pvt. Ltd.,"New Road, P.O. Box: 3041, Ktm,","00977-1-4223136,,"
Smyle Optical,"Mahendrapool,","530720 Ext 259,,"
Soniya Optics,"Tripureshwor,","00977-1-4266824,,"
Student Optical,"Putalisadak,","00977-1-4229519,,"
Surya Opticians,"Ombahal,","00977-1-4216874,,"
Tamrakar Optical,"Kalimati,","00977-1-4274196,,"
THE OPTIC HOME,"Asan,","4250313,,"
