Name,Address,Telephone
NATIONAL ALUMINIUM FABRICATOR,"Teku Marg,","unknown,+977-984-1910496,"
Rajshree Emporium p.ltd.,"satungal,","015108055,98434639119851100668,"
Bindabasini Metal Industry,"Devdaha-4,Bijayapur,Nepal,","9857057296,9821578557,"
Azad Metal engineering Pvt. ltd,"balkhu ,","014036232,+9779823087617,"
Kshamadevi Building Material Pvt Ltd,"Kaushaltar bHAKTAPUR,","9841309009,9841309009,"
Amatya Tar Jali and Steel Fabricator,"P8RJ+F9W, Chakrapath,","+977-1-4387227,+977 9851090155+977 9801090155,"
Vaultarmor Industries Pvt Ltd,"Kalanki NBTC,","9815282611,,"
Glass Guard,"K-3/78 Budhnagar, New Baneshwor,","+977-1-5902536+977-1-4780022,+977-980-8976094,"
Nepal Mirror Glass Udhyog,"Satungal,","01-51080555108026,9851100668,"
NEW KALPANA TRADERS,"dallu kathmandu,","015007571,9841917909,"
Windor UPVC Industries - Best UPVC in Nepal,"Zero Kilometer, Malepatan,","+977-61-525771,+977-981-3183405,"
RIDDHI SIDDHI HARDWARE,"Bhotaybahal ,teku . ,","01-4267547,98042812529845234308,"
Yala Dhoka Enterprises,"Jwagal, Lalitpur,","01-5556033,+977-9841860635,"
JSS Aluminum Suppliers,"Teku road,","014247923014254791,9841910496,"
Glazetech Pvt Ltd,"Kaushaltar,","01 6631660,9802012228,"
SKY LIGHT PVT. LTD.,"Naxal,","44238514415209,,"
Altech Private Limited,"Gyaneshwor, P.O. Box: 53, Ktm,","00977-1-44118654411900,,"
Durge Shree Furnitures,"Kamalpokhari,","00977-1-4422436,00977-9851072105,"
Sky Light (P) Ltd.,"Naxal, P.O. Box: 4600, Ktm,","00977-1-44238514415209,,"
Altech Private Limited,"Thimi (Fac.), P.O. Box: 1804, Ktm,","00977-1-6630308,,"
Aluminium Composite Panel,"Balwatar,","00977-1-4420156,,"
Aluminium Partition Panel,"Balwatar,","00977-1-4420156,,"
Engineering Construction,"Dhapasi,Kathmandu,","9843692991,9843692991,"
Alternative Profile Co. Pvt. Ltd.,"Bansbari, P.O. Box: 1449, Ktm,","00977-1-437358443717894371381,,"
Comfortable Aluminium Technology,"P.O. Box: 6647, Ktm,","00977-1-433360243308692022386,,"
Everest Aluminium Pvt. Ltd.,"Jayabageshwori, P.O. Box: 20731, Ktm,","00977-1-44837344488522,,"
Ganesh Aluminium Structure,"Sanepa, P.O. Box: 8975 EPC 1318,","00977-1-554517398510488269851048944,,"
MEGATECH FURNISHING AND INTERIOR,"Main Road,","532000,,"
National Institute for Technical Studies,"Kushunti,","5551874,,"
Karuna Interior Pvt. Ltd.,"Gairidhara,","00977-1-443458140005274434181,00977-9851022732,"
Karuna Interior Pvt. Ltd.,"Dillibazar, P.O. Box: 11720, Ktm,","00977-1-4434181,00977-9851022732,"
Twenty First Nepal Pvt. Ltd.,"New Baneshwor,","47842804784276,,"
The Dreamland,"Hanumandas Road,","532613531927,,"
B. K. Alluminium & Steel Works (P) Ltd.,"Koteshwor, P.O. Box: 20415, Ktm,","00977-1-46004724602759,00977-9851066768,"
KBSAM ALUMINIUM IND. PVT. LTD.,"Adarshnagar,","533641527228,,"
AARTI IMPEX,"Khichapokhari,","4241698,,"
Absu Nepal Pvt. Ltd.,"Dhobighat, P.O. Box: 20415, Ktm,","00977-1-20512525555061,,"
Agrani Aluminium Pvt. Ltd.,unknown,"053-520070520294,,"
Agrani Aluminium Pvt. Ltd.,"Ganabahal, P.O. Box: 353, Ktm,","00977-1-4231911425000198510 61163,,"
Alcon Aluminium Concern (Pvt.) Ltd.,"GPO: 5033, Ktm, Baneshwor,","4494207,,"
AL-TECH PVT. LTD.,"Gyaneshwor,","441190044118654426929,,"
Aluminium Architect (P) Ltd.,"Shantinagar, P.O. Box: 2087, Ktm,","00977-1-4478222,,"
Aluminium Concern (Pvt.) Ltd.,"Baneshwor, P.O. Box: 5033, Ktm,","00977-1-4494207,,"
ALUMINIUM ARCHITECT PVT. LTD.,"New Baneshwor,","46207224621492,,"
Annapurna Aluminium Engineering Industry,"GPO: 1824, Ktm, Sanepa,","5528685,,"
BALAJU YANTRASHALA PVT. LTD.,"Balaju,","43501474350894,,"
Binod Metal Industries,"Hiti Durbar, P.O. Box: 2342, Ktm,","00977-1-4435185,,"
Doors 'n' Windows,"Kupondole, P.O. Box: 4361, Ktm,","00977-1-424633155450299851057284,,"
HANUMAN METALS PVT. LTD.,"Putalisadak,","44111874412268,,"
Kantipur Aluminium Associates Pvt. Ltd.,"GPO: 8973 NPC 431, Siphal,","4476117,,"
NARAYANI METALS,"Adarshnagar,","521568521024,,"
National Aluminium Fabricator,"Teku Road, P.O. Box: 4808, Ktm,","00977-1-42547914247923,,"
Nepal Home Appliances,"Satdobato, P.O. Box: 291, Ltp,","00977-1-55234375541674,,"
New Sky,"Minbhawan,","00977-1-44827434497054,,"
Nu-Tech (P) Ltd.,"Gongabu, P.O. Box: 246, Ktm,","00977-1-43514514389131,,"
NU-TECH PVT. LTD.,"Kantipath,","4266456,,"
Premier Aluminium Works (P) Ltd.,"Sitapaila, P.O. Box: 7451, Ktm,","00977-1-4282057,,"
RAJESH ALUIUNIUM IND. PVT. LTD.,"Jeetpur, Lalitpur","527228525077,,"
Shakya Aluminium Industries,"Satungal, P.O. Box: 12642, Ktm,","00977-1-42708324272580,,"
Shiva Shakti Almunium Pvt. Ltd.,"Teku, P.O. Box: 2441, Ktm,","00977-1-410004141000424100043,,"
SHIV SHAKTI ALUMINIUM PVT. LTD.,"Teku,","41000414100042-45,,"
TAMRAKAR GROUP OF INDUSTRIES,"Shripur,","522989521845,,"
The Dreamland Furnishing,"Hanumandas Road,","5281815247619852620325,,"
Vijay Metal Industries,"Industrial Estate,","520493520556,,"
Hi-Tech Aluminium World (P.) Ltd.,"Gongabu, P.O. Box: 6846, Ktm,","00977-1-435688198510097183,00977-9851107619,"
Aluminium Industries (P) Ltd.,"Balaju,","00977-1-43508814350453,,"
Innovative Aluminium Pvt. Ltd.,"Jhamsikhel,","00977-1-55365915552919,,"
Modern Technology,"Kalankisthan,","4279996,,"
MULTY PLY,"Ghantaghar,","525321524314531800,,"
NewGen Aluminium (P) Ltd.,"Dallu,","00977-1-42887089851081553,,"
NEWGEN ALUMINIUM PVT. LTD.,"Dallu,","4288708,,"
Oscar Trade Concern,"Nayabazar,","00977-1-43602599851038513,,"
Royal International Aluminium,"Satdobato,","00977-1-557235222208579851001749,,"
"SHREE MUKTINATH WOOD, IRON AND ALUMINIUM INDUSTRIES PVT. LTD.","Lalitpur, Lalitpur","5524106,,"
Alternative UPVC Door & Window Industry,"Dhumbarahi, P.O. Box: 1449, Ktm,","00977-1-437358443717894371381,,"
Alu Wood Pvt. Ltd.,"GPO: 9511, Ktm, Gusingal,","55469205521645,,"
ALUMINIUM WORLD PVT. LTD.,"Gangabu,","435688198510971839851056135,,"
Authentiq Brewz Road Pte Ltd,"14 robinson road singapore, Singapore 048545","unknown,,"
DEVCOTA NON FERROUS METALS,"Lalitpur, Lalitpur","5414828,,"
Ganeshkamal Metal Industries (P) Ltd.,"Kalimati, P.O. Box: 3040, Ktm,","00977-1-42717544275593,,"
GANESH KAMAL METAL IND. PVT. LTD.,"Kalimati,","4275593,,"
National Aluminium Works P. Ltd.,"GPO: 7451, Ktm, Sitapaila,","42817024282838,,"
NATIONAL ALUMINIUM WORKS PVT LTD,"Sitapaila,","42817024282838,,"
AAKHA METAL INDUSTRY,"Ind.State,","520104,,"
ALUMINIUM HARDWARE CENTRE,"Bhaktapur,","6611806,,"
ALUMINIUM INDUSTRIES PVT. LTD,"Balaju,","43508814350997,,"
BALAJU ALMUNIUM INDUSTRIES,"Ind.State,","43508814350997,,"
BATIKA SANITARY HOME,"Kuleshwor,","4673081,,"
BHAGWATI METAL INDUSTRIES,"Chatapipara, Bara","580139526955,,"
BINAYAK ALUMINIUM AND INTERIORS PVT. LTD.,"Dillibazar,","44103652311001,,"
BOTTLE CLOSURES NEPAL,"Kamalpokhari,","4415957,,"
BUDDHA METAL INDUSTRY,"Ind.State,","4382663,,"
Dilip Aluminium,"Main Road,","523792,,"
DILIP ALUMUNIUM,"Main Road,","523792,,"
ECHO ROLLING MILL,"Ind.State,","4350915,,"
Ganesh Metal Industries,"Dharan Road,","525450523478,,"
Gurans Aluminium Industries,unknown,"520104,,"
HIMALAYAN ALUMINIUM ASSOCIATE PVT. LTD.,"Maitidevi,","44904159851096283,,"
KATHMANDU DOMESTIC APPLIANCES,"Ind.State,","4360921,,"
Lumbini Aluminium Udyog,"Narayansthan, Bhairahawa","520404,,"
Mahabir Aluminium Udyog,"Parsauni,","521128,,"
M.K. METAL ELECTRIC INDUSTRIES,"Lagankhel, Lalitpur","55254025527402,,"
M.R. METAL INDUSTRIES PVT. LTD.,"Lipani, Bara","527398,,"
NARAYANI ALUMINIUM INDUSTRIES,"Shripur,","522989,,"
Nawadurga Aluminium Hardware Center,unknown,"66118062051252,,"
New Gen Aluminium (P) Ltd.,"Dallu,","4288708,,"
RINA KITCHEN CRAFT MANUFACTURERS,"Shripur,","521845,,"
Shiv Metal Industries,"Munal Path,","525413,,"
SHRESTHA HOUSEHOLD INDUSTRIES,"Tripureshwor,","4261265,,"
