Name,Address,Telephone
GUIDE FOR ALL SEASONS TREKKING PVT.LTD.,"Gairidhara,","4410897,,"
NATRAJ TOURS AND TRAVELS PVT. LTD.,"Kamaladi,","422253242220144220001(977-1) 5261521,,"
HIMALAYAN TRAVELLERS CLUB TOURS AND TRAVEL PVT. LTD.,"Thamel,","4386536985104867+977 -01-4152100,9851027652,"
HARD ROCK TREKS AND EXPEDITION PVT. LTD.,"Thamel,","42590674263375,,"
Holidays to Nepal Pvt. Ltd.,"Lainchaur-29,","0097714413408,009779851166779,"
Attentive Holiday Travels and Tours pvt ltd,"A1 business complex Thamel Marg Thamel,","977-01-4412379+977-01-4412379/4413848,977-9851070284,"
Asian Mystery Treks,"Thamel,","+977 1 4414079+977 -985-112-2733,+977 9851122733,"
Karma Eco Adventure,"Boudha ,","+977-9841142526,+977-9841142526,"
Annapurna Foothills Treks & Expedition,"Narayantar, Jorpati,","014917745+977 9841579429,977 9860711710,"
Trekking Guide Team Adventure,"3rd Floor Puskar Hotel, Nursingh Chwok, Thamel, Kathmandu, Nepal,","9851229400+977 - 01- 4218807,+977 9851229400,"
NEPAL VISION TREKS AND EXPEDITION PVT. LTD.,"Thamel,","441391544232974424762+977 443-0653,,"
Ktm Guide,"Satghumti, Thamel,","+977 9841027948,+977 9841027948,"
Yeti Trail Adventure Pvt. Ltd.,"Nayabazar, Kathmandu, Nepal,","97714380815,9779849491482,"
Nepal Hiking Adventure Company Pvt.Ltd,"Thamel, Kathmandu, Nepal,","+977 9841683501,+977-9851087391,"
Advanced Adventures,"Bhagwan Bahal, Thamel, Kathmandu, Nepal,","977-1-4444153,+9779851040806,"
Boundless Adventure (p) Ltd,"Thamel, Kathmandu, Nepal,","977-1-4701884+9779851033819,977-1-9851033819,"
Global Holidays Adventure P.Ltd,"Thamel 29 Kathmandu,","+977-9849495994+977 1-4420009,,"
Index Adventure Pvt. Ltd,"Chaksibari Marg, Kathmandu 44600,","985-1167996,985-1167996,"
Advent Himalaya Treks (P) Ltd.,"Ranibari, P.O. Box: 20364, ktm,","00977-1-4385532016211837+977 1 4357394,00977-9841479947,"
Exotic Destination Nepal Tours & Treks,"Thamel, P.O. Box: 9892, Ktm,","00977-1-44203514420381,00977-9851041464,"
Sports Tours & Travels Pvt. Ltd.,"Thamel, P.O. Box: 19503, Ktm,","00977-1-4264964,,"
Access Nepal Tour & Trekking,"Thirbam Sadak,Acharya Galli,","+97714444152,,"
Nepal Tours,"Lazimpat Road, Kathmandu, Nepal,","+97714002108+97715554471,9851090345,"
Mosaic Adventure Trek & Expedition Pvt. Ltd.,"Thamel, P.O. Box: 9585, Ktm,","00977-1-4267644,,"
SHAKTI TRAVELS AND TOURS PVT. LTD.,"Lazimpat,","442855244286914428729+977 -985-1026424,,"
Trekking Experts (P) Ltd. | Best Trekking Agency,"P.O. Box: 8008, Kathmandu, Nepal,","+977 1 4376800+977 -984-102-7075,+977 9841027075,"
Nepamount Trekking Pvt. Ltd.,"St. Jorpati-2,","977-1-4913020,977-9849343960,"
Touch Kailash Travels & Tours Pvt. Ltd.,"Thamel, Kathmandu, Nepal,","014700478014700357014700249+977 985 1092632,9851092632,"
Archaic Nepal Adventure,"Paknajol Street, Ext. Thamel,","+977-1-4364083,,"
Eco Holidays Nepal,"Kaldhara Marg, Kathmandu, Nepal,","+977 9851136074,9813633817,"
Himalayan Recreation Treks & Expedition Pvt. ltd,"kathmandu NEPAL,","97714388009,9779851101413,"
CMS Nepal (P.) Ltd.,"Bhotahity, P.O. Box: 10302,","00977-1-4250508+977 9851062974,,"
Sajilo Tours & Travels Pvt. Ltd.,"Thamel,","00977-1-44190164419017+977 9843 605 094,00977-9849948999,"
Nepal Hiking Team,"Baidhecha Marga, Nayabazar ,","0977 01 4389212,9851058667,"
Buddha Air,"Hattisar, P.O. Box: 2167, Ktm,","00977-1-443891544376774437025+ 977 1 5421015,,"
Friends Adventure Team (P.) Ltd.,"Samakhushi, P.O. Box: 21276, Ktm,","00977-1-4364838+977-9851027397,9851027397,"
Adventure Connexion Pvt. Ltd,"POBOX - 19760, Rani Devi Marg, Kathmandu 44600,","+97714002108,,"
Escape Himalaya,"House, Baidhecha Marga 91, Kathmandu 44600,","+977 9841999123,,"
Himalayan Yogi Adventure,"Kathmandu 44600,","+977 9808106889,,"
Escape Nepal Holidays P. Ltd,"Thamel Marg, Kathmandu 44600,","+977 1 4411257,,"
Samrat Tours and Travels,"à¤à¥à¤°à¥à¤§à¤¾à¤°à¤¾ à¤¸à¤¡à¤, Kathmandu 44600,","+977 1 4004700,,"
Travel Link Services,"Ikhapokhari, Chhetrapati,","9851022984,00977-9851022984,"
Adventure Trekking Nepal,"Bagmati,","+97714440768,,"
Nepal Himalayas Trekking Pvt. Ltd,"Bagmati,","+977 9841044334,,"
SAMSARA TRAVELS AND TOURS PVT. LTD.,"Thamel,","44333314442872+977 -1-4426463,,"
Adventure Challenge Center,"Kathmandu 44600,","+977 01 4701328,,"
Discovery World Trekking,"Kaldhara Marg, Kathmandu 44600,","+977 9840055491,,"
Khumbu Nangpala Trekking and Expedition,"Bagmati,","+977 -98497-64192,,"
Shambhala Holidays,"Yapikhya Marg, Kathmandu 44600,","+977 01 4266920,,"
Bestway Nepal Treks,"Bagmati,","+977 986-1536475,,"
Glance Himalaya Tours,"Bagmati,","+977 985 1045821,,"
Happy Feet Travel,"Bagmati,","+977 1 4444435,,"
The Brihaspati Travels and Tours,"Bagmati,","+977 1-4226169,,"
Trek Climb Ski Nepal,"Bagmati,","+977 9851146797,,"
