Name,Address,Telephone
Yeti Airlines,"Simara,","525389528992+977 - 1 - 5970074,,"
Nepal Airlines,"NAC Building, P.O. Box: 401, Ktm,","00977-1-42207574248614 toll free 16600110787,,"
Namaste Nepal Travels & Tours P. Ltd,"Thamel-29,","9801022400,977 9851192251,"
Adventure White Mountain Pvt.Ltd,"Thamel ,","+977144111982,+9779851154520,"
Aero-Ship Logistics Nepal Pvt. Ltd.,"PO Box 2191,","977-01-425258242525834252584,9851056414,"
Trans Air International Logistics Pvt.Ltd.,"Thapagaun - 10 , New Baneshwor,","+977-1-4480025,+977-9851015214+977-9849180506,"
Buddha Air Pvt. Ltd,"jawalakhel, lalitpur,","5521015,,"
Shree Airlines Pvt. Ltd.,"Baburam Acharya Sadak, Sinamangal, Kathmandu,","+977-1-4498200+977-1-4489200+977-1-4485200,,"
Fishtail Air Pvt. Ltd.,"Airport,","00977-1-44946922100579,,"
Mountain Helicopters PVt. Ltd.,"Sinamangal, P.O. Box: 20320, Ktm,","00977-1-4111031411103241110504111051,,"
PHILIPPINE AIRLINES GSA: SHIVA TRAVELS PVT. LTD.,"Kamaladi,","42633364263153,,"
ROYAL DUTCH AIRLINES,"Thamel,","4410089,,"
THAI AIRWAYS INT,unknown,"42212474223565,,"
EMIRATES AIRLINES,"Kamaladi,","42520484252049,,"
Enigma Travels and Tours Inc. Reiansu Intl.pvt.ltd,"Jadibuti Kathmandu,","4990067,9860744727,"
Agni Air Pvt. Ltd.,"Shantinagar (Reserv.), P.O. Box: 23650, Ktm,","00977-1-410781241078134107814410784441078454107846,,"
ASIANA AIRLINES,"Kamaladi,","42621674222086,,"
AUSTRIAN AIRLINES,"Kamaladi,","42233314241470,,"
COSMIC AIR PVT. LTD.,"Kalimatidol,","449014644676524467553,,"
DRUKAIR ROYAL BHUTAN AIRLINES,unknown,"423965142399884239922,,"
ETHIOPION AIRLINES GSA: GURANS TRAVEL,"Kupandole, Lalitpur","421681842168174212905,,"
EVA AIR PSA : GREEN TARA TRAVELS AND TOURS PVT. LTD.,"Thamel,","44143184424153,,"
PAKISTAN INT,"Hattisar,","443932444395654439624,,"
QANTAS AIRWAYS GSA: PRESIDENT TRAVELS AND TOURS,unknown,"42202454228288,,"
ROYAL BRUNEI GSA: AVIATION AND TOURISM CONSULTANCY SERVICES PVT. LTD.,"Hattisar,","44383674437193,,"
SWISS AIR,"Hattisar,","44346074434872,,"
AERON AIR PVT. LTD.,"Mahadevsthan,","44869444474272,,"
AGNI AIR,"Shantinagar,","410781241078134107843-45,,"
Air Dynasty Heli Services (P) Ltd.,"Sinamangal, P.O. Box: 10112, Ktm,","00977-1-449741844775614477562,,"
AIR FRANCE GSA: S.R.ENTERPRISES,"Hattisar,","44455624445574,,"
Asian Airlines Helicopter (P) Ltd.,"Bijulibazar, P.O. Box: 4695, Ktm,","00977-1-478016547805734781015,,"
ASIAN AIRLINES HELICOPTER PVT.LTD.,"Thamel,","44232734423274,,"
BRITISH AIRWAYS GSA: ANNAPURNA INT,"Durbarmarg,","42222664226611,,"
CATHEY PACIFIC AIRWAYS LIMITED GSA:AMRAVATI TRAVELS PVT. LTD.,"Kamaladi,","42461554248944,,"
CHINA AIRLINES GSA: POKHARA TOURS AND TRAVELS,"Hattisar,","44346784434936,,"
DELTA AIRLINES GSA: EVEREST EXEPRESS TRAVELS AND TOURS PVT. LTD.,unknown,"4220759,,"
DRAGONAIR HONGKONG GSA: ZENITH TRAVELS AND TOURS,unknown,"42270644223502,,"
Dynasty Aviation Pvt. Ltd.,"Operation Office, P.O. Box: 10112, Ktm,","00977-1-44974184477560/62,,"
Dynasty Aviation Pvt. Ltd.,"Sinamangal, P.O. Box: 10112, Ktm,","00977-1-4477560,,"
HANSA PVT. LTD. G.S.A LUFTHANSA GERMAN AIRLINES,"Kathmandu,","42230524221995,,"
Heli Hansa P. Ltd.,"Sinamangal, P.O. Box: 12381, Ktm,","00977-1-449758344971364467694,,"
HELI HANSA PVT. LTD.,"Sinamangal,","44975834497136,,"
JAPAN AIRLINES GSA: TRANS HIMALAYAN TOUR,"Kupandole, Lalitpur","50116485011649-504224854,,"
Karnali Air Pvt. Ltd.,"GPO: 9419, Ktm, Sinamangal,","448855344731414488618,,"
MALAYSIA AIRLINES GSA: MARCOPOLO TRAVELS,"Kamaladi,","4247215,,"
MANANG AIR,"Tinkune,","44962534498377,,"
SITA AIR PVT. LTD.,"Sinamangal,","4110710,,"
AEROFLOT RUSSIAN INTERNATIONAL AIRLINES,"Durbarmarg,","977-1-42496514215218,,"
Air Dynasty Heli Services (P) Ltd.,"Airport,","00977-1-4497464,,"
NEPAL SERVICES,"Kathmandu Plaza,","2003799,,"
SAUDI AIRLINES,"Kathmandu Plaza,","42464594168521,,"
AIR DYNASTY HELI SERVICES PVT. LTD.,"Kathmandu,","4497418,,"
Dynasty Aviation Pvt. Ltd.,"Airport, P.O. Box: 10112, Ktm,","00977-1-44974644477561-4,,"
EMPRO AIRWAYS PVT. LTD.,"Sukedhara,","44143084427852,,"
Fishtail Air Pvt. Ltd.,"Tinkune,","00977-1-41122304112206,,"
MYANMAR AIRWAYS INTERNATIONAL,"Pulchowk, Lalitpur","55430185543019,,"
TARA AIR,"Kathmandu,","4488788,,"
Air Ananya Pvt. Ltd.,"Surkhet, Surkhet","083-521417,,"
Asian Airlines Helicopter (P) Ltd.,"Bhrikuti Nagar,","521659520315,,"
THAI AIRWAYS INTERNATIONAL,"Durbarmarg,","42235654224387,,"
