Name,Address,Telephone
Adhunik Entertainment,"shreepur-14,","+977984850129,+9779845232706,"
Adhunik Entertainment,"shreepur-14,","+977984850129,+9779845232706,"
Stereo Records Private Limited,"Kathmandu Metropolitan City Ward No.2,","+97714488255,97798510310359779801031035,"
Nirvana Musical Suppliers,"Tutepani, Satdobato, Lalitpur,","9861313050,,"
Stereo Records Private Limited,"Kathmandu Metropolitan City Ward No.2,","+97714488255,97798510310359779801031035,"
Nirvana Musical Suppliers,"Tutepani, Satdobato, Lalitpur,","9861313050,,"
Snow Fall Digital Entertainment P. Ltd. (A.V Production House),"Baluwatar-4,","+977-9813458949,+977-9861253565,"
Snow Fall Digital Entertainment P. Ltd. (A.V Production House),"Baluwatar-4,","+977-9813458949,+977-9861253565,"
Dreams Studio Pvt. Ltd.,"Kamaladi,","00977-9851022697,9851022697,"
Dreams Studio Pvt. Ltd.,"Kamaladi,","00977-9851022697,9851022697,"
Asian Himalaya Music School Pvt.Ltd,"Asian Himalaya Music School, Kathmandu,","977-1-4238188,9741225185,"
Asian Himalaya Music School Pvt.Ltd,"Asian Himalaya Music School, Kathmandu,","977-1-4238188,9741225185,"
Jirel Electronics,"Dhobhighat, Kathmandu,","9813821252,+9779848864762+9779803045545,"
Buddha Subba Music Center,"Khichapokhari,","00977-1-4269620,,"
Jirel Electronics,"Dhobhighat, Kathmandu,","9813821252,+9779848864762+9779803045545,"
Da' Royal Creation,"Putalisadak,","9865008377,,"
Buddha Subba Music Center,"Khichapokhari,","00977-1-4269620,,"
MiNP Records,"Kathmandu 44600,","980-8760316,,"
Da' Royal Creation,"Putalisadak,","9865008377,,"
Harmonium Musicals,"Khichapokhari, P.O. Box: 322, Ktm,","00977-1-4244364,9851052659,"
MiNP Records,"Kathmandu 44600,","980-8760316,,"
Harmonium Musicals,"Khichapokhari, P.O. Box: 322, Ktm,","00977-1-4244364,9851052659,"
Aayush Razz,"Ramanand chowk janakpur dhaam (Dhanusha Nepal),","041 5556421,,"
Aayush Razz,"Ramanand chowk janakpur dhaam (Dhanusha Nepal),","041 5556421,,"
Sac Music International,"New Road, P.O. Box: 19570, Ktm,","00977-1-4241483,,"
Sac Music International,"New Road, P.O. Box: 19570, Ktm,","00977-1-4241483,,"
Media Home Pvt. Ltd.,"Kalikasthan, P.O. Box: 10537, Ktm,","00977-1-44351294441380,,"
Media Home Pvt. Ltd.,"Kalikasthan, P.O. Box: 10537, Ktm,","00977-1-44351294441380,,"
Vidinterest,"Bagmati,","+9779851088816,,"
Vidinterest,"Bagmati,","+9779851088816,,"
Gunjan Recording Studio,"Pulchowk, P.O. Box: 11165, Ktm,","00977-1-5537493,,"
Gunjan Recording Studio,"Pulchowk, P.O. Box: 11165, Ktm,","00977-1-5537493,,"
Musicwork Private Limited,"Kamaladi, P.O. Box: 19740, Ktm,","00977-1-4429201,,"
Musicwork Private Limited,"Kamaladi, P.O. Box: 19740, Ktm,","00977-1-4429201,,"
Nepali Musical Instrument Centre,"Thamel, P.O. Box: 1489, Ktm,","00977-1-4253154,,"
Nepali Musical Instrument Centre,"Thamel, P.O. Box: 1489, Ktm,","00977-1-4253154,,"
Opal International,"Tripureshwor, P.O. Box: 21116, Ktm,","00977-1-4242572,,"
Opal International,"Tripureshwor, P.O. Box: 21116, Ktm,","00977-1-4242572,,"
