Name,Address,Telephone
Yeti Airlines,"Simara,","525389528992+977 - 1 - 5970074,,"
Holidays to Nepal Pvt. Ltd.,"Lainchaur-29,","0097714413408,009779851166779,"
Attentive Holiday Travels and Tours pvt ltd,"A1 business complex Thamel Marg Thamel,","977-01-4412379+977-01-4412379/4413848,977-9851070284,"
Gold Mountain Nepal Treks & Expedition Pvt. Ltd,"Kathmandu, Nepal,","+9779849454553,+977-9849454553,"
Global Holidays Adventure P.Ltd,"Thamel 29 Kathmandu,","+977-9849495994+977 1-4420009,,"
Nepal Airlines,"NAC Building, P.O. Box: 401, Ktm,","00977-1-42207574248614 toll free 16600110787,,"
Global Adventure Trekking,"44600 Chakshibari Marg,","97714700356+977 1 4700355,9841485631,"
Touch Kailash Travels & Tours Pvt. Ltd.,"Thamel, Kathmandu, Nepal,","014700478014700357014700249+977 985 1092632,9851092632,"
Buddha Air,"Hattisar, P.O. Box: 2167, Ktm,","00977-1-443891544376774437025+ 977 1 5421015,,"
Seven Star International Travel & Tours,"Bagbazar-28, Kathmandu Nepal,","01-5341697532734753203925320746,98511019559851100128985117771898511347839847653000,"
Himalayan Trekking Path P.Ltd.,"Paknajol marg-16, Hotel Dream City buliding,","+97714251256,+9779849683092,"
JRN Treks and Expeditions Pvt Ltd,"JP Marg Thamel ,","014248688,9813914320,"
Reasonable Treks And Tour,"Thamel Marg,","9851103338,9851103338,"
World Race Travels & Tours,"Koteshwor,","015147079015147220016923746,9851012105,"
Visit Himalaya Treks Pvt.Ltd.,"Thamel marg, Kathmandu,","01441028,+9779851171527,"
View Nepal Treks and Expedition,"Thamel, Narsingh Chowk, Kathmandu,","00977-15319664,+977-9851029611,"
Great Nepal Treks & Expeditions P. Ltd.,"Shantinagar, Kathmandu,","+977-1-4620989,+977-9851136111,"
Adventure White Mountain Pvt.Ltd,"Thamel ,","+977144111982,+9779851154520,"
Duke Nepal Adventure Pvt. Ltd.,"Lazimpat, Kathmandu ,","014420222,9851197286,"
Holidays Destination Travel and Trekking Pvt.Ltd.,"Thamel, Kathmandu,","+97714601732,+9779863197699,"
Hotel Dream City,"Paknajol marg-16. thamel, Kathmandu ,","4251256,+9779849683092,"
Kantipur Holidays Pvt. Ltd,"Dragon Tower, Lazimpat,","01-442277701-4422747,9802015736,"
Nepal Trekking Tourism & Adventure,"kapan, Milanchowk,","+977 1 4811700,+977 9851060947,"
Vintage Travels & Tours Pvt. Ltd,"Pokhara-6, Lakeside,","0097761463359,+9779856022120,"
