Name,Address,Telephone
Alucam Industries and Trading Pvt. Ltd,"Naya Bato, Hattiban, Lalitpur,","0155000043,9841154174,"
D.P.ENGINEERS,"A-12,LGF, Pandav Nager Complex, Ganesh Nager, Near Aggarwal Sweet, Delhi-110092 ,","9811065204,9871014210,"
Bindabasini Metal Industry,"Devdaha-4,Bijayapur,Nepal,","9857057296,9821578557,"
LUMBINI VIDYUT UDYOG PVT. LTD.,"LUCKY TOWER TRIPURESHWOR,","01-4265631,9863165504,"
Himal Engineering And Power Concern,"Udayapur,","+9779852835025,+9779852835025,"
Enventa Power Technologies Pvt.Ltd.,"F 399 sector 63,","+919205029545,+919205029545,"
Buy Tibetan Rugs Industries,"House No: 1485 Boudha Sadak K.M.C 7 Tusal, Kathmandu, Nepal,","+977 1 4499900,,"
NEPAL FIRE AND SAFETY SOLUTIONS PVT. LTD.,"Shahid sukra marga, Teku,","+977-1-4100037,+977-9803662825,"
SUJAL PLASTICS PVT. LTD.,"Naxal,","+977 1 4417936 (4412276),,"
Ashok Polytech,"4, Shreenathji Estate, Near G.V.M.M., B/h Devbhumi Estate, Odhav","+91-079-29292148,9979873867,"
Dipkala Engineering Works,"Gondal Road Highway, Near Parin Furniture, Rani Industrial Estate","919824580921,919824580921,"
Pashupati multicom trade pvt ltd,"Kathmandu ,","+9779803198096,+9779803198096,"
Unicorn Lubricants Pvt Ltd,"Ward No 19,","+977 52 532032,+977 9804240070,"
SS Group of Industries Pvt. Ltd.,"Jaycees Bhawan, Thapathali-11,","+977-1-4259778+977-1-4100528,+977-9801620900,"
Unicorn,"ajshfakj,","unknown,,"
Authentiq Brewz Road Pte Ltd,"14 robinson road singapore, Singapore 048545","unknown,,"
LOTUS INTERNATIONAL TRADING COMPANY PVT. LTD.,"Battisputali,","44721624472503,,"
RIJAL CANNING COMPANY PVT. LTD.,"Kanchanbari,","522479,,"
PIO Ghana Limited,23 Achimota Road,"unknown,,"
