Name,Address,Telephone
Khumbu Carpet Industries,"Chapali,","00977-1-437006143720714472418,,"
Webpal Private Limited,"Koteshwor-32,","9864900900+9779801096633,,"
New Muktinath Traders and Suppliers,"Baidhyakhana Road, anamnagar-32 ,","014770967014770203,9851023378,"
Quick Stamp House,"Adwait marg, Putalisadak-31,","00977-1-4212463,9813893512,"
AMAN MEDIA SERVICE,"Thapa Chawk-9 Janakpurdham,","+97741590191,+9779801028181,"
Caravan Readymade Company private limited,"Naya Thimi, Dakshinbarahi Marg,house no 21,","977 9841017539+977 9851097552,977 9851097552,"
J.A.TRADERS,"Yangal,Kathmandu,Nepal,","+977-1-4249706,+9779851149186,"
Lucky Publication (P). Ltd.,"Tahachal, Campus Road,","014302543,+9779841569691,"
MAYURI PRINTERS,"15 MAIN ROAD NORTH,","021-522906,,"
Mero Design Studio,"Jeetpursimara-7, Jeetpur, Bara,","9843705805,9815260676,"
National Design House,"Bagbazar-28, Kathmandu,","+977 9803632154,9803632154,"
Smart Designs Pvt. Ltd.,"Pulchowk-03, Lalitpur, Nepal,","+977-98510 51396,+977.9841303749,"
Multi Printo Fast,"103/1 Hanagulu Tole, Balkhu-14,","01-4279706,9841973720,"
Amanmedia Service,"Thapa Chawk-9 Janakpurdham,","9801028181,9801628181,"
Sarvottam Nepal Pvt. Ltd.,"Abhiyan Marg, Kathmandu,","01-4021247,9801089681,"
Karkalo Group,"Shankhamul Road, Kathmandu, Nepal,","9847502170,9847502170,"
KRISHNA PRINTERS & STICKERS,"Dadhiram Path Ward-09,","+977-21-517673,+977-984-2334562,"
Malla Prints,"Vyas Nagar Palika 11, Damauli, Tanahun, Nepal,","065-561291,98466143889816653711,"
Manakamana Communication Service,"The 7 Storey Building (In front of Chabahil Stupa), Chabahil, Kathmandu Nepal,","014467847,9841445271,"
Nepo Textile Industries Pvt Ltd,"Sallaghari,","+977-6613137,+9779851051032,"
Srijal Printronix,"Opp. P K campus, Near Yeti Plaza, Bagbazar, KTM Nepal ,","01-422423110,+9779808584917,"
Gplus Media,"Samakhusi-29, Kathmandu,","9851057918,,"
JST Supplies,"Kupondole Height, Lalitpur,","9818849361,,"
Kathalaya Inc.,"Thapathali, Kumari Colony,","00977-1-42500764266430,+977985121904098013301199,"
Prithivi Printing Press Pvt. Ltd,"Narephant 35, Koteshwor,","5149871,9841216343,"
Active Printing Press Pvt. Ltd.,"Thamel -26, Golkopakha , P.O. Box: 4665, Kathmandu, Nepal,","00977-1-40226724022656,9851036354,"
SUMIRAN IT Solution,"Jhamsikhel,","unknown,9841870094,"
SHUMSHER IT SERVICES,"Dillibazar Height 44600,","977-01-444447501-4436669,98511673899843383734,"
Hosanna Printers,"Bhanimandal, Lalitpur,","977-1-5000-2205000-210,9851010673,"
NAVADURGA PRINTING SUPPORT AND GRAPHIC PRINT,"Putalisadak,","4010613,,"
Ktm vape city,"Kathmandu 44600,","+977 9869348275,,"
ACServices,"Birendranagar-6, Buddhapath, Surkhet,","+97783522458,9851218130,"
Delta Packaging & Moulding Industry,"Thankot,","9802979000,9802979000,"
Creative Mass,"Gwarko, Lalitpur,","01-5200430,9851004767,"
CTP House Prepress Pvt. Ltd.,"Bagbazar,","01-4167537,9851224081,"
Dot spot Pvt. Ltd.,"Alok nagar,","9841237235,9841237235,"
Eyemaze Graphics Enterprises,"Marin Rural Municipality-7,","9844251392,9813374904,"
Mero Signaller Computer Pointer (MSC),"Dhankuta-7, Madan Chowk, Koshi, Nepal,","026520841,,"
PRIME CARDS,"Dharan-9, Sunsari,","025 534123,,"
BIRAT COPY UDHYOG,"kathmandu, 7 , chabahil,","4484565,9841239119,"
Chan Printing Press,"Maru Tole- 20,","unknown,9841727101,"
Jaya Durga Offset Press,"Laxmihall line -6, Surkhet,","083-524400,9848278930,"
Lucky Press Link,"Kuleshwor,","42537032297464,98510414209810299137,"
Navin Polymer Industries Pvt. Ltd.,"Resham Kothi, Road no. 3,","9802900938,9801026614,"
PARIBODH ENTERPRISES,"LALITPUR,","01 6227157,9849305157,"
Rainbow Inks Industries Pvt.Ltd.,"Pandit Meghraj Marg, P.O. Box: 255, Brt,","021-526827526806,9852021940,"
Vishma Group,"Lagan tole,","+977-01-4248670,+977-9849482420,"
BASNET GROUP Pvt. Ltd.,"Balaju, Kathmandu, Nepal,","unknown,9841283317,"
Bellstone Hi-tech Nepal,"Link Road,","00977-51-524386,9845096726,"
Idesign graphic solution,"Jhochhen, Newroad,","unknown,9851130597,"
Jyotishree Pvt. Ltd.,"Basantamarg-351, Babarmahal,","00977-1-42292204226461,9851112425,"
SAHA MEDIA SERVICE AND TRADING PVT. LTD.,"Kamalpokhari,","4435316,,"
Lalima Photo Color Lab Pvt. Ltd.,"Kalopul,","00977-1-4445432,,"
Quality Label Nepal Pvt. Ltd.,"Paknajol-16, Kathmandu, Nepal,","+977 1 4248499,+977 9851052926,"
Creative Press (P) Ltd.,"95 Hattimahankal Marg Ka Ma Na Pa Ward No 5,Handigaon,Kathmandu,","00977-1-44290534429054,977 9851035974,"
Fastone Colour Prints,"Alakhiya Road,","530148,9806850221,"
Ideal Printing Press,"Gwarko,","00977-1-5530522,00977-9841298672,"
Maitri Offset Printing Press Pvt.Ltd,"Man Bhawan,","5520568,9851096383,"
Texts and Designs Pvt. Ltd.,"Patan, Lalitpur,","9851054838,9851094784,"
Mandalas Life,"Bagmati,","+977 9842436333,,"
Xerox Digital Press,"Subidhanagar, Tinkune,","977-4468896,977-9851154029,"
ADVANCED PHOTO FINISHERS PVT.LTD.,"Thamel,","4701265,,"
ADVANCED TRADING PVT. LTD.,"Tripureshwor,","41170234117031,,"
Binayak International,"New Road, P.O. Box: 8209, Ktm,","00977-1-4255592,,"
BUTWAL MEDIA PUBLICATION PVT. LTD.,"Butwal/Bhairahawa,","551345551346,,"
Digiplus Pvt. Ltd.,"GPO: 10204, Ktm, Bagdurbar,","424530042328704268180,,"
GURUNG PRINT CENTER PVT. LTD.,"Bagbazar,","4241215,,"
KG Enterprises,"Delhi,","+919211723444+919818445305+919717019659,+919211723444+919818445305+919717019659,"
NAB PRINTING PRESS PVT. LTD.,"Maharajgunj,","47211904720205,,"
OM SHANTI ART (AD.) PVT. LTD.,"Putalisadak,","4425200,,"
Photo Concern (P) Ltd.,"New Road, P.O. Box: 4012, Ktm,","00977-1-42232754227028,,"
PHOTO CONCERN PVT. LTD.,"New Road,","42232754227028,,"
PRINTCELL IMAGING PVT. LTD.,"Kupandole, Lalitpur","55263305011598,,"
SPECTRO COLOR PVT. LTD.,"Kathmandu,","4248828,,"
Surgicraft,"Teku, P.O. Box: 3868, Ktm,","00977-1-4221828,,"
Titan International (P) Ltd.,"Putalisadak,","00977-1-42575974257649,,"
VARDHAMAN STAMPING PVT. LTD.,"Ambawadi, Ahmedabad","91-79-26469609,,"
Digital Printing System,"Bagbazar,","00977-1-4252680,00977-9841340705,"
Suryamukhi Stationers And Suppliers,Bhairahawa,"071526204,9847021204,"
Binayak International,"Kupondole (Sales Office),","00977-1-5526330,,"
Qualitech Scan & Pre Press Pvt. Ltd.,"Tripureshwor, P.O. Box: 12017, Ktm,","00977-1-42563964261314,,"
RANG SANSAR DIGITAL ARTS,"Prithibichowk,","525044537867,,"
RAPIE PRINTING PRESS PVT. LTD.,"Anamnagar,","42586839851057264,,"
SHREE GOPAL BHAGWAN DAS,"Kathmandu,","9851017272,,"
STAGE D,"Putalisadak,","4425200,,"
Unique Digital Photo Process,"Manbhawan,","00977-1-55263645526359,,"
VIEWERS.COM,"Chhetrapati,","4256585,,"
WordScape,"P.O. Box: 8975 EPC 5620,","00977-1-5548861,,"
ad vision Nepal Press Pvt. Ltd.,"Kathmandu Valley Support,","9801017073,9849864377,"
Colorberg printing press,"nakhu,","9851234427,9851234427,"
Optical Design and Print,"Butwal-11, Milan Chok,","9847140654,,"
Seven Star Print Concern Pvt. Ltd.,"Bagbazar,","00977-1-42555894258560,98-5-12-37-7-50,"
"BIG CtP House Pvt, Ltd.","P.O. Box: 9240, Ktm,","00977-1-4036219,00977-9802053844,"
Krishna Fabricators,"biratnagar,","unknown,9802720866,"
REPRO VISION PRESS PVT. LTD.,"Minbhawan,","977-1-4472196,9851051767,"
AASHIN PUBLICITY PTE. LTD,"Anamnagar,","42205504224652,,"
A. B. SECRETARIAL AND PRINTERS PVT. LTD.,"Bagbazar,","4243936,,"
ADARSHA OFFSET PRESS,"Murli,","522938,,"
Advanced Trading (P) Ltd.,"Ganabahal, P.O. Box: 3927, Ktm,","00977-1-42580954222082,,"
APOLLO OFFSET PRESS PVT. LTD.,"Chabahil,","44715844481386,,"
BHRIKUTI PULP AND PAPER NEPAL LTD.,"Baneshwor,","44746404471030,,"
CARTS,"Thapathali,","42253574279251,,"
Chalchitra Lab,"Balaju, P.O. Box: 549, Ktm,","00977-1-43501134350947,,"
Chhatrapati Color Lab,"Chhetrapati, P.O. Box: 1290, Ktm,","00977-1-4229612,,"
Color Link,"Thamel, P.O. Box: 5771, Ktm,","00977-1-42514684260257,,"
Color Photo Service (P) Ltd.,"New Road,","00977-1-42634674246916,,"
Colour Scan Nepal Limited,"Tripureshwor KKM Building,","00977-1-42600214261812,,"
COLOR LINK (AGFA COLOR LAB),"Thamel,","42514684260257,,"
Delphia International,"Bagbazar, P.O. Box: 4125, Ktm,","00977-1-42466499851034575,,"
Digital Color Scan Pvt. Ltd.,"Tripureshwor, P.O. Box: 7957, Ktm,","00977-1-4260071,,"
DIGITAL PRINTING SERVICE,"Tripureshwor,","42608064260071,,"
DIGI PRINTS,"Babarmahal,","42434834244947,,"
Dillibazar Color Lab,"GPO: 8975 EPC 5677, Dillibazar,","4416320,,"
DILISH COMMUNICATION AND PRINT OUT,"Jyatha,","42272074258111,,"
EASY TONE PRINTERS PVT. LTD.,"Bagbazar,","4240366,,"
Fairtrade Corporation,"Dharmpath, P.O. Box: 1800, Ktm,","00977-1-42271484224603,,"
Foto Mall Pvt. Ltd.,"GPO: 1800, Ktm, Dharma Path,","42271484224603,,"
GOMA DESIGN,"Bagbazar,","4245865,,"
Goshali Color Photo Print,"New Road, P.O. Box: 16, Pkr,","520369520588,,"
HADA PRINTERS PRESS,"Mahabaudha,","4255548,,"
Harati Color Lab (P) Ltd.,"Tahachal, P.O. Box: 21487, Ktm,","4271781,,"
HICOLA,"New Road,","42202234246135,,"
HILL SIDE PRESS PVT. LTD.,"Soalteemode,","42717554283043,,"
HIMALAYAN COLOR LAB PVT. LTD.,"Khichapokhari,","42202234246135,,"
HIMALAYA TIMES PVT. LTD.,"Baneshwor,","44781774483044,,"
International Color Lab,"New Road, P.O. Box: 1848, Ktm,","00977-1-4223665,,"
JANAKI COLOR PVT. LTD.,"Jamal,","42668814262019,,"
JAY MANAKAMANA OFFSET PRESS,"Traffic Chowk, Butwal/Bhairahawa","545165548974,,"
KAMAL SCREEN AND OFFSET PRESS,Lalitpur,"5542366,,"
KATHMANDU GLOW,"Putalisadak,","44208989851007160,,"
Kodak Nepal (P.) Ltd.,"Hetauda Ind. District, P.O. Box: 1665, Ktm,","521899521786,,"
KRITI ART,"Teku,","4261691,,"
Lotus Photo Lab Private Limited,"Kantipath, P.O. Box: 8566, Ktm,","00977-1-4220022,,"
MAHESHWORI PRINTERS PVT. LTD.,"Kalimati,","4272836,,"
Makalu Color Lab,"Bagbazar,","00977-1-4245864,,"
MALLA PRESS PVT. LTD.,"Chhauni,","427012342739424276544,,"
ML SCREEN PRINTERS,"Malaya Road,","527186530295,,"
MODERN PRINTING PRESS,"Kantipath,","42464524253195,,"
NEPAL NIC PRINTING PRESS,"Pulchowk, Lalitpur","55512905546867,,"
NISHANTA CHHAPHAKHANA,"Dillibazar,","44335014431338,,"
OFFICE SUPPORT SERVICE CENTRE PRESS,"Teku,","42420714240571,,"
PHOTO LAB PVT. LTD.,"Thahiti,","42590244259224,,"
Poly Image,"Exhibition Road,","00977-1-422642542525724252571,,"
POWERTEC INTERNATIONAL PVT. LTD.,"Kamaladi,","424576742473234246989,,"
Prism Colour Scanning & Press Support Pvt. Ltd.,"Kuleshwor, P.O. Box: 2716, Ktm,","00977-1-428251142838114286311,,"
Print O Pack,"New Road, P.O. Box: 8209, Ktm,","00977-1-42555924255891,,"
Prospective Trading Concern,"Imadole, P.O. Box: 3858, Ltp,","00977-1-5526423,,"
Rachi Inks (P) Ltd.,"Boshwara Road, P.O. Box: 255, Btr,","522806526806,,"
Rainbow Inks Industries,"Goshwara Road, P.O. Box: 255, Btr,","522806526806,,"
Scanpro,"Harihar Bhawan, P.O. Box: 8975 EPC 5620,","00977-1-55488615552335,,"
SHAKYA PRESS AND SHAKYA OFFSET PRESS PVT. LTD.,"Om Bahal,","42606084260185,,"
SHAKYA OFFSET PRESS PVT. LTD.,"Om Bahal,","42606084260185,,"
