Name,Address,Telephone
SHANKER GROUP,"G.P.O. Box 2513,","+977 -1-4523733+977-1-4523734+977-1-4545823,,"
Sunrise Bank Limited,"Birgunj (Branch),","524784524785+977 4004560,,"
Machhapuchchhre Bank Ltd.,"Jaljala Chowk,","021-440412+977 -01-5970555,,"
SANIMA BIKAS BANK LTD.,"Naxal,","44289794428980+977-01-5970033,,"
Prime Commercial Bank Ltd.,"Bagmati,","056-533240533241+977-01-4423432/3/6+977-01-4423432/3/6,,"
Jyoti Bikash Bank Ltd.,"Kamaladi, P.O. Box: 26518, Ktm,","00977-1-442755044276274437181+977-01-5970306,,"
GARIMA BIKAS BANK LTD.,"Syanja,","440015+977 01-4445424,,"
Century Commercial Bank Ltd.,"Putalisadak,","00977-1-4420982+977-1-444-5062,,"
Civil Bank Ltd.,"Kamaladi, P.O. Box: 9799, Ktm,","00977-1-42555514255523+977 -01-4251015,,"
Muktinath Development Bank Ltd.,"Prithvi Chowk,","61-522786+977 -01-4168683,,"
NEPAL CREDIT AND COMMERCE BANK. LTD,"Bagbazar,","4246991,,"
Everest Bank Ltd.,"Duhabi,","540628540627+977 01-4443377,,"
Nepal Bangladesh Bank Ltd.,"New Baneshwor, P.O. Box: 9062, Ktm,","00977-1-478397247839754783976+977-01-4233780,,"
Mega Bank Nepal Ltd.,"Kantipath, P.O. Box: 26559, Ktm,","+977 01-4169250,,"
Prabhu Finance Company Limited,"Kantipath, P.O. Box: 5211, Ktm,","00977-1-42545804254581+977 1-478-8500,,"
Nepal Rastra Bank,"Sundhara,","522590+977 14419805,,"
Nabil Bank Ltd.,"Adarsh Nagar,","521476521746+977-1-5970015,,"
Rastriya Banijya Bank,"Main Road, Bhairahawa,","520136+977-1-425-2595,,"
F1 Soft International Pvt. Ltd.,"Koteshwor, P.O. Box: 8975 EPC 2626,","00977-1-2051158+977 1 4442435,,"
Bank of Kathmandu Ltd.,"Kamalpokhari,","+977-1-4414541+977-1-4437106,,"
NEPAL INVESTMENT AND SECURITIES TRADING PVT. LTD.,"Ghumti Kumari Marg,","+977-1-4495450+977-1-44480072+977-1-4228229,,"
NMB Bank Ltd.,"Chipedhunga,","061-541528+977 1-5970150,,"
Sambandha Saving & Cooperative ltd.,"Sahabhagita marg, Baneshwor,","01-4484046,,"
Neju Guru Saving & Credit Co-operative Ltd.,"Bhotahity-30 Opposite of LalitKala collage(Art Collage),","01-4220771/4267351,,"
Divya Mantra Saving And Credit Co-operative ltd.,"KatyayaniChowck,Baneshwor Kathmandu,Nepal,","977-01-41091534109053,9851065580,"
United Finance Limited,"Bharatpur Chitwan,","056-572028571714571520,984182313498510079489849098923,"
Himalayan Bank Limited,"2V6G+PRG, Tribhuvan Rajpath,","+977-51-524678,,"
NARAYANI DEVELOPMENT BANK LTD.,"Tandi Chitwan,","+977-56-560608+977-1-561258,,"
Shramjyoti Saving & Credit Cooperative Ltd.,"Bagbazar-28,","+977-01-4229680,,"
Standard Chartered Bank Nepal Limited,"R75M+2V6, Buddha Marg,","+977-25-520505,,"
Himalayan Bank Limited,"PF28+7GW,","+977-71-551016,,"
Januka Saving & Credit Co-Operative Ltd.,"Kantipur Hospital Road, 5th Floor Tinkune, Kathmandu,","+977015192047,,"
Kantipur Saving & Credit Co-Operative Ltd.,"Gorkha Complex, Minbhawan, P.O.B NO. 20457,","+977-1-4106531,,"
NMB Bank Ltd.,"NMB Bhawan, Akhtiyaar Marga,","+977 1-5970150,,"
NMB Bank Ltd.,"Babarmahal,","+977 1-5970150,,"
A.B.G.S. Group,"Bagmati,","+977 01 4497006,,"
Swift Technology,"3rd Floor, IME Complex, Kathmandu 44600,","+977 1 4002555,,"
Alpine Development bank Ltd.,"Makwanpur,","057-525024,9845106309,"
NEPAL MOUNTAINEERING ASSOCIATION (NMA),"Naxal,","44345254435442,,"
C.B.I.L Capital,"Bagmati,","+977-144-177-23,,"
Prabhu Capital,"Prabhu Group Building, Kathmandu 44600,","+977 1-4169100,,"
Samsara Remit,"Kholagal Marg 2, Kathmandu 44600,","+977-1-454-1724,,"
Tourism Development Bank Limited,"Thamel,","00977-1-470135747013584701359 4701362,+977 9845144168,"
Prabhu Group,"P859+FMR, Kathmandu 44600,","unknown,,"
Sagun Cooperative Private Limited,"Bhimeshwor Municipality-10, Charikot, Dolakha,","+977-9844235615,+977-9844235615,"
Hamro Paurakhi Saving and Credit Cooperative Limited,"Naya buspark, Gongabu,","977-1-4363037,9841229248,"
Nabil Bank Ltd.,"Beena Marg,","+977 1 5970015,,"
Nepal SBI Bank Ltd.,"R78P+347, Mahendra Path,","+977-25-530370,,"
Siddhartha Bank Limited,"Main Rd (North),","+977-21-532901,,"
Bhrikuti Development Bank Ltd.,"Traffic Chowk, P.O. Box: 73, Butwal,","071-544967546967,,"
Bishwa Bikash Bank Limited,"Chipledhunga,","528001528002,,"
BISHWA BIKAS BAK LIMITED,"Chipledhunga,","528001528002061622700,,"
Bright Development Bank Ltd.,"P.O. Box: 19505, Ktm,","440682440683,,"
Capital Saving & Credit Cooperative Ltd.,"Chhetrapati,","+977-1-4269203+977-1-4218629+977-1-4261789,,"
Cosmos Development Bank Ltd.,"Gorkha, Gorkha","64-421538,,"
Global Bank Ltd.,"Panipokhari, P.O. Box: 19327, Ktm,","00977-1-40025074002508,,"
Global Bank Ltd.,"Kantipath, P.O. Box: 19327, Ktm,","00977-1-42311981660121314,,"
Global Bank Ltd.,"New Road,","00977-1-42234334240878,,"
H & B Development Bank Limited,"Adarshanagar,","523468527429,,"
H & B Development Bank Limited,"Kamaladi,","00977-1-422273042226704262064,,"
H & B Development Bank Limited,"Mahendrapool, P.O. Box: 44, Pkr,","551800551900,,"
Himalayan Bank Limited,"Tridevi Marg, P.O. Box: 20590, Ktm,","00977-1-42502014227749,,"
Himalayan Bank Limited,"Jeep Park,","068-522690,,"
Himalayan Bank Limited,"Barahabise,","011-489290,,"
Himalayan Bank Limited,"Kawasoti, Nawalparasi","78-541040,,"
Himalayan Bank Limited,"Battisputali,","00977-1-4484990,,"
Infrastructure Development Bank,"Link Road,","051-524731,,"
Infrastructure Development Bank,"Tribhuwan Chowk, P.O. Box: 23680, Ktm,","011-661461661462,,"
International Development Bank Ltd.,"Teku, P.O. Box: 3901, Ktm,","00977-1-42128144215312,,"
Mega Bank Nepal Ltd.,"Sandhikharka, Arghakhanchi","077-420797420798,,"
Nabil Bank Ltd.,"Durbar Marg,","00977-1-42217184227181,,"
Nepal Credit & Commerce Bank Ltd.,"Bara,","053-551195,,"
Nepal Credit & Commerce Bank Ltd.,"Bagbazar,","00977-1-4246991,,"
Nepal Investment Bank Ltd.,"Durbar Marg, P.O. Box: 3412, Ktm,","00977-1-42282294242530,,"
Nepal Investment Bank Ltd.,"Putalisadak,","00977-1-44453024445303,,"
Samabridhi Bikas Bank Ltd.,"Gajuri, P.O. Box: 21554, Ktm, Dhading","010-620012,,"
Siddhartha Bank Limited,"New Road,","00977-1-42395354224616,,"
Siddhartha Bank Limited,"Hattisar, P.O. Box: 13806, Ktm,","00977-1-4443409444341044429194442920,,"
The World Bank,"Durbar Marg, P.O. Box: 798, Ktm,","00977-1-42267924439571,,"
Tinau Development Bank Ltd.,"Rupendehi,","071-541055542576,,"
Triveni Development Bank Ltd.,"Chitwan,","056-521800521100,,"
Bhrikutee Development Bank Ltd.,"Siddhartha Road,","071-546967,,"
"Finance, property, loans, Mortgages","Mortgage Mission Ltd, 43b Plains Road, Mapperley, Nottingham, NG3 5JU, Nottingham","457457,,"
Himalayan Bank Limited,"Kamaladi,","00977-1-42462184246219,,"
KIST Bank Ltd.,"Suryabinayak,","00977-1-66193896619390,00977-9841411972,"
Laxmi Bank Limited,"Adarshanagar, P.O. Box: 61, Birgunj,","526195530394530823,9855022731,"
Nabil Bank Ltd.,"Thamel,","00977-1-4212167,,"
Ace Development Bank Ltd.,"Narayanchaur, P.O. Box: 13383, Ktm,","00977-1-4441110,,"
Agricultural Development Bank,"Ramshah Path,","00977-1-425235942523604262708,,"
Annapurna Bikash Bank Limited,"Kavre, P.O. Box: GPO 501,","660480660880660881,,"
Araniko Development Bank Ltd.,"Buspark,","011-490193,,"
Argicultural Development Bank,"Ramshah Path,","4252359-60,,"
Bank of Asia Nepal Ltd.,"Jawalakhel,","00977-1-555554855550425555064,,"
Bank of Asia Nepal Ltd.,"New Road,","00977-1-422326942231694222411,,"
Bank of Asia Nepal Ltd.,"Kalanki,","00977-1-428156142815624281564,,"
Bank of Asia Nepal Ltd.,unknown,"00977-1-661918266191836619184,,"
Bank of Asia Nepal Ltd.,"Samakhushi,","00977-1-438802443880254388028,,"
Bank of Asia Nepal Ltd.,"Bagbazar,","00977-1-42125484242120,,"
Bank of Asia Nepal Ltd.,"Kausaltar,","00977-1-6634773,,"
Bank of Asia Nepal Ltd.,"Tripureshwor, P.O. Box: 11021, Ktm,","00977-1-42632124263218,,"
Bank of Asia Nepal Ltd.,"Birtamod, Jhapa","023-543831621884,,"
Bank of Kathmandu Ltd.,"New Road (Branch),","00977-1-42315564231557,,"
Bank of Kathmandu Ltd.,"Kamalpokhari, P.O. Box: 9044, Ktm,","00977-1-4414541,,"
Business Development Bank Ltd.,"New Road,","540725531133,,"
Citizens Bank International Ltd.,"Boudha Branch,","00977-1-44780204478040,,"
Citizens Bank International Ltd.,"Birgunj Branch,","051-520782527982533699,,"
