Name,Address,Telephone
SOPHIA MEGA MART PVT. LTD.,"Lalitpur, Lalitpur","5530614,,"
Ximivogue Nepal,"New Road Gate, Kathmandu,","+9779801132964,+9779801132964,"
Saleways Mart,"Baidam Road, Hallanchowk, Lakeside,","061461532,,"
Choice Mart,"Jadibuti kathmandu Nepal,","01-6924355,,"
My Store Nepal,"Thamel,","014260072,9849027214,"
Swoyambhu Supermarket Pvt Ltd,"Ichangunarayan, Thulo Bharang, Swoyambhu,","01-4890550,9801177207,"
Snbshopping:- Online Shopping in Nepal,"Subidha Nagar Tinkune,","9808340385,,"
BHATBHATENI SUPER MARKET,"Bhatbhateni,","441918144138255001818 (online inquiry only),9849618100 (online inquiry only),"
Tmart,"Jorpati-3, Shantitole ,","014913349,,"
BAGESHWARI DEPARTMNETAL STORE,"Surkhet,","523059,,"
CENTRAL DEPARMENTAL STORE,"Khichapokhari,","42220284223595,,"
DEPARTMENT STORE PVT. LTD.,"New Baneshwor,","47829314782937,,"
DILLIBAZAR SUPER MARKET,"Dillibazar,","44101154435795,,"
GOSULI DEPARTMENTAL STORES PVT.LTD.,"New Road,","520088525588,,"
KASTHAMANDAP BAZAR,"Kamaladi,","42402164264878,,"
NAMASTE SUPER MARKET PVT. LTD.,"Pulchowk,","552002655250175525018,,"
NAYA BANESHWOR DEPARTMENT STORE PVT. LTD.,"New Baneshwor,","47829314782937,,"
PARK N,"Khichapokhari,","4220498,,"
SALEWAYS DEPARTMENT STORE PVT. LTD.,"Jawalakhel,","+977-1-5547712,+977-980-8036960,"
SINCERE DEPARTMENT STORE,"Kumaripati, Lalitpur","55334685524708,,"
CRYSTAL VISION DEPARTMENT STORE PVT. LTD.,"Old Baneshwor,","44916282052016,,"
MEGA MART PVT. LTD.,"Kamalpokhari,","4212664,,"
BEST SHOPPING CENTRE PVT. LTD.,"Thamel,","4410986,,"
GEMINI SUPER MARKET,"Bouddha,","44713705524177,,"
ANNAPURNA SHOPPING CENTER,"Sitapaila,","2200253,,"
DUH DEPARTMENTAL STORE PVT. LTD.,"Lazimpat,","4411069,,"
FASCINATE STORE,"Old Baneshwor,","44745034471893,,"
GURUNG SUPER MARKET,"Amarshingh Chowk,","521521,,"
HEMKAMAL,"Mahalaxmi Sthan, Lalitpur","5529505,,"
HIMALAYAN GROCERY CENTRE,"Thamel,","4424649,,"
HOME GROCER,"Jawalakhel, Lalitpur","5544584,,"
NIVA THE FAMILY STORE,"Chipledhunga,","532611522078,,"
PICK N,"Thamel,","4411676,,"
RADIANT SUPERMARKET,"Pulchowk, Lalitpur","5544582,,"
SALEWAYS DEPARTMENTAL STORE,"Chipledhunga,","520332,,"
SAMRAT DEPARTMENTAL STORE,"Traffic Chowk, Butwal/Bhairahawa","5411129857020359,,"
SUBIDHA SHOPING CENTRE,"Baneshwor,","4495813,,"
U.F.O. DEPARTMENTAL STORE,"Sundhara,","41502204150230,,"
YES AND YES DEPARTMENT STORE PVT. LTD.,"Prithibichowk,","525395536450,,"
