Name,Address,Telephone
Daraz Nepal,"Kathmandu, Central Development Region,","+977 980 1292 929,,"
Sajha Prakashan Regional Office,"Sansarimaisthan Biratnagar-10,","021525367,,"
Jay Book Depot,"Bhotahity, P.O. Box: 9987, Ktm,","00977-1-4221863,,"
Dealgarnu super App,"Balawa Mahottari Nepal,","9807635902,9807635902,"
Kathalaya Inc.,"Thapathali, Kumari Colony,","00977-1-42500764266430,+977985121904098013301199,"
Pratima Books,"Dudhpati, Bhaktapur 17,","6610572,9851150872,"
DELIGHT M. And E. PVT. LTD.,"Tokha-6, kathmandu,","01-4351396,9861319649,"
Kavyalaya Media House,"UN Park, Jwagal,","9810009835,9801978830,"
Management Notes,"Shantinagar,","9868444365,9868444365,"
Readmore Publishers & Distributors,"Kuleshwor-14,","+977-1-4672073+977-1-4672071+977-1-5187211,,"
Goodwill Publication,"Kalanki,","+977-1-5218537+977-1-5218535,,"
Sangam Books Publication (P) Ltd.,"Bagbazar,","01-5381122,,"
Himalayan MapHouse Pvt. Ltd.,"New Road, P.O. Box: 20784, Kathmandu,","+977-9813178403,+977-9851037858,"
Janaki Pustak Bhandar,"Janaki Path,","520092,,"
Shyam Pustak Bhandar,"Traffic Chowk, Main Road,","526345535165,9852021350,"
Srijana International Publication Pvt. Ltd.,"Balkumari, Lalitpur,","00977-1-46207544620755,9851050195,"
KAMANA NEWS PUBLICATIONS PVT. LTD.,"Kamana Estate, Maru Bhimsensthan, Kathmandu, Nepal,","(977) 1 â 4261179,9841409014,"
Mainali Pustak Bhandar,"Mahendra Chowk East, Himalaya road,","+977-21-511926,98520277459842027745,"
Greenwich Int'l Books Plaza,"Butwal sub metropolitian city,-8,Rupandehi,Nepal,","071-542791,,"
Samjhana publication pvt. ltd.,"Pipal Marg 211,","+977-1-4107151,,"
Supreme Trade Suppliers,"RTO Road, Pokhara-7,","9846279797,96177337129814195499,"
Online Book Shop,"nakkhu,lalitpur,","9811814726,,"
Asia Publication,"BASUNDHRA -3,","+977 1-5903919+977 1-5903915+977 1-5903916,,"
Foreignlink educational consultancy,"siddhartha chowk, pokhara-8, kaski, nepal,","977-61-540548,977-9846325921,"
Namaste Books and Statiomery,"Dhaneswor Chowk , Kushma ,","067420835,9847625925,"
HIMALAYAN MAP HOUSE PVT. LTD.,"Basantapur,","42312204244965,,"
Oinep,"Kathmandu,","9844085882,,"
PAIRABI PRAKASHAN,"Putalisadak,","+977-1-4223318,,"
Shangri-la Design Pvt. Ltd.,"Kupondole, P.O. Box: 8124, Ktm,","00977-1-5520797,,"
Asmita Books Publishers & Distributors,"Bhotahiti,","00977-1-4247186016223820,,"
Books Planet Nepal Pvt. Ltd.,"New Baneshwor,","00977-1-478690047864004781939,00977-9851127207,"
Himal Kitab Pvt. Ltd.,"Patandhoka, P.O. Box: 166, Ltp,","00977-1-554254421203215537408,00977-9841394357,"
Bechnus dot com,"Dhambhojhi, Surkhet Road, Ward No. 2,","9813494719,,"
Ekta Books Distributors (P) Ltd.,"Thapathali, P.O. Box: 6445, Ktm,","00977-1-42604824262091,,"
Ekta Educational Palace,"Manbhawan, P.O. Box: 6445, Ktm,","00977-1-5533862,,"
EKTA BOOKS DISTRIBUTORS PVT. LTD.,"Thapathali,","42604824262091,,"
GEO SPATIAL SYSTEM PVT. LTD.,"Pulchowk, Lalitpur","55313315531231,,"
Himal Association,"Patan Dhoka, P.O. Box: 166, Ltp,","00977-1-554254455374085548142,,"
HIMAL MEDIA PVT. LTD.,"Hattiban, Lalitpur","52503335250845,,"
KANTIPUR PUBLICATION PVT. LTD.,"Subidhanagar,","44801004492100,,"
KHOJI NATIONAL MONTHLY MAGAZINE,"Kupandole, Lalitpur","5011140,,"
Mandala Book Point,"Kantipath, P.O. Box: 528, Ktm,","00977-1-53557053495555327711,00977-9841230128,"
Mapple Pvt. Ltd.,"Lalitpur, P.O. Box: 6865, Ktm,","00977-1-5529888,,"
Pilgrims Book House,"Thamel, P.O. Box: 3872, Ktm,","00977-1-47009424700919,,"
Pilgrims Book House,"Kupondole, P.O. Box: 3872, Ktm,","00977-1-55211595543956,,"
Ratna Book Distributors Pvt. Ltd.,"Bagh Bazar, P.O. Box: 1080, Ktm,","00977-1-42420774223026,,"
