Name,Address,Telephone
Sony Light & Sound,"New Road,","00977-1-42643444264355,9851043810,"
Griffith Education and Immigration Consulatancy Pvt.Ltd,"ADWAIT MARG BAGBAZAR GPO 23792 KATHMANDU NEPAL ,","+97714246594,9843612284,"
JST Corp Pvt Ltd,"Kupondole Height, Lalitpur,","+977 9818849361,,"
Oinep,"Kathmandu,","9844085882,,"
Destiny Event,"Jhamshikhel,","9841193495,9841193495,"
"Online Radio, Radio Sagarmatha","Bakhundol, Lalitpur,","045528091,,"
Birendra International Convention Center (BICC),"New Baneshwor,","44724604494409,,"
Direction Exhibition & Convention Center,"UWTC, Tripureshwor, P.O. Box: 9349, Ktm,","00977-1-4117101-4,,"
Everest Science Center Nepal Pvt. Ltd.,"Sitaganj, Sunsari, P.O. Box: 33, Morang,","534877534763,,"
Himalaya Network Pvt. Ltd.,"Pulchowk, P.O. Box: 5737, Ltp,","00977-1-553416455514355551433,,"
International Convention Center (ICC),"New Baneshwor,","00977-1-44724604494409,,"
Russian Centre of Science & Culture,"Kamalpokhari, P.O. Box: 1433, Ktm,","00977-1-44166504415453,,"
House of Rajkarnicar,"Patan Dhoka, P.O. Box: 4258, Ktm,","00977-1-55430185543019,,"
Electrika Expo Secretariat,"Kamaladi, P.O. Box: 11198, Ktm,","00977-1-42264584226356,,"
GEO-TECH INTERNATIONAL PVT. LTD.,"Bhanimandal, Lalitpur","553507858549206,,"
Institutional Promotion & Resource Center (IPRC),unknown,"582027580419,,"
Kathmandu Exhibitions Pvt. Ltd.,"P.O. Box: 11198, Ktm,","00977-1-44841235534555,,"
M/S Global Expositions,"Thapathali, P.O. Box: 8975 EPC 1339,","00977-1-41016324101580,,"
M'S Global Expositions,"GPO: 8975 EPC 1339, Thapathali,","42602324266380,,"
Royal Nepal Academy,"Kamaladi,","422128342212414224590,,"
Ex-Army Organization,"Pulchowk,","00977-1-55448345523915,,"
Bhrikuti Mandap Exhibition Hall,"Exhibition Road,","00977-1-422520042262974243259,,"
National Cultural Cooperation (Rastriya Naach Ghar),"Jamal,","00977-1-42247604226196,,"
Academy Hall,"Kamaladi,","00977-1-42212834221242,,"
City Hall (Rastriya Sabha Griha),"Exhibition Road,","00977-1-4225639,,"
Global Expositions,"Thapathali,","42604314266380,,"
Shrestha Party Palace,"Teku,","00977-1-425446942305134284834,,"
