Name,Address,Telephone
Shera Sherpa Adventures,"Post Box - 3417 Kathmandu, Nepal,","977 980816038000977984382313,977 9808160380,"
KlientScape Pvt. Ltd,"Gairidhara,","98020005929808362580+977 1-4425513,,"
Greentick Nepal (P) Ltd,"4th Floor, Mahalaxmi Complex, Minbhavan, Kathmandu, Nepal,","+977-1-4620741,,"
"P. R. Dhakal & Associates, Chartered Accountants","""Nirmal Shanti Bhawan"", No 74, 1st Floor, Zero KM,","977 - 61-550449,9856014200,"
Sambandha Saving & Cooperative ltd.,"Sahabhagita marg, Baneshwor,","01-4484046,,"
B.R.B. Management Service Pvt. Ltd.,"Mahadevsthan Marga-32, Koteshwor,","01-4600105,9849027448,"
Thrive Management Advisory Solution P. Ltd,"Shantinagar, New Baneshwor, Kathmandu, Nepal,","009779851151675,009779801151675,"
Four Ace Business Solutions Pvt. Ltd.,"Sorhakhutte,","01-4361444,,"
K. K. Outsourcing Pvt. Ltd.,"Babarmahal, Kathmandu,","01-5707166,,"
Lead Academy For Science And Management Technology,"Bharatpur-10,Chitwan,","056-524344,9849852605,"
Zenith Business Consultancy,"New Road,","9817727325,9817727325,"
"T. Karki & Associates, chartered Accountants","Awati Marg, Putalisadak,","014232213,9801080031,"
Green Tick Nepal Pvt. Ltd.,"4th Floor Mahalaxmi Complex Prayag Marg Minbhavan Nepal,","01-4620741,,"
KSP Chartered Consutants Pvt. Ltd,"New Baneshwor Chowk,","9860732504,,"
Mero Lekha Pvt. Ltd.,"Kathmandu Metropolitan City, ward No. 10, Buddhanagar Kathmandu,","01-4781048,9851187000,"
P. Lunia & Associates,"Hanuman Das Road, Biratnagar - 8,","021-526113,9852020322,"
Zenith Business Consultancy,"Pako New Road,","9849966156,,"
Ramod & Company,"GPO Box 20674, Putalisadak, kathmandu,","01-4168265,9841292449,"
lic agent,"Head Office Kathmandu Plaza, Kamaladi X - Block, 2nd Floor Kathmandu,Nepal,","unknown,9841165197,"
