Name,Address,Telephone
GLOBAL IT SUPPOERT PVT. LTD.,"Putalisadak,","42557474243455,9851060143,"
Computer Help Center(G.T.C. Pvt. Ltd),"New Baneshowor -34, Kathmandu, Nepal,","01-4465510,9851071847,"
Tech Care Infosys,"Gokarneshwor-11, Namgyal Bus Park,","+97714801214,,"
S & P Computer Pvt. Ltd.,"New Road,","00977-1-4247774,9841025776,"
Real Time Solutions Pvt. Ltd,"Dhobighat, Jhamsikhel, Kathmandu,","5538687,9801074963,"
Kyrios,"Phulbari Complex - Shop No. 214, Boudha - 6,","014812782,98602402269851101667,"
New A to Z Computer & Language Centre,"Bhanuchowk, JanakpurDham, Nepal,","041-527859,9844026865,"
Kasturi Sanjaal,"Annadamargha,Chitwan,","9855052636,9845520490,"
Prime Soft Services Pvt. Ltd.,"Milan Chowk,","9857041343,9867157330,"
KEYSTONE TRADING HOUSE PVT. LTD.,"Bhat-Bhateni - 5, Kathmandu, Nepal,","977 1 444 0 444,9851224462,"
Sky Net Computer,"chandranigahpur,","9866047122,9817273850,"
Bluefin Technologies,"Damauli Tanahun,","065-562601,9851233334,"
Silkroad Investment & Trading P. Ltd,"Newroad-22, Sankata Tebahal,","977-1-5713705,9851004802,"
Dynamic IT Solution Pvt.Ltd.,"Butwal-7, Amarpath,","071-541095,9851185027,"
New Microland Computer And Suppliers,"Siraha Road, Rajbiraj,","+977-031-533722,9814747550,"
Everest wireless network,"Jumla nepal, network,","9848333002,9802536630,"
One Touch Solution,"Pulchowk (near by Global Bank , behind Alaka Hospital),","01 54 54 107,98511-57582,"
Techno Savvys,"Jaycees Chowk, Near Sadak Bivag Gate,","023-585947,97723585947,"
Intesol Nepal Pvt. Ltd,"Shankhamul, Kathmandu (infront of Sunrise Bank),","4784432,4784432,"
MEGATECH TRADE GROUP,"3rd floor, King's Way Tower, Ghantaghar,","977-1-4233501,977-9801110303,"
Computer Repair and Maintaince,"Kawasoti-10, Magarkot,","078540507,9847560762,"
IT Security Nepal,"New Baneshwor Opposite to Rastriya Banijya Bank Kathmandu, Nepal,","977-01-2299324/25,9851165508,"
