Name,Address,Telephone
Powertech Nepal,"Jadibuti, KATMANDU,,","00977-1 6639691,985108692098412553969813528435,"
SK Trading & Filter House,"Maitri Path,","unknown,+977-985-7029991,"
Thermal Engineering,"Ghodaghodi Municipality, Sukhad Kailali Nepal,","9865650656,9800685535,"
Chemtronics Nepal Private Limited,"Murli-15 Brahma tole Behind National trading office,","051-525999,+9779801198011,"
Hk Traders,"lazimpat road, panipokhari,kathmandu,","01-4006615,9851014194,"
Aquagrant Water Purifier Pvt Ltd.,"House No- 126,ward no-17 Opposite ANFA, near Pal Engineering,Satdobato lalitpur (Nepal),","+97715528381,+977-9801-123-391,"
AquaFreh Nepal & Solar Pvt. Ltd.,"Birendra Chowk, Kadaghari,","9841693975,9841693975,"
Nepal Solar & Water Purifier Pvt. Ltd.,"sukedhara, ringroad,","00977-1-4435116,00977-985109022000977-9851176078,"
Aarambha Energy and Electronics,"Satdobato-15, Lalitpur,","977-01-5533771,9851088010,"
Kamla Polythene & Plastic Industries Pvt. Ltd,"Mujeliya-14,","041-424103,9801622252/3/4,"
A3S Enviro & Consultant,"202, Second Floor, kaushalya Tower, Vanasthali Marg, Jaipur , Rajasthan ,","9785120189,9785120189,"
Raj Shyamaji Enterprises,"New Baneshwor,","00977-1-44733394487554,9851038099 ( Bhupendra M. Pradhan),"
Rara Water Suppliers,"bhurungkhel Kathmandu,","01-4248820,9851001722,"
S. Sahara Trade Service,"Maharajgunj,","01-4427012,9801030700,"
Continental Trading Enterprises Pvt. Ltd.,"KIA Plaza, Tinkune, GPO Box 4016,","977 1 4111616,,"
Amravati International Pvt. Ltd.,"Kamaladi, P.O. Box: 1481, Ktm,","00977-1-422521442252184225111,,"
Dewdrop Water Treatment Services Pvt. Ltd.,"Kupondole, P.O. Box: 8975 EPC 606,","00977-1-5551035,00977-9851001467,"
Dewdrop Water Treatment Services,"GPO: 8975 EPC 606, Kupondole,","5551035,,"
Aquatherm,"16'1B, Keyatala Lane, Kol-29, Kolkata,","00977-1-4437893,,"
Smart Paani,"Bagmati,","+97715261530,,"
Watermark International Nepal,"New Baneshwor,","00977-1-6913562,00977-98511030379841096813,"
Environment And Public Health Organization,"New Baneshwor, P.O. Box: 4102, Ktm,","00977-1-44686414493188,,"
Eureka Appliances,"Tripureshwor, P.O. Box: 5122, Ktm,","00977-1-42624074219614,,"
Pashupati Engineering International,"GPO: 8975 EPC 1478, Kupondol,","554615721213999851057761,,"
Nilah Water Treatments,"New Baneswor,","00977-1-41070314107231,,"
Supreme Associates Traders,"Gairidhara,","00977-1-40045882297211,,"
Alternative Concern Pvt. Ltd.,"Sanepa,","00977-1-55511354331373,00977-9849726572,"
Ascender Associate,"Tinkune,","00977-1-44873834495455,,"
Ascender Associate (P) Ltd.,"Tinkune,","4495455,,"
