Name,Address,Telephone
Maruti Pharma Pvt. Ltd.,"Jawalakhel,","00977-1-5540531+977 1454 4183,,"
Annapurna Aroma,"naya baneswar ,","+97714107655,+9779841985608,"
Chaitanya Health & Wellness,"Bakhundole,","+977-1-5447774+977-1-5447971,+977-9851123301+977-9801132922,"
Massage Therapy Service,"Lalitpur, Nepal,","9803147804,9803147804,"
Dr. Thasineku Sumana,"New Baneshwor, Kathmandu,","00977-9841491813,00977-984311202800977-9841491813,"
The Real Therapy & Beauty Point,"Thamel,","00977-1-470060347003694700992,00977-9851089169,"
Ayurveda Health Home Pvt. Ltd.,"Dihikopatan, Lakeside,","061-465874463205,,"
Welcome Inter-Treatment Service Center Pvt. Ltd.,"Thamel, P.O. Box: 12575, Ktm,","00977-1-470060321902744215851,,"
Avanish Tradelink Pvt. Ltd.,"Kamladi, P.O. Box: P.O. Box 2862, Ktm,","00977-1-42233424224252,,"
Alternative Healing Center,"Thamel,","00977-1-47003189851027013,00977-9741038881,"
Green Hearts Therapy Center,"Thamel,","00977-1-9841233342,,"
Serenity Spa Treatment Centre,"Paknajol,","00977-1-47002489841442343,,"
Spa Prana (Energy at Life),"Durbar Marg,","00977-1-42216954221701,,"
Shambu Physio Care,"Sanepa 2,","9849288084,9849288084,"
A Journeyman Overseas (P) Ltd.,"Dillibazar, P.O. Box: 8975 EPC 5201,","00977-1-44354264437671,,"
MAGIC TOUCH BODY AND BEAUTY CARE CENTRE,"Tushal,","44711084438377,,"
Aloe Vera Spa and Beauty Therapy,"Thamel,","00977-1-4700265016226020,,"
Ancient Thai Massage,"Thamel, P.O. Box: 3624, Ktm,","00977-1-9851027013,,"
Foot Fetish,"Thamel,","00977-1-9851032715,,"
Hana Healing Centre,"Bakhundole,","00977-1-55520489841206926,,"
Natty Natural & Thai Massage Parlour,"Thamel,","00977-1-98039183769841313908,,"
Natural Health Home,"Lakeside,","2373979804104087,,"
ROYAL THAI MASSAGE AND TREATMENT CENTER,"Thamel,","9841378985,,"
TI-SE Spa,"Boudha, Tusal,","00977-1-6210058,00977-98511158959849577676,"
CHITWAN RELAXING SPOT,"Chitwan,","560992560593,,"
Everest Health Centre,"Thamel,","00977-1-4232188,,"
Herbal Massage Center,"Durbar Marg,","00977-1-4228216,,"
Himalayan Body Care,"Thamel,","00977-1-2190840,,"
HIMALAYAN BODY CARE CENTER,"Thamel,","42215829803037591,,"
PRATIKA,"Kathmandu,","4261840,,"
RELAXATION AND RELIEF CENTRE,"Putalisadak,","4244829,,"
Thai Massage,"Thamel,","00977-1-9851027013,,"
Tranquility Body & Beauty Treatment Centre,"Boudha,","00977-1-4462996,,"
Trekker's Service Centre,"Thamel,","00977-1-4268230,,"
