Name,Address,Telephone
MARS GROUP PVT. LTD.,"Jawalakhel,","5547157980-8760316,,"
AMBA AGENCIES,"Tripureshwor,","4244308,9801128825,"
GORKHALI MOTORCYCLE WORKSHOP AND RECONDITION HOUSE,"Newroad, Kaski,","unknown,+977-9856028701,"
DUGAR BROTHERS AND SONS,"Balaju Industries Estate,","+977-1-4362992,,"
SHYAM RATHI TRADERS,"Kanchanpur,","523816,9848720663,"
Om Sairam Motorcycle Workshop,"Sankhamul,New Baneshwor,Kathmandu,","9818053045,9849147421,"
Path Finder Cycling,"Thamel, P.O. Box: 7832, Ktm,","00977-1-4700468,,"
HANSRAJ HULASHCHAND AND CO. PVT. LTD.,"Teku,","42300014261200,,"
Massif Mountain Bike Exploration,"Thamel,","00977-1-4700468,,"
PIONEER MARKETING PVT. LTD.,"Thapathali,","42295874229922,,"
SNS AUTOMOTIVES PVT. LTD.,"Gangabu,","43531364355867,,"
A.G. Group Suppliers,"Kuleswor,","00977-1-4672156,00977-9851019384,"
Everest Mountain Bike,"Thamel, P.O. Box: 12370, Ktm,","00977-1-4701617,00977-9841207642,"
Ishwar Trading Centre,unknown,"25-580104,9851019384,"
Epic Mountain Bike,"Jhamsikhel,","00977-1-5555021,,"
KATHMANDU MOUNTAIN BIKES,"Lalitpur, Lalitpur","5548635,,"
NEOGEN BUSINESS NEPAL PVT. LTD.,"Battisputali,","20401389841253556,,"
TOP TREE INTERNATIONAL PVT. LTD.,"Naxal,","4436360,,"
COSMIC MOTORCYCLE MANUFACTURING COMPANY PVT. LTD.,"Tripureshwor,","42295544229556,,"
HIMALAYAN POWER SOLUTIONS PVT. LTD.,"Teku,","41045454104546,,"
Pancha Narayan Asta Narayan & Sons,"Kamalachhi,","00977-1-42219374227560,,"
PANCHA NARAYAN ASTA NARAYAN AND SONS,"Kamalachi,","42219374227560,,"
RIDERS JOINT,"Gairidhara,","4436190,,"
SUGAN TRADING COMPANY PVT. LTD.,"Gangabu,","43558674353136,,"
VISHWAKARMA AUTO WORKS,"Nayabazar,","521295535789,,"
BHAIRAB AUTO MOBILES PVT. LTD.,"Milanchowk, Butwal/Bhairahawa","544549541676,,"
Bike Man,"Jyatha, P.O. Box: 3380, Ktm,","00977-1-4240633,,"
CITY SUPER BIKE IND.,"Anamnagar,","42297929841241855,,"
FAST AND FINE AUTO INTERNATIONAL PVT. LTD.,"Putalisadak,","4410715,,"
HELP YOU AUTO CENTER,"Singhadurbar,","42440049841234330,,"
MAHABIR AUTOMOBILE,"Dharan Road,","460208460592,,"
New Pancha Asta Narayan Cycle,"Kamalachhi,","00977-1-4224407,,"
