Name,Address,Telephone
Lumbini General Insurance Co. Ltd.,"New Road,","551211+977 1-4511707,,"
Folliderm Hair Transplant Clinic,"Baluwatar,","01-4443443985-1110443,9851110443,"
Century Commercial Bank Ltd.,"Putalisadak,","00977-1-4420982+977-1-444-5062,,"
Himalayan Everest Paper Packaging Pvt. Ltd.,"Chhauni, P.O. Box: 1290, ktm,","00977-1-435097342780329851049170+977 1-5245090,,"
Nepal Life Insurance Company Ltd.,"Kamaladi, P.O. Box: 11030, Ktm,","00977-1-416908241690834169085+977 1-5970971,,"
Yashoda Hospital,"Sheetalnagar, next to district post office,","081525780081527553081521403,985802444399858024443,"
Smart Aerobics Fitness,"New Baneshwor, Janak Margh,","014470077,9843178609,"
ROADMAP TRAFFIC SAFETY,"Ramkrishna Nagar, Sodepur, Kolkata- 700082,","03324021157,+91 7686965505,"
Krishna international,"Udyog Marg, Hattiban, Dhapakhel, Kathmandu Valley,,","+977 1 5250282,+977 9802540001,"
Global Wings Pvt. Ltd.,"Putalisadak,","014233864,98010627699851192769,"
Number One Pest Control Pvt. Ltd.,"Janapath-6,","9857077772,+977-9857037895,"
Shanti Yoga Ashram,"Machchegaun 5, Kathmandu Nepal,","(977) 1-4332363,9841-5749579861-051224,"
Joshi Surgi Care,"lalitpur , near sado bato chowk,","9822783801,9822783801,"
Online Aushadhi Pvt. Ltd.,"Sanepa, Jhamsikhel,","9841568568,,"
Bharatpur Hospital,"Bharatpur -10,","+9779855064961,+9779855064961,"
First aid care,"chabahil - 7, kathmandu,","+977-1-5210292,9808955347/9851008796,"
Nobel Trade Concern Pvt Ltd,"Binayek Basti Marga, Balaju-16, Kathmandu,","014390437,9851050803,"
KRISHNA INTERNATIONAL,"Udyog Marg. Ward Number 1, Hattiban, Dhapakhel, Lalitpur 44700, Nepal.,","+977-1-5250264,+977-9851056585,"
OK Pharma - Online Pharmacy Pokhara,"Bhakti Marg, New Road, Behind Lumbini Bank and Kantipur Dental Hospital,","9846198129,,"
DXN NEPAL,"Butwal ,","9805478488,9847315795,"
NEPAL SAFETY CENTRE PVT. LTD.,"Tinkune, Kathmandu, Nepal,","01-5199486,9801109945,"
Nepal Speakers Bureau,"Kathmandu,","+977,9843772688,"
Summit Trooper Treks & Expeditions Pvt. Ltd.,"Ward No. 1 Kingsway, Level 3 Landmark Apartments, Kathmandu, Nepal,","+977 14444227,+977 9851030705,"
Pds pestcontrol,"kathmandu,Nepal,","+9779851053277,+9779823152936,"
Reeva ElectroTech Pvt. Ltd.,"satdobato-15, Lalitpur,","4478305,9849987898,"
Muin International Pvt. Ltd.,"Kupondole,","+977 1 2239988,+977 9851068979,"
Doctors on Call Nepal,"Kamalpokhari, Kathmandu-28, Nepal,","+977 (1) 4011777,,"
Nice N Naughty,"Pako,New Road,","01-4268129,9803424304,"
OMS Concern,"Sukedhara ,","9851170750,9841230750,"
Unique International Traders,"Near FNCCI building, Signature 2 appartment, 2nd floor","+97714100183012200430,,"
