Name,Address,Telephone
D & S Complex,"35-37 Bhimbazaar Marg, Taxichok, Bagar-1,","061521526,+9779806706692+9779856035526,"
Enroz Group P. Ltd: Online shopping in Nepal,"Old Baneshwor, Kathmandu, Nepal,","01-4487312,,"
"The Beekeeping Shop, Beekeeping & Research Centre","Manbhwan, 2546 The Beekeeping Shop, Patan, Lalitpur-5, P.O. Box: 12780, Ktm (shifted from Kumaripati),","+97715547278,,"
Buddhist Art Gallery,"Boudha,","9818940763,9851054428,"
Jatatatai Online P. Ltd,"Mid Baneshwor, Sahabhagita Marg,","9801159871,9801159871,"
Mahalaxmi power interprises,"mahalaxmi 2 lalitpur imadol,","unknown,9851166928,"
Handmade Singing Bowl Export Nepal,"Nayabazar, Nayabazar 16 Kathmandu,","4361989,9869006383,"
Aman Enterprises (Hardware Store),"Aman Enterprises (Hardware Store), Mercantile Building, Near Laxmi Bank, Adarshnagar, GP Road, Birgunj, Parsa, Nepal,","009779814255707,,"
Vastra Kurta Collection,"Tusal, Boudha,","9862200294,,"
Women's Skills Development Organization,"Sri Jana Chouk 8, Pokhara,","977 61 520393,977 9802815100,"
Hamroexpress.com: Online Shopping in Nepal,"Syuchatar,","9851196077,9851196077,"
Blue & Pink,"Ghanta ghar,","9022471214,9022471214,"
BAGMATI ART AND HANDICRAFT,"Sinamangal,","4491080,,"
Curio Arts,"Durbar Marg, P.O. Box: 456, Ktm,","00977-1-42248714255217,,"
Wastra,"Kathmandu, Nepal,","unknown,,"
Curio Concern,"Durbar Marg, P.O. Box: 456, Ktm,","00977-1-4223458,00977-9851012905,"
Colour Graphics,"GPO: 9349, Ktm, Tripureshwor,","426158542622679851030880,,"
My Shop - online shopping in Nepal,"Nakkhu, Lalitpur,","unknown,9851222136,"
Tibet Art Gallery,"Boudhanath,","4470882,,"
ANTIQUE TRADERS AND EXPORTS,"Thamel,","4229449,,"
Chandan Saree Centre,"Masangalli, P.O. Box: 2035, Ktm,","00977-1-4231476,,"
Dawa Arts,"Durbar Marg, P.O. Box: 2703, Ktm,","00977-1-4228938,,"
Naya Pasal,"Babar Mahal, P.O. Box: 294, Ktm,","00977-1-42674474244704,,"
Nepal Stamp House,"Min Bhawan,","44671934246971,,"
Urvashi Sarees,"Indrachowk,SWASTIK PLAZA,","00977-1-4264937,009779851025935,"
ARTEAST,"Kathmandu,","4482758,,"
Curio Corner,"Durbar Marg, P.O. Box: 1925, Ktm,","00977-1-42307755551045,,"
Khanal Curio Arts,"Durbarmarg, P.O. Box: 6425, Ktm,","00977-1-4223865,,"
Potala Curio Goods Centre,"Durbar Marg,","00977-1-4223375,,"
Shristi Sarees,"Lagankhel,","00977-1-5536000,,"
Abirna Curio House,"Lazimpat, P.O. Box: 878, Ktm,","00977-1-441015144101524412973,,"
Tirupati Saree Showroom,"Makhan Tole,","00977-1-4266832,,"
Shivani Saree Showroom,"Makhan,","00977-1-4233670,00977-9841662041,"
Anju Saree Stores,"Ason,","00977-1-4232000,,"
Ankit Impex,"Chokhachhe Galli,","00977-1-4218046,,"
Anokhi The Home Saree,"Kupondole,","00977-1-9851041695,,"
Bahurani,"Super Market,","00977-1-4228202,,"
BIKASH ENTERPRISES PVT. LTD.,"Kamaladi,","4413467,,"
Chanda Chakori,"Makhan Tole,","00977-1-4244374,,"
DEEPAK GAUTAM AND COMPANY,"Kantipath,","4222026,,"
Dulhan Saree Showroom,"Indrachowk,","00977-1-4228319,,"
EXPRESS DELIVERY SERVICE,"Mahendrachowk,","523624,,"
Exquisite Collection,"Lazimpat,","00977-1-4418558,,"
Gallery 108,"Boudha Nath Stupa, P.O. Box: 21672, Ktm,","00977-1-44723759841213672,,"
Gem Palace Jewellers & Curio Dealers,"New Road,","00977-1-4223950,,"
Gurans,"Bishal Bazar,","00977-1-4221939,,"
Jai Durga Impex,"Shukrapath,","00977-1-4254950,,"
Joshi Saree Stores,unknown,"00977-1-6610671,,"
KAJI ENTERPRISES,"Kamalachi,","4418863,,"
Kanchan Variety,"Main Road,","522751,,"
Khushi Sarees,"Amarpath,","071-540206,,"
Krishna Saree,"Makhan Tole,","00977-1-4263871,,"
Laxmi Saree,"Indrachowk,","00977-1-4269081,,"
Mahesh Store,"Kalimati,","00977-1-4274213,,"
MARCANTILE TRADING CONCERN,"Kalimati,","4223032,,"
MILIMILI ENTERPRISES,"Indrachowk,","4220505,,"
MITA TRADERS,"Lalitpur, Lalitpur","5521384,,"
Nawal Saree Collection,"Makhan,","00977-1-4233572,,"
NEPAL TRADE UNIVERS,"Kantipath,","4222512,,"
New Fancy Saree Center,"Maitidevi,","00977-1-4241715,,"
New Gajura,"Super Market,","00977-1-4221939,,"
New Pratibha Saree,"Makhan,","00977-1-4223490,,"
Pratibha,"Indrachowk,","00977-1-4221272,,"
RABI TRADE LINK,"Chhetrapati,","4211432,,"
RARE ART EMPORIUM,"Lalitpur, Lalitpur","5521320,,"
R.S. INTERNATIONAL CONCERN,"Dillibazar,","44160964419524,,"
Rubia Matching Shop,"Makhan Tole,","00977-1-4264089,,"
Sahiba Sarees,"Putalisadak,","00977-1-4259814,,"
Sajan Ki Sahelee,"Super Market,","00977-1-4240802,,"
Sapana Saree Sansar,unknown,"540887,,"
Saree Emporium,"Putalisadak,","00977-1-4231301,,"
SHAN TRADERS,"Lazimpat,","4261528,,"
SHEELA PAPPU ENTERPRISES,"Maitidevi,","4414331,,"
SHERCHAND TRADERS,"Ganabahal,","4216568,,"
SHRESTHA CARFTS ENTERPRISES,"Kantipath,","4213022,,"
SHRESTHA TRADE INTERNATIONAL,"Kantipath,","4351825,,"
SILVER CRYSTAL,unknown,"4227864,,"
SILVER MOON,"Khichapokhari,","4213643,,"
SINGH CURIO AND JEWELLERY HOUSE,"Chhetrapati,","42110794222952,,"
TEMPLE OF TRADE PVT. LTD.,"Tripureshwor,","4215306,,"
The Luxury Shop,"Bishal Bazar,","00977-1-4228180,,"
THE WORLD ENTERPRISES COMMERCIAL COMPANY LTD.,"Naradevi,","4415228,,"
Tridevi Saree Sangam,"Super Market,","00977-1-4228543,,"
Ujwal Sadi Center,"Mahendrapool,","520771,,"
