Name,Address,Telephone
Greentick Nepal (P) Ltd,"4th Floor, Mahalaxmi Complex, Minbhavan, Kathmandu, Nepal,","+977-1-4620741,,"
Manakamana Communication Service,"The 7 Storey Building (In front of Chabahil Stupa), Chabahil, Kathmandu Nepal,","014467847,9841445271,"
Total Digital Photo Studio,"Duwakot Mode, Sallaghari,","9803297563,9803297563,"
Arpan Trading Pvt. Ltd.,"Tripureshwor Teku Road,","+977-1-4245150+977-1-4238088,,"
Kopila Nepal,"PO Box 287 Bulaundi 6,","+997-61-453486+977-61-456403,,"
GURUNG PRINT CENTER PVT. LTD.,"Bagbazar,","4241215,,"
University Computer and Photocopy Service,"Nayabazar, Kirtipur, Kathmandu, Nepal ,","00977-1-4332351,9841267146,"
REPRO VISION PRESS PVT. LTD.,"Minbhawan,","977-1-4472196,9851051767,"
Afnai Photo Copy,"Naxal,","00977-1-4420936,,"
AKASH COMMUNICATION AND PHOTO COPY CENTRE,"Maharajgunj,","43716944373093,,"
Arpan Trading Concern,"GPO: 2788, Ktm, Teku,","42474654245150,,"
Canon Photocopy & Stationery,"Kalimati, P.O. Box: 2537, Ktm,","00977-1-42708084281808,,"
COS TRADING COMPANY,"Kamaladi,","42248364223219,,"
D AND D EMPORIO,"Khichapokhari,","42218724248661,,"
DHARAN ONLINE.COM,"Putalisadak,","4226088,,"
Digital Color Photocopy,"Putalisadak, P.O. Box: 9424, Ktm,","00977-1-44129464411293,,"
Gold Tech International (P) Ltd.,"New Road,","42563364223478,,"
GOLD TECH SERVICES,"Ghantaghar,","4223478,,"
HIGH HIMALAYAN PVT. LTD.,"Bouddha,","44720514479727,,"
HIMALAYAN POWER SOLUTIONS PVT. LTD.,"Teku,","41045454104546,,"
KRISHNA AND SERVICE BUSINESS CONCERN,"Ekantakuna, Lalitpur","5554986,,"
NET ZONE,"Nepalgunj Road,","525449523468,,"
OMNI BUSINESS CORPORATE INTERNATIONAL,"Pulchowk, Lalitpur","55355255532006,,"
Shrestha Photocopy,"Putalisadak, P.O. Box: 9424, Ktm,","00977-1-4412946,,"
Standby Photo Copy,"Jamal,","00977-1-4252744,,"
TECHNO TRADING PVT. LTD.,"New Road,","4268735,,"
Tibetan Computer Parkhang & Photocopy,"Boudha, P.O. Box: 8470, Ktm,","00977-1-4481602,,"
Namaste Photo-Copy Centre,"Kopundole,","00977-1-5435590,9851001199,"
Service Man Photocopy Center,"Pulchowk,","00977-1-5524395,9841708154,"
EVERCLEAR SERVICE,"Bijulibazar,","47803264359755,,"
New Shrestha Photocopy,"New Road, P.O. Box: 12078, Ktm,","00977-1-42447784242557,,"
Sagun Photo Copy,"Bagbazar,","00977-1-426549242653184267457,,"
Samrat Copy Service & Stationery Centre,"Lazimpat,","00977-1-44210634428558,,"
SHIVA SECRETARIAL SERVICE,"Thamel,","44168864353032,,"
WORLDWIDE COMPUTER INSTITUTE,"Bhakunde, Kavre","6830439841834928,,"
HIMAL PAPER PRODUCTS,"Buspark,","527713526613,,"
APPLE BUSINESS SECRETARIAL COMMUNICATION,Lalitpur,"55278185526904,,"
Bajra Photocopy,"Boudha, P.O. Box: 20274, Ktm,","00977-1-4482655,,"
Carpet Photocopy,"Chuchepati, Chabahil,","00977-1-44977484479385,,"
CLASSIC COPY AND CREATOR,"Jawalakhel, Lalitpur","5535653,,"
COMMUNICATION LINK,"Thamel,","4230359,,"
