Name,Address,Telephone
Volunteer and Internship Foundation Nepal,"Banasthali kathmandu,","+977-9843290700,,"
Plan Volunteering Nepal,"Kathmandu Thamel 29,","977-1-4418731,977-9851148519,"
Himalayan Trekking Path P.Ltd.,"Paknajol marg-16, Hotel Dream City buliding,","+97714251256,+9779849683092,"
We Volunteer Nepal,"Radha Krishna road, Raniban,","9818828440,9818828440,"
Volunteers Initiative Nepal,"Saibaba Marga, Balaju,","00977-1-4362560,,"
"Dura Student Society, Chitwan","Bharatpur, Chitwan,","+977984-567-4450,+977984-567-4450,"
Sahayatri Nepal,"Kathmandu, Nepal,","9843299881,98432998819861692221,"
Future Nepal Friendship Organization,"Thamel,","9849056230,9849056230,"
Nepal Club Travel & Tours,"Changunarayan - 8, Bhaktapur, Nepal,","unknown,0977 9841655954,"
Future Nepal Travel and Volunteer,"Raniban,","9849056230,9849056230,"
Leo Club of Dharan,"Dharan-16,Sahid Marga,","unknown,+977-9842563712,"
Non profit,"Jorpati,","9851002112,9851002112,"
Nepal Volunteer Development Program,"Chaksibari road, Thamel,","9851124700,,"
Third Eye Volunteer Foundation Nepal,"Kathmandu 15,","+9779841928192,,"
Techno Cottage Nepal,"Shangrila Street (Opp. Greenwich Village), Kupondole Heights, Lalitpur, Nepal,","977-9841550702,977-9841550702,"
SATH Nepal Foundation,"Bhirab Road, Hetauda - 5, Makwanpur, Nepal,","+977-9803032031,,"
Institute of Solar Technology,"Kalimati,Kuleswor ( Naya Basti ) - 14, Kathamandu, Nepal.,","977-1- 0000000,+977-9841440353,"
Actual Adventure Pvt. Ltd.,"Thamel 29,","+9779843598377,+9779843598377,"
Nepal Aots Alumni Society,"Koteshwor, P.O. Box: 20994, Ktm,","00977-1-51006675100786,,"
Alliance nepal- Volunteer work in nepal,"lakeside ,","9856033771,9856033771,"
TRANSFORMATIONS NEPAL (Drugs Prevention And Rehabilitation Center),"Kapan-1, Durgamandir,","+97714823139+97714823140,+9779851089447,"
Help Begin,"44600 Kathmandu Putalisadak New Plaza, KTM 977","98-451-51-858,,"
Bethpahge Church,"Kalika Municipality-3,Chitwan, Bagamati Provision, Nepal,","+9779855048332,+9779824212448,"
