Name,Address,Telephone
Nepgeeks Technology,"Putalisadak Kathmandu,","9869178426984-3026054,9869178426,"
Core Dreams Innovations Pvt Ltd,"Tikhedewal,Bishalchowk,Lalitpur.44700,","015543015,,"
SEO Company Nepal,"Satghumti-29, Thamel,","+977 9841827520,,"
Analogue Inc,"Gausala,","+9779802320803,,"
Nepfinder Innovative I.T. Solution Pvt. Ltd.,"Bashundhara, Kathmandu, Nepal,","014360230,9851189313,"
Trinity Infosys Pvt. Ltd.,"New Road-22,","+977-01-4238034+977 985-1007524,+977-9851007524,"
Bent Ray Technologies,"Jwagal,","00977-1-5526996+977 1526-0252,,"
Capital Eye Nepal,"Jhamsikhel,","00977-1-5013564+977-01-5526615,,"
Web Technology Pvt. Ltd.,"Thamel,","00977-1-444162016914019,00977-9841319835,"
Rillmark Pvt Ltd,"Maitidevi, Setopool ,","01-4420115,98404457539851132116,"
Nur Nepsol Solutions Pvt Ltd,"Munni Bhairab Marg, Tinkune, Koteshwor,","977 980 10 111 85,,"
Web Creation Nepal Pvt. Ltd.,"Bagbazar,","977 42462494243968,977 9851029233,"
AccessWorld Tech Pvt. Ltd,"5th Floor , Bhatbhateene Super Store , Pulchowk ,","9801000575,9801053824,"
e-Zone International,"New Baneshwor, Opposite of BICC West Gate No.2,","+977-1-44830884494072,9802026676,"
Weblink Nepal IT Institute Pvt. Ltd,"Bagbazar, P.O. Box: 21466, Ktm,","00977-1-4248668+977 980 1114897,00977-9841506331,"
MeroNetwork,"Thapathali Rd,","+977 (1) 5111100+977 -01-4426702,09808213062,"
Pracas Infosys,"Main Road Pokhariya,","021-4633777+977 98520-25735,9852025735,"
sah technology pvt. ltd.,"baneswer ,","4283433+977-1-4780466,9840016595,"
SoftNEP,"Bhimsen Gola Marg, Min Bhawan,","977-01-4115934,,"
Digital Gurkha,"Old baneshwor, Kathmandu,","+977980518755101-5913819,,"
DATAHUB PVT LTD,"Thapathali,","+977-1-42473044222025,,"
Websoft Nepal (P) Ltd,"2nd Floor Pashupati Plaza, Honkong Bazar Rd, Narayangarh, Chitwan,","+977-56-527600,+977-9845506426,"
Decade International P Ltd,"Samakhushi Townplanning,","014383043,9851044707,"
Salfox IT Solutions,"1043/31 Bhagawati Marg, Naxal, Kathmandu ,","01-4413364,984154856098400119999803507241,"
Journey4tech,"Ramanad Chowk , Janakpur,","9801035905,9801035905,"
Nxtech Web Development in Itahari,"Itahari 8, Sunsari. Biratnagar Line Bus Stop,","025- 580812,9813478383,"
Amsoft Technologies,"Gwarko-17, Lalitpur,","01-5007646,9841347121,"
Arun Infosys Pvt. Ltd.,"Birganj -5, Parsa, Nepal,","+9779855025175,+9779855025175,"
ITtraders Pvt Ltd,"Swayambhu Marg, Sorakhutte,","9869634634,9849030347,"
THAKUR INTERNATIONAL AND INVESTMENT Pvt. Ltd,"Lamtangi Marg, Chundevi, Maharajgunj, Kathmandu-4, Nepal,","+977-1-4720270,,"
