Name,Address,Telephone
Nepgeeks Technology,"Putalisadak Kathmandu,","9869178426984-3026054,9869178426,"
Marketing In Nepal,"Gongabu, Kathmandu ,","9823861286+977 9843613265,9823861286,"
Analogue Inc,"Gausala,","+9779802320803,,"
Solutions Consultant,"Thamel, P.O. Box: 8974 CPC 281,","00977-1-42242464269008+977-1-4001095,,"
Capital Eye Nepal,"Jhamsikhel,","00977-1-5013564+977-01-5526615,,"
Neptrox Solutions Pvt. Ltd.,"Imadol, Gwarko, lalitpur, Kathmandu Valley, Nepal,","01-6201277,98511201719851220381,"
Rillmark Pvt Ltd,"Maitidevi, Setopool ,","01-4420115,98404457539851132116,"
Grey-Hound Nepal,"Lakeside,","523093,,"
I. Nepal Pvt. Ltd.,"Koteshwor-35,","00977-1-9851014638+977 9842037889,,"
Landmark HR Consultant,"Maitidevi, Kathmandu,","01-4390092,9813054004,"
MeroNetwork,"Thapathali Rd,","+977 (1) 5111100+977 -01-4426702,09808213062,"
Digital Gurkha,"Old baneshwor, Kathmandu,","+977980518755101-5913819,,"
Green Edge Technologies Pvt. Ltd. (GETS),"Aadrasha Marga, Newroad-8, Pokhara, Gandaki,","061526092,985602609298028311339802831134,"
Nepal Trekking Trails Pvt. Ltd.,"Naya Bazzar 17 Nepal,","01-4350828,9818852722,"
Wholesalenepal,"720 Thamel Marg,","977-01-4418151977-01-4417647,9841815891,"
Visit Himalaya Treks Pvt.Ltd.,"Thamel marg, Kathmandu,","01441028,+9779851171527,"
SEO Expert in Nepal - Pradip Khanal,"Samakhushi,","01-6200858,(984) 966-2858,"
GeniusDesigns,"Swayambhu Marg, Kathmandu 44600,","+977 01 4389731,985-1147287,"
Nature Explore trekking,"Thamel, kathmandu Nepal ,","977- 9851131287,+977-9851131287,"
Sharda IT Service Pvt. Ltd.,"Kupondole,","+977-01-5529121+977-015527906,98419424079841442993,"
"The Beekeeping Shop, Beekeeping & Research Centre","Manbhwan, 2546 The Beekeeping Shop, Patan, Lalitpur-5, P.O. Box: 12780, Ktm (shifted from Kumaripati),","+97715547278,,"
Instant Bulk Smtp,"Nepal Bandipur,","0074789494,0167383878,"
Nepifieds,"New road,","9811157797,9811157797,"
NEPBUD,"jwagal, Lalitpur, Nepal,","01-5260276,9801978832,"
Biskoon Marketing Pvt Ltd,"Prayag Marg, New Baneshore,","+9779801233000,,"
Hobb Creation Industries,"Buddhanagar, Kathmandu, Nepal,","(977) 014783422,,"
Nepal Realistic Solution,"Kumaripati,","015525887,977-9801175050,"
Career Dream Education Consultancy,"Bhanu Chowk,","41-528402,980160033998540277139813411285,"
EstateWheel.com,"Kupondole,","5522858,9801033880,"
Mobiland electronic pvt ltd,"kritipur,","977014334235,9779861087804,"
Splendour Group Pvt. Ltd,"N.K. Singh Marga, Minbhawan/New Baneshwor, Kathmandu, Nepal (Adjacent to Sushwastha Hospital),","+977-01-4621790,+977-9801072025,"
UNITED PETROCHEM PVT LTD,"44/1A SIKRI FARIDABAD 121004, unitedpetrochem.com,","8586977603,8586977603,"
Freelancer,"Baluwatar,","01-4423834,9840411694,"
Miracle Career Consult,"MCC House, Dillibazar,","+97714436022,+9779851056103,"
Growthline Travel & Tours,"Pidari chowk-8,","+97741590678,9804848678,"
Market Securities Exchange Co. (P) Ltd.,"OM Dev Plaza Complex, Khechapukhu Road,","+977-1-4248973+977-1-4249558,,"
Nepal Offers,"Luitel Road, Kupondole,","9867164966,9867164966,"
SD Tech Company,"Bharatpur 44200, Nepal,","+977 9809296780,,"
Social Aves Private Limited,"Jawalakhel, Lalitpur,","+977-1-5537595,9801115322,"
Technomark Air Condititon,"Opposite to Bharatpur metropolitan Office,Chitwan,NEpal,","056521150,9855050756,"
Top Brand Nepal WSN,"720 Thamel Margh,","01-441815101-4417647,9841815891,"
HIMALAYA INTERMED,"106 SUMPAKWO MARG, MHAIPEE, KATHMANDU, NEPAL,","+977-1-4362637,-977-9851065096,"
Bala craft Pvt. Ltd.,"Satdobato, lalitpur, nepal,","9801080316,9801080316,"
Prabisha Trading Pvt. Ltd.,"Sambhumarg , Giri Complex Sinamangal, Airport extension road,","+977-1-4490873,+977-985-1170933,"
Business Brainz,"Anamnagar, Kathmandu - 32, Kathmandu,","+977 01 6923254,,"
Elscript Technology Pvt Ltd,"Bagmati,","+9779818439664,,"
Epitome Solutions Pvt Ltd,"Kathmandu 44600,","+977 -9840060488,,"
jay bhole baba suppliers,"shreeram gali, mahaveersthan-8,","00977-051-529347,9855028288,"
Webheart Pro,"Kathmandu 44600,","+977 984-1642933,,"
A1 MEGA MART PRIVATE LIMITED,"Kalaiya 13 , Main Road Near kalaiya Electricity Office BARA (NEPAL),","+9779843819622,+9779843819643,"
Dewa Traders Pvt. Ltd,"Jadibuti, Pepsicola Road,","9849668970,9808599481,"
EkGhanti,"Bagmati,","+977 9816 44 88 12,,"
EveMoo,"Kathmandu 44600,","+977 981863384301-4491396 +977 9818633844,,"
Feature Studios,"Nanicha House, 3rd Floor, Kupondole Hts Rd, Lalitpur 44600,","+977 9803190858,,"
Kalpa Creatives,"Kathmandu 44600,","+977-1-6203488,,"
KTM Coders,"Tinkune -32, Kathmandu 44600,","+977 9843367243,,"
Pixel Design,"Jyatha Marg, Kathmandu 44600,","+977 1-424-8846,,"
Roaming parrots Nepal,"Koteshwor, Bhatbhateni,","9841758629,9841758629,"
Sajilo Market,"Biratnagar,","9800950300,9862186125,"
SEO Services Nepal (ONEUS Solutions),"SEO Service,","07200018421,07200018421,"
Digital Marketing Nepal,"Digital marketing freelancer. www.digitalmarketingnepal.com,","+91-8588997764,+91-8588997764,"
Terai Ko Itta Suppliers (depot),"Makalbari-15, Gokarneshwor,","9845022009,,"
Alwazebrand,"Bagmati,","+9779816071322,,"
Chitooo,"Bagmati,","+97715186057,,"
Elegant Events,"Durbarthok Marg-1, Newroad,","9867284370,,"
Rural Village Water Resources Management Project (RVWRMP),"Tufandanda, Dadeldhura, Nepal,","91-526262526263526264,+977-9841532910,"
NEPA-LAYA,"Kalikasthan,","44124694412395,,"
Agora Web Design,"Lazimpat 2,","977 1 4437191,,"
MarphaTech,"Bagmati,","+977-1-4101084,,"
