Name,Address,Telephone
Real Estate in Nepal,"Munibhairavmarg,","9851183984+977014479043,9841641971,"
Raman Construction (P) Ltd.,"Dhanusha,","521733+977 -1- 4474017,,"
Golyan Group,"Mills Area,","522790525829525271+977 1 4671200,,"
EXCOM GROUP (P) Ltd,"Sixth Floor, Four Square Complex, Naxal,","977-1-4416941/43,,"
Voxel Pvt. Ltd.,"372- Hasapota Ganesh Marga Jhamsikhel, Sanepa, Lalitpur-3 Nepal,,","+977-01-5906122,+9779851108108,"
99ropani,"Kapan,","9841888345,9803066665,"
Hari Om Bal Mukundaya Nama: Real Estate,"Chundevi Temple, Baluwatar-4, Maharajgunj,","+977 1 4721466+977 1 4721447,9849897245,"
Ghar Gadi Nepal,"Lalitpur,","unknown,9801033880,"
Gharghaderikinaun.com,"Kapan, Kathmandu,","9841935603,9841935603,"
Pokhara Rental,"New Road 8,","9815150803,,"
EstateWheel.com,"Kupondole,","5522858,9801033880,"
Nana Properties Pvt. Ltd.,"House no. 756 Lamtinga Marg, Baluwatar,","+01 444 37014429790,,"
OB GURUNG Real Estate & Property Pvt. Ltd.,"6XGM+6WM, Ganeshman Singh Marg,","+977 9856044212+977014479043,+977 9820632087,"
Property 360 Nepal,"4 Square Complex Narayanchour Naxal,","01-4416943,,"
Meroghar.com,"New Baneshowr Kathamandu,","00977-1-5550515,00977-9801115505,"
Nepal Property Services (NEPROSE),"Namuna Marga, Hanuman Nagar, Birtamod 1, Jhapa,","023546089,9852646089,"
PropNepal,"Kalanki,","9861532963,9861532963,"
We Care Engineering Consultancy Pvt.Ltd,"Bharatpur-15,Mangalpur Bazzar,Chitwan ,Nepal,","056695173,,"
Casa Deyra,"Tanka Prasad Marg, Old Baneshwor Height Kathmandu, Nepal.,","+977 01 4478817,,"
The Unity Eco Village,"Lauruk Kaski 4,","9805865724,9861686866,"
Purbeli Real Estate,"Damak-05, Baneshwor Height,","+977 023-580777,,"
Nepal Pashmina Arts,"Maligaoun, P.O. Box: 4169, Ktm,","00977-1-44128494416176,,"
Oriental Construction & Development Co. Ltd. (Sun Rise Home),"Basantapur (H.O),","4241504,,"
Property Consultant Nepal,"Biratchowk,","09842045335,009779842045335,"
Basobaas.com,"Bagmati,","+9779851143935,,"
Brihat Investments Pvt. Ltd,"Sitapaila,","00977-1-42820864286821,,"
ECOLUX Homes,"Maharajgunj,","00977-1-4373344,00977-9851022849,"
Nepa Home Search,"New Road,","00977-1-9803146877,,"
Neupane Consultant,"Biratchowk,","9842045335,,"
Next Properties,"Bagmati,","+977 9851316348,,"
NRNproperties.com,"Bhatbhateni,","00977-1-4431062,,"
NRN PROPERTIES.COM,"Bhatbhateni,","4431062,,"
Orchid Holdings Pvt. Ltd.,"Kamaladi,","00977-1-42330974233098,,"
Real Estate Website,unknown,"00189634,,"
Ansal Chaudhary Developers Pvt. Ltd.,"Sanepa, P.O. Box: 1073, Ktm,","00977-1-553681955481645525039,,"
Best Deal Real Estate Agency (P) Ltd.,"Tangal,","00977-1-44337084426651,,"
Civil Estates Pvt. Ltd.,"Soaltee Mode,","00977-1-40307264030627,,"
Continental Developers Pvt. Ltd,"Tinkune, P.O. Box: 4016, Ktm,","00977-1-4111616,,"
Down Town Housing Company (P) Ltd.,"Tripureshwor, P.O. Box: 11430, Ktm,","00977-1-426137342615922020677,,"
Kasthamandap Land Developers Pvt. Ltd.,"Durbarmarg,","00977-1-4215693,,"
Kathmandu Property Investment & Realstate,"Thamel,","00977-1-4419781,,"
KATHMANDU PROPERTY INVESTMENT AND REAL ESTATE PVT. LTD.,"Tridevi Marg,","4419781,,"
Kumar Lama Real Estate,"Maharajgunj, P.O. Box: 12875, Ktm,","00977-1-472029847213154721071,,"
Oriental Construction & Development Co. Ltd.,"GPO: 556, Ktm, Balkumari,","555035555508005550900,,"
Roadshow Real Estate Pvt. Ltd.,"Sundhara, P.O. Box: 13819, Ktm,","00977-1-42432244240823,,"
Uncle Realestate.com,"Old Baneshwor, P.O. Box: 15142 KPC 901,","00977-1-44788709851051054,,"
Clean Infrastructure Pvt. Ltd.,"Naxal,","00977-1-44447222291943,00977-9851120825,"
Downtown Housing Co. Pvt. Ltd.,"Jawalakhel,","00977-1-500022350002245554017,00977-9813412463,"
Sunrise Cityhomes Developers (P) Ltd.,"Bijuli Bazar,","00977-1-4491141,00977-9802340234,"
The Realtors,"Kupondole, P.O. Box: 7464, Ktm,","00977-1-50106065010684,00977-9801011055,"
Tripura Property Pvt. Ltd.,"Pepsicola,","00977-1-4992615,00977-9851006659,"
BHATTACHAN REAL ESTATE AND HOUSING COMPANY PVT. LTD.,"Maharajgunj,","4720838,,"
Bidding House,"Tinkune, P.O. Box: 25411, Ktm,","00977-1-44824824482483,,"
City View,"Tripureshwor,","00977-1-42613734261592,,"
G. T. Traders & Housing Company (Pvt.) Ltd.,"Pulchowk,","00977-1-55482275531215,,"
G.T. TRADERS AND HOUSING COMPANY PVT. LTD.,"Pulchowk, Lalitpur","55482275531215,,"
INDRENI REAL ESTATE,"Maharajgunj,","472070247213329851066690,,"
One Ropani Dot Com Pvt. Ltd.,"Pulchowk, Lalitpur","5009111,,"
Real Estate Expo 2009,"Bhrikutimandap,","00977-1-411710342613734262168,,"
Real Estate Nepal,"Kalimati,","2021017,,"
Robeus Zeestar Builders & Developers Pvt. Ltd.,"Tinkune, P.O. Box: 8973 NPC 493,","00977-1-41117364111739,,"
Sita Karn Mortgage Services Pvt. Ltd.,"Battisputali, P.O. Box: 8975 EPC 5568,","00977-1-4490731,,"
Sitakarn Mortgage Services Pvt. Ltd.,"GPO: 8975 EPC 5568, Battisputali,","4490731,,"
Varun Developers Pvt. Ltd.,"Dhapasi,","00977-1-4385393/4/5,,"
Westar Properties,"Rabibhawan,","00977-1-4287041,,"
The North Sky Property Developers Pvt. Ltd.,"Lazimpat, P.O. Box: 15142 KPC 218,","00977-1-40010504001051,00977-9851062648,"
Bhandari Real Estate,"Maharajgunj,","00977-1-47217284720147,,"
G. P. Service,"Baluwatar, P.O. Box: 11731, Ktm,","00977-1-44259079841357270,,"
Himalaya Invest & Development Company Pvt. Ltd.,"Nayabazar,","61-537345,,"
Jawalakhel Real Estate & Housing Co. Pvt. Ltd.,"Manbhawan, P.O. Box: 8975 EPC 1245,","00977-1-55385065536554,,"
Krishna Towers Pvt. Ltd.,"New Baneshwor, P.O. Box: 6122, Ktm,","00977-1-4780301,,"
Rasu Land Development & Housing Co. Pvt. Ltd.,"Balkumari,","00977-1-0162113979851045470,,"
Roadshow Real Estate (P) Ltd.,unknown,"061-521011,,"
Roadshow Real Estate (P) Ltd.,"Narayangarh,","056-524338,,"
Sunita Shrestha & Co. (P) Ltd.,"Thapathali, P.O. Box: 241, Ktm,","00977-1-4230917,,"
TAAJ REAL ESTATE PVT. LTD.,"Chipledhunga,","5348235502669856026282,,"
Ambe Housing & Developers Pvt. Ltd.,"New Road,","00977-1-424016724094662292077,00977-9841200073,"
Mac Pvt. Ltd.,"P.O. Box: 8979 NPC 151,","00977-1-01-201059,00977-9851045039,"
Reknowned Porperty Management Pvt. Ltd.,"Lalipur, P.O. Box: 8975 EPC 1587,","00977-1-2103372,00977-9841858725,"
Alfa Housing Co. (P) Ltd.,"P.O. Box: 368, Pkr,","440215,,"
Annapurna Real Estate,"kathmandu,","9851059337,,"
AXIOM REAL ESTATE COMPANY PVT. LTD.,"Jawalakhel, Lalitpur","5540682,,"
Chandra Surya Property Dealer,"Maharajgunj,","00977-1-47201344721707,,"
Chitwan Guransh Investment & Developers (P) Ltd.,"Narayangarh,","056-524421,,"
Dreamz Consultant Pvt. Ltd.,"Soalteemode,","00977-1-42898599851015161,,"
JAWALAKHEL REAL ESTATE AND HOUSING PVT. LTD.,"Jawalakhel, Lalitpur","55365545538506,,"
K. C. Housing Pvt. Ltd. & K. C. Construction Firm,"Gharipatan,","53758855202549851058045,,"
Lalit Real Estate,"Satdobato,","00977-1-55249099851046897,,"
Lama Real Estate,"Maharajgunj,","00977-1-472027947214054720067,,"
LAMA PROPERTY DEALAR,"Maharajgunj,","4373458,,"
Platinum Developers Pvt. Ltd.,"Narayan Chaur, Naxal,","+977-1-4444981+977-1-4444982,,"
"Property Dealers, Land Developing Company","New Baneshwor,","00977-1-478322447832239851025344,,"
Shrijana Aawas Co. Pvt. Ltd.,"Maharajgunj,","00977-1-4370531,,"
Shrijana Real Estate,"Maharajgunj,","00977-1-43705319851051640,,"
Siddhi Ganesh Aavash Co. (P.) Ltd.,"New Baneshwor,","00977-1-4495572,,"
Sugam Real Estate Service,"Jhamsikhel, P.O. Box: 8975 EPC 2357,","00977-1-55283369851037826,,"
UNITED CITIZENS INVESTORS GROUP,"Kathmandu,","4412747,,"
Halesi Mahadev Ghar Jagga Kharid Bikri Pvt. Ltd.,"Koteshwor,","00977-1-44943789851009971,,"
Kathmandu Property Developers & Real Estate,unknown,"4426284,,"
Indreni Real State,"Maharajgunj,","00977-1-472070247213329851066690,,"
ADHIKARI BUILDERS PVT. LTD.,"Dhumbarahi,","4432954,,"
Buddha Housing Real Estate,"Maharajgunj, P.O. Box: 5942, Ktm,","00977-1-4372300,,"
Durga Bhawani Developers Pvt. Ltd.,"Dhumbarahi, P.O. Box: 20661, Ktm,","00977-1-44295444443013,,"
Green Land Nepal (P) Ltd.,"Mahendra Chowk,","525945521071,,"
Hariyali Land & Housing Devlopment Company (P.) Ltd.,"Tangal, P.O. Box: 3843, Ktm,","00977-1-4416544,,"
Lincoln Pvt. Ltd.,"Gongabu, P.O. Box: 8975 EPC 186,","00977-1-2084198,,"
Nepal General Service Co. (P) Ltd.,"Putalisadak,","00977-1-4417039,,"
PRIVATE HOME CONSTRUCTION AND CONTRACTING EMPLOYMENT SERVICE PVT. LTD.,"Lalitpur, Lalitpur","2220161,,"
Take Narsinha Housing Co. (P) Ltd,"Baneshwor,","00977-1-4483324,,"
ANK Real Estate Pvt. Ltd.,"Kupondole,","00977-1-50117365011737,00977-9841500876,"
Astha Laxmi Aawash Company Pvt. Ltd.,"Samakhushi,","00977-1-9841796363,00977-9852671103,"
Bagmati Property Dealers,"Tinkune,","00977-1-44625245639772,00977-9851093072,"
CM Developers Pvt. Ltd.,"Tripureshwor,","00977-1-42336624233358,00977-9741003483,"
Memchhyathem Property Dealer Pvt. Ltd.,"Talchikhel,","00977-1-5544058,00977-9851076262,"
Mount View Residency,"Harisiddhi,","00977-1-5548164,00977-9841374893,"
Prashanti Property,"Dhapakhel,","00977-1-5003039,00977-9851048905,"
Shilanyas Housing & Company Pvt. Ltd.,"Kapan,","00977-1-4810643,00977-9851016703,"
Town Developers Pvt. Ltd.,"Teku,","00977-1-4104601,00977-9841298959,"
Aayusha Developers Pvt. Ltd.,"Shantinagar,","00977-1-410752341077924107773,,"
Adhikari Buildiers Pvt. Ltd.,"Dhumbarahi,","00977-1-4007573,,"
Anand Real Estate,"Samakhushi,","00977-1-4381286,,"
Annapurna Property Dealers Pvt. Ltd.,"New Baneshwor,","00977-1-4498792,,"
ANNAPURNA PROPERY DEALERS PVT. LTD.,"New Baneshwor,","4498792,,"
A. R. Services,unknown,"00977-1-66156779851051360,,"
A to Z Developers Pvt. Ltd.,"Thapathali,","00977-1-4219454,,"
Bhagwan Shree Satya Sai Real Estate & Housing Co. Pvt. Ltd.,"Lagankhel,","00977-1-21104549841224594,,"
BHAGWAN SHREE SATYA SAI REAL ESTATE AND HOUSING CO. PVT. LTD.,"Lagankhel, Lalitpur","21104549841224594,,"
Bina Housing & Land Development Company Pvt. Ltd.,"New Baneshwor, P.O. Box: 6850, Ktm,","00977-1-44778099851049383,,"
BINA HOUSING AND LAND DEVELOPMENT COMPANY PVT. LTD.,"New Baneshwor,","44778099851049383,,"
Birat Aawas Sewa Sanstha,"Dharan Road,","524845,,"
BIRGUNJ REAL ESTATE,"Maisthan,","522331,,"
BIRAT AAWAS SEWA,"Sabhagrigha,","5325409852024800,,"
BISHESH GENERAL SERVICES CO. PVT. LTD.,"Kaski,","0612064999846111188,,"
B. R. Awas Co. (P) Ltd.,unknown,"00977-1-66107206611365,,"
Brunei Real State,"Maharajgunj,","00977-1-4373522,,"
California Housing Pvt. Ltd.,"Chhetrapati,","00977-1-6205970,,"
CD Developers Pvt. Ltd.,"Tripureshwor,","00977-1-42431204252124,,"
Central Development Housing & Settlement Co.,"Narayangadh,","521511,,"
Civil Infrastructure Developers Pvt. Ltd.,"Soalteemode,","00977-1-40306274030628,,"
Classical Real Estate Pvt. Ltd.,"Basundhara,","00977-1-21500089851057058,,"
CONTINENTAL PROPERTIES,"Tinkune,","2054001,,"
DIRECT HOUSING,"Birgunj,","527163,,"
Dudhkunda Housing Co. Pvt. Ltd.,"Maharajgunj,","00977-1-437090320108349851082015,,"
Gaurav Real Estate & Legal Services,"Ason,","00977-1-42204744213613,,"
