Name,Address,Telephone
GHALE TREKS AND EXPEDITION PVT. LTD.,"Thamel,","44209144437187,,"
GUIDE FOR ALL SEASONS TREKKING PVT.LTD.,"Gairidhara,","4410897,,"
NATRAJ TOURS AND TRAVELS PVT. LTD.,"Kamaladi,","422253242220144220001(977-1) 5261521,,"
HIMALAYAN TRAVELLERS CLUB TOURS AND TRAVEL PVT. LTD.,"Thamel,","4386536985104867+977 -01-4152100,9851027652,"
HARD ROCK TREKS AND EXPEDITION PVT. LTD.,"Thamel,","42590674263375,,"
Holidays to Nepal Pvt. Ltd.,"Lainchaur-29,","0097714413408,009779851166779,"
Attentive Holiday Travels and Tours pvt ltd,"A1 business complex Thamel Marg Thamel,","977-01-4412379+977-01-4412379/4413848,977-9851070284,"
"Shree Yoga Retreat, Nepal","Maitrinagar, Kirtipur,","9864537187+977-9814140515,9814140515,"
Shera Sherpa Adventures,"Post Box - 3417 Kathmandu, Nepal,","977 980816038000977984382313,977 9808160380,"
Asian Mystery Treks,"Thamel,","+977 1 4414079+977 -985-112-2733,+977 9851122733,"
Karma Eco Adventure,"Boudha ,","+977-9841142526,+977-9841142526,"
Annapurna Foothills Treks & Expedition,"Narayantar, Jorpati,","014917745+977 9841579429,977 9860711710,"
Gold Mountain Nepal Treks & Expedition Pvt. Ltd,"Kathmandu, Nepal,","+9779849454553,+977-9849454553,"
Nepal Planet Treks and Expedition,"Thamel , Kathamandu ,","977-1-4252196+977 9841613822,977-1-9841613822,"
Outshine Adventure Pvt.Ltd,"Thamel, pakanajol,","(+977)014701444,9801026351,"
Ethic Himalaya Treks & Expedition P. Ltd,"Shorakhutte, P.O. Box: 9972, Ktm,","00977-1-4365416+977 -1- 4002128,00977-9751006092,"
Trekking Guide Team Adventure,"3rd Floor Puskar Hotel, Nursingh Chwok, Thamel, Kathmandu, Nepal,","9851229400+977 - 01- 4218807,+977 9851229400,"
NEPAL VISION TREKS AND EXPEDITION PVT. LTD.,"Thamel,","441391544232974424762+977 443-0653,,"
KAILASH HIMALAYA TREKS,"Bagbazar,","4241249+977 9813585999,+9779851002789,"
Ktm Guide,"Satghumti, Thamel,","+977 9841027948,+977 9841027948,"
iTourNepal.com P Ltd.,"Galkopakha, Thamel,","977 1 4363643,977 1 9751015645,"
Yeti Trail Adventure Pvt. Ltd.,"Nayabazar, Kathmandu, Nepal,","97714380815,9779849491482,"
Himalayan Mentor Pvt. Ltd.,"Thamel,","00977-1-977 1 44139014414127+977 1- 4360381,00977-977 9808143648,"
Nepal Hiking Adventure Company Pvt.Ltd,"Thamel, Kathmandu, Nepal,","+977 9841683501,+977-9851087391,"
Himalayan Exploration Treks,"Ekikaran Sadak, Khusibun - 17,","+97714388913+97710941023371,,"
Peak Promotion Pvt. Ltd.,"Jyatha, P.O. Box: 5237, Ktm,","00977-1-426311542638394243296+977 9841135705,,"
Dream Heaven Adventure Pvt. Ltd.,"Thamel,","+97714411938,97714389321,"
Advanced Adventures,"Bhagwan Bahal, Thamel, Kathmandu, Nepal,","977-1-4444153,+9779851040806,"
Boundless Adventure (p) Ltd,"Thamel, Kathmandu, Nepal,","977-1-4701884+9779851033819,977-1-9851033819,"
Global Holidays Adventure P.Ltd,"Thamel 29 Kathmandu,","+977-9849495994+977 1-4420009,,"
High Camp Adventure,"Thamel Marg, Thamel, Kathmandu,","985-1031822,985-1031822,"
Index Adventure Pvt. Ltd,"Chaksibari Marg, Kathmandu 44600,","985-1167996,985-1167996,"
Advent Himalaya Treks (P) Ltd.,"Ranibari, P.O. Box: 20364, ktm,","00977-1-4385532016211837+977 1 4357394,00977-9841479947,"
Above The Himalaya Trekking (P) Ltd,"Shukra Bhawan, Thamel, Kathmandu, Nepal,","977-1-4426818+977-1- 4387109 / +977-9851095800,977-9851095800,"
Exotic Destination Nepal Tours & Treks,"Thamel, P.O. Box: 9892, Ktm,","00977-1-44203514420381,00977-9851041464,"
Sports Tours & Travels Pvt. Ltd.,"Thamel, P.O. Box: 19503, Ktm,","00977-1-4264964,,"
MOON SUN TRAVELS AND TOURS PVT. LTD.,"Naxal,","4435194442940844269274444706,,"
Amigo Treks & Expedition,"Tredevi Marg Thamel,","+97714512014,+9779851136878,"
Access Nepal Tour & Trekking,"Thirbam Sadak,Acharya Galli,","+97714444152,,"
Nepal Kailash Trekking Pvt. Ltd.,"Yoyesworu Marg,","014365099,9851064386,"
Nepal Tours,"Lazimpat Road, Kathmandu, Nepal,","+97714002108+97715554471,9851090345,"
Mosaic Adventure Trek & Expedition Pvt. Ltd.,"Thamel, P.O. Box: 9585, Ktm,","00977-1-4267644,,"
Asian Heritage Tours And Travels Pvt. Ltd.,"Jyatha,","42151774257068985-1019279,,"
SHAKTI TRAVELS AND TOURS PVT. LTD.,"Lazimpat,","442855244286914428729+977 -985-1026424,,"
Nepal Gateway Overseas Pvt. Ltd.,"Basundhara, P.O. Box: 26302, ktm,","00977-1-43609244360853+977014512103,,"
Global Adventure Trekking,"44600 Chakshibari Marg,","97714700356+977 1 4700355,9841485631,"
Welcome Nepal Treks & Tours P.ltd,"Thamel, P.O. Box: 15142 KPC 547,","00977-1-4253677,00977-9841767236,"
Trekking Experts (P) Ltd. | Best Trekking Agency,"P.O. Box: 8008, Kathmandu, Nepal,","+977 1 4376800+977 -984-102-7075,+977 9841027075,"
Nepal Mountain Trekkers,"Thamel,","97714248594,9841657877,"
Mountain Monarch Adventures (P) Ltd.,"Lainchour, P.O. Box: 980, Ktm,","00977-1-4361668+977 -98510-79588,,"
Nepamount Trekking Pvt. Ltd.,"St. Jorpati-2,","977-1-4913020,977-9849343960,"
Touch Kailash Travels & Tours Pvt. Ltd.,"Thamel, Kathmandu, Nepal,","014700478014700357014700249+977 985 1092632,9851092632,"
Trekking Team Group,"Post box: 12863, Chaksibari Marg, JP School Road, Thamel,","0097714354519+977 01-4227506,,"
NEPAL YELLOW PAGES,"Baneshwor,","44766334461716+977 984-1472979,,"
Archaic Nepal Adventure,"Paknajol Street, Ext. Thamel,","+977-1-4364083,,"
Hike on Trek,"Thamel,Kathmandu,","014414568+977-9860291455,+977-9851237317,"
Eco Holidays Nepal,"Kaldhara Marg, Kathmandu, Nepal,","+977 9851136074,9813633817,"
Himalayan Recreation Treks & Expedition Pvt. ltd,"kathmandu NEPAL,","97714388009,9779851101413,"
Nepal Everest Trans Service Pvt. Ltd.,"Lainchour, P.O. Box: 19676, Ktm,","00977-1-4443633016922034+9779860900046,00977-9851043540,"
MONTEROSA TREKS AND EXPEDITION PVT. LTD.,"Thamel,","4700348+977-9801031674,+977 9851031674,"
Mountain Hawk Treks & Expedition Pvt.Ltd.,"Thamel, P.O. Box: 10923, Ktm,","00977-1-4438258+977 4438259,00977-9841441618,"
Travel Max Guide Adventure Pvt. Ltd.,"Thamel, Kathmandu, Nepal,","+977 9843688010,+977 9843688010,"
CMS Nepal (P.) Ltd.,"Bhotahity, P.O. Box: 10302,","00977-1-4250508+977 9851062974,,"
