Name,Address,Telephone
EXCOM GROUP (P) Ltd,"Sixth Floor, Four Square Complex, Naxal,","977-1-4416941/43,,"
D & S Complex,"35-37 Bhimbazaar Marg, Taxichok, Bagar-1,","061521526,+9779806706692+9779856035526,"
Yolo Directory,"Kathmandu, Nepal,","4110826,98010035019801003502,"
Hari Om Bal Mukundaya Nama: Real Estate,"Chundevi Temple, Baluwatar-4, Maharajgunj,","+977 1 4721466+977 1 4721447,9849897245,"
Gharghaderikinaun.com,"Kapan, Kathmandu,","9841935603,9841935603,"
OB GURUNG Real Estate & Property Pvt. Ltd.,"6XGM+6WM, Ganeshman Singh Marg,","+977 9856044212+977014479043,+977 9820632087,"
Property 360 Nepal,"4 Square Complex Narayanchour Naxal,","01-4416943,,"
Nepal Property Services (NEPROSE),"Namuna Marga, Hanuman Nagar, Birtamod 1, Jhapa,","023546089,9852646089,"
PropNepal,"Kalanki,","9861532963,9861532963,"
Casa Deyra,"Tanka Prasad Marg, Old Baneshwor Height Kathmandu, Nepal.,","+977 01 4478817,,"
