Name,Address,Telephone
Green Design Nepal Pvt. Ltd.,"1st Floor, Shankamul Tower, Shankamul,","9851120343,9851120343,"
Vara Architects and Builders (Pvt) Ltd.,"Baneshower , Kathmandu,","9851000641,9816900341,"
Atrium Designers and Builders Pvt. Ltd.,"Anamnagar Kathmandu Nepal,","9851164971,9841641971,"
Voxel Pvt. Ltd.,"372- Hasapota Ganesh Marga Jhamsikhel, Sanepa, Lalitpur-3 Nepal,,","+977-01-5906122,+9779851108108,"
Nabil Construction (P) Ltd.,"chabahil chuchepati Kathmandu ,","9851000641,9816900341,"
G.A Builders (P.) Ltd. (Former G.A. Smart Housing),"Lamingtan Marg, Kathmandu 44600,","+977-1-4537766,,"
Artwill Interior Pvt Ltd,"Kathamandu ,","9851253440,9841309009,"
Evolve Design Studio,"Block 1, Tori Mill Compound, Near Gyaneshwor Community park,","+97714426022,9818932370,"
Azad Metal engineering Pvt. ltd,"balkhu ,","014036232,+9779823087617,"
New DK Suppliers,"Min Bhawan, Shanti Nagar Gate,","014622158,98510815589851075905,"
Vinayak Interiors Dharan,"Chhata Chowk,Dharan,","9829366914,98293669149804334430,"
Artex Pvt Ltd,"tripureshwor,","97714218274,,"
RK Handicrafts,"Lohal -08 Lalitpur,44700, Nepal,","98511-696-47,98511-696-47,"
J. J. MARBLE HOUSE,"Samakhushi,","4353017,9802034434,"
Sustainable Building Design Nepal,"Kalimati, Kathmandu, Nepal,","+977-9841403407,+977-9841403407,"
RIDDHI SIDDHI HARDWARE,"Bhotaybahal ,teku . ,","01-4267547,98042812529845234308,"
Shree bajra barahi itta udhyog,"Chapagaun; depo:nakhipot,","9851038053,,"
Pashupati Hardware,"PashupatI Hardware, Old Baneshwor Height, Setopul, Kathmandu,","98011242419808418007,,"
Marble Palace Ind. Pvt Ltd,"Tinkune & Pepsicola Road,","4112245411220149900524990149,,"
