Name,Address,Telephone
A.K. Enterprises,"Chandrauta,Kapilvastu,Nepal","076540117,,"
Batas Brothers,"Naya bazar,","+977-61-523029+977-61-530107+977-61-534707+977-61-532466,,"
Infratech Pvt. Ltd.,"Putalisadak,","+977-1-4100543,,"
Sipradi Trading (P) Ltd.,"Prithvi Hwy,","+977-61-538499,,"
Prabisha Trading Pvt. Ltd.,"Sambhumarg , Giri Complex Sinamangal, Airport extension road,","+977-1-4490873,+977-985-1170933,"
Dinesh Automotives,"Chatakpur 3,","+977 91-520892,,"
Earth Auto Wheels Pvt.Ltd.,"Dharan Road 4, Pipal Chowk ,","021462164/021462310,9801037414,"
Kisan Trading Concern,"PH39+MCC,","+977-91-521242,+977-980-1702786,"
Vehicle Consult Pvt. Ltd.,"Biratnagar, Pipal Chowk,","9851166880,9851166880,"
AIT Pvt. Ltd.,"Teku Road, P.O. Box: 4869, Ktm,","00977-1-42536614248657,,"
National Motors,"Dharan Road, P.O. Box: 203, Brt,","526238,,"
Rajesh Automobiles,"Buddha Marg,","520024521788,9807367050,"
Ace Auto Traders,"Kawasoti Nawalparasi,","078-540272,98550575449845083705,"
Auto Link,"Maharajgunj,","00977-1-44334354006677,9841147371,"
Bama Motors Pvt. Ltd.,"Thapathali, P.O. Box: 19707, Ktm,","00977-1-42266554223022,00977-9851105945,"
Kaaya International Pvt. Ltd.,"Jawalakhel,","00977-1-55450306203427,00977-9851083300,"
Kedia International Pvt. Ltd.,"New Baneshwor, P.O. Box: 13368, Ktm,","00977-1-41070284107029,00977-9851095861,"
Nepal Motor Parts,"Link Road,","051-229050,9855025925,"
Padma Shree (P) Ltd.,"Nagpokhari, P.O. Box: P.O.Box: 5623, Ktm,","00977-1-44119004435688,,"
Saakha & Universal Automobiles Pvt.Ltd.,"Khusibu,","00977-1-438799343845942296909,00977-9851025061,"
BG Nepal Pvt. Ltd.,"Naxal, P.O. Box: 5062, Ktm,","00977-1-4411919,,"
Bishal Motors Pvt. Ltd.,"Kalanki,","00977-1-42883994289099,,"
Continental Associates,"Tinkune,","00977-1-205400341117764111616,,"
IME Automotives Pvt. Ltd.,"Panipokhari,","00977-1-40025724002573,,"
Karmacharya Intercontinental,"Thapathali,","00977-1-41015424101543,,"
Karmacharya Intercontinental,"Mahendrapul,","61-521571523016522094,,"
KTM Auto Traders,"Swoyambhu,","00977-1-4357072,,"
Morang Auto Works,"Rani,","21-435618,,"
Motor City Pvt. Ltd.,"Kopundole, P.O. Box: 1512, Ktm,","00977-1-55556955555795,,"
Nakasu Motors Pvt. Ltd.,"Balaju,","00977-1-436202443640164365114,,"
Nemlink International Traders Pvt. Ltd.,"Panipokhari,","00977-1-444326244103234006528,,"
Paramdu Motors,"Nagpokhari,","00977-1-44442014434660,,"
Pooja International,"Panipokhari,","00977-1-40066054006606,,"
Saakha & Co. Pvt. Ltd.,"Hattisar, P.O. Box: 15, Ktm,","00977-1-233199244227984436732,,"
Sipradi Trading (P) Ltd.,"Naikap, P.O. Box: 192, Ktm,","00977-1-43115014311502,,"
Syakar Company Ltd.,"Jyoti Bhawan, P.O. Box: 133, Ktm,","00977-1-42251314240801,,"
Tej & Karan Enterprises,"Teku Road, P.O. Box: 2580, Ktm,","00977-1-423199942489904254792,,"
United Traders Syndicate Pvt. Ltd.,"Sinamangal, P.O. Box: 2640, Ktm,","00977-1-4478301-5,,"
City Motors,"Samakhushi, P.O. Box: 19399, Ktm,","00977-1-43888464388847,00977-9851115047,"
Dugar Brothers & Sons,"Balaju Branch,","00977-1-4362992,,"
Hansraj Hulaschand & Co. (P) Ltd.,"Teku Road, P.O. Box: 363, Ktm,","00977-1-42300014261200,,"
Hulas Motors Pvt Ltd.,"Mills Area,","435155435035,9852021466,"
Saakha & Universal Automobiles Pvt.Ltd.,"Minbhawan,","00977-1-44847144484715,00977-9851025061,"
ACADEMIA AUTOMOVILISTICA LOS PROFESIONALES,CARRERA 21 # 14-46,"8722044,,"
Agni Incorporated Pvt. Ltd.,"Birtamod, Jhapa","023-540351,,"
Auto Enterprises,"GPO BOX # 10143MACHALI, LAGAN ROADTEKU,","6914449852024601,,"
Bhudeo Trading,"Thapathali,","00977-1-42442544258717,,"
Bike Kin Bech,"Ghattekulo,","unknown,00977-9803551342,"
Continental Trading Enterprises Pvt. Ltd.,"Tinkune,","00977-1-2054003,,"
Drive In,"Pulchowk,","00977-1-553094255434605010504,,"
Dugar Auto Clinic Pvt. Ltd.,"Balaju,","00977-1-4382455,,"
Gandaki Trade House,"Naya Bazar,","521206524848,,"
Mahalaxmi Motors Pvt. Ltd.,"Mahalaxmisthan,","00977-1-55484475548459,,"
Pratyush International (P) Ltd,unknown,"526238,,"
Constant Business Group Pvt. Ltd.,"Durbarmarg, P.O. Box: 3295, Ktm,","00977-1-42299854229986,00977-9851007600,"
Joshi Automobiles,"Gongabu,","00977-1-43541624354021,00977-9851025406,"
Neev Continental Pvt. Ltd.,"Teenkune, P.O. Box: 21279, Ktm,","00977-1-41175194117523,00977-9851137678,"
Ratnalaxmi International Pvt. Ltd.,unknown,"081-565030565032565033,9858024075,"
Amarsons International,"Tripureshwor, P.O. Box: 3202, Ktm,","00977-1-42614514261889,,"
AM International Pvt. Ltd. (Auto Mart),"Thapathali, P.O. Box: 1374, Ktm,","00977-1-42333314227653,,"
Amit Traders,"Sinamangal,","00977-1-4487911,,"
Apex International Associates Pvt. Ltd.,"Kamaladi, P.O. Box: 9378, Ktm,","00977-1-4243743,,"
Auto Sales & Service (P) Ltd.,"Old Baneshwor, P.O. Box: 8975 EPC 551,","00977-1-44730244473150,,"
Auto Ways Pvt. Ltd.,"New Road,","532469540356540349,,"
Batas Brothers Motors (P) Ltd.,"Gairidhara,","00977-1-40047444004745,,"
Bijeshwori International,"Kamalpokhari, P.O. Box: 8107, Ktm,","00977-1-442543544150014434992,,"
Car Mart (RPM Trading (P) Ltd.),"Thapathali,","4230008,,"
Cosmic Automobiles Pvt. Ltd.,"Nagpokhari, P.O. Box: 3488, Ktm,","00977-1-442867944103944419690,,"
Deep Laxmi Intercontinental (P) Ltd.,"New Baneshwor, P.O. Box: 3370, Ktm,","00977-1-47851814782847,,"
Dongfeng Sales Nepal (P) Ltd.,"Swayambhu, P.O. Box: 363, Ktm,","00977-1-42726774287140,,"
Eastern Motors Pvt. Ltd.,"Gairidhara,","00977-1-40046264004627,,"
Greenland Marketing (P) Ltd.,"Soyambhu, P.O. Box: 9005, Ktm,","00977-1-427001420912659851040315,,"
Habi Auto Trading,"Murli,","523987525244,,"
Himalaya Auto Industry,"Tankisinwari,","528654525719,,"
Himchuli Auto International (P) Ltd.,"Basundhara,","00977-1-43532954385531,,"
Jonchhen Traders,"Nayabazar,","528589,,"
Karan Motor Co. Pvt. Ltd.,"Thapathali, P.O. Box: 4869, Ktm,","00977-1-422909942211744226722,,"
Leon Motors Pvt. Ltd.,"Shantinagar,","00977-1-462207446224854622147,,"
Mahabir Automobiles,"Dharan Road,","522208531592,,"
Mahavir Trade Concern,"Kalimati, P.O. Box: 13, Ktm,","00977-1-42703669851088208,,"
Mero Motors (P) Ltd.,"Thapathali,","00977-1-4230008,,"
National Motors,"Tinkune,","00977-1-4460110,,"
Nepal Auto Distributors (P) Ltd.,"Kamaladi, P.O. Box: 9378, Ktm,","00977-1-4243743,,"
Nepal Motor Company (P) Ltd.,"GPO: 1452, Ktm, Tripureshwor,","42616734229630,,"
New Sakura International,unknown,"071-437754,,"
Palanchowk Traders,"Maharajgunj, P.O. Box: 10187, Ktm,","00977-1-47210354720939,,"
P+P Sales (Pvt.) Ltd.,"Tripureshwor, P.O. Box: 328, Ktm,","00977-1-426019642607284261177,,"
Pragati Automobiles,"Putalisadak, P.O. Box: 2241, Ktm,","00977-1-44179374420279,,"
Sama Motors,"Bhrikuti Path,","521305531305,,"
Saurya Shree Trading,"New Baneswor,","00977-1-47851864782663,,"
Shakya Business System,"Kalimati, P.O. Box: 1360, Ktm,","00977-1-42768664272943,,"
Sipradi Trading (P) Ltd.,"Thapathali,","00977-1-424060742303404242549,,"
South Asian Trading Co. (P) Ltd.,"Thapathali, P.O. Box: 3016, Ktm,","00977-1-42453744245444,,"
Sulux Incorporated Pvt. Ltd.,"Basantapur,","00977-1-4240288,,"
Tata Engineering & Locomotive Company Limited,"Panipokhari,","00977-1-4426820,,"
Tractors Nepal,"Ravi Bhawan, P.O. Box: 1116, Ktm,","00977-1-42767054281749,,"
Vijay Motors Pvt. Ltd.,"Naxal,","00977-1-44332054414625,,"
Vijaya Motors Pvt. Ltd.,"Naxal, P.O. Box: 5062, Ktm,","00977-1-44146254425603,,"
Vishwa Karma Newa,"Putalisadak, P.O. Box: 112, Ktm,","00977-1-4420513,,"
Bhajuratna Engg. & Sales Ltd.,"Adarsha Nagar,","051-521264521204,,"
B. N. Pathak Enterprises,"Chabahil,","00977-1-4499115,00977-9851041859,"
Buddha Enterprises,"Birtamod, Jhapa","541037,9852671221,"
Laxmi Intercontinental P. Ltd.,"New Baneshwor, P.O. Box: 3370, Ktm,","00977-1-47851814782847,00977-9841330520,"
Vijay Motors Pvt. Ltd.,"Pulchowk,","00977-1-5530942,00977-9841413356,"
Anna Automobile Pvt. Ltd.,"Teku,","00977-1-42298554241521,,"
Arun Intercontinental Traders,"Thapathali,","00977-1-422909942290864245361,,"
Bhawana Motor Parts,"Dhunge Adda, P.O. Box: 11993, Ktm,","00977-1-4311208,,"
Dongfeng Sales Nepal (P) Ltd.,"Ganabahal,","00977-1-4250001,,"
Dugar Brothers & Sons,unknown,"520223,,"
East Link Motors Pvt. Ltd.,"Lainchaur, P.O. Box: 14284, Ktm,","00977-1-442779544413584434055,,"
Himalayan Intercontinental (P) Ltd.,"Pulchowk (H.O),","00977-1-55213985545891,,"
Kathmandu Tuk Tuk (P) Ltd.,"Gairigaon,","00977-1-4112057,,"
Lucky Auto Link,"Panipokhari,","00977-1-44241634006506,,"
Mahavir Trade Centre,"Kalimati,","526469522837,,"
Malhotra Enterprises,"Teku,","+977-1-4261820,,"
Morang Auto Works,"GPO: 1452, Ktm, Tripureshwor,","528179,,"
P.R. Traders & Supplier P. Ltd,"Tinkune, P.O. Box: 25891, Ktm,","00977-1-44786839851109286,,"
P.R. Traders & Supplier P. Ltd,"P.O. Box: 250, Brt,","462073462072,,"
Sapana Automobiles Traders,"Kalikanagar, Butwal/Bhairahawa,","071-437754,,"
Sipradi Earthmovers Pvt. Ltd.,"Thapathali,","00977-1-42401334230340,,"
Skida M.A.W,"Thapathali,","00977-1-4216835,,"
Skoda M.A.W.,"Thapathali,","00977-1-4216835,,"
Troika Automobiles Pvt. Ltd.,"Kumaripati,","00977-1-55515215202624,,"
Uttam Motor,"Swoyambhu,","00977-1-427043642735374276045,,"
Greenlite Automobiles,"Kupondole,","00977-1-501177050117719851049259,,"
International Auto Way Centre,"Balaju,","00977-1-43524974352498,,"
COLGATE PALMOLIVE (NEPAL) PVT. LTD.,unknown,"+977-1-522006+977-1-522005,,"
Kapuri Brother's Enterprises,"Sitapaila,","00977-1-4034570,00977-9851014722,"
Rachana Motors,"Barghachi,","021-462216,9851117567,"
Annapurna Motors,"Dharmapath,","00977-1-4243635,,"
Annapurna Vehicle Buying & Selling,"Airport Marg, P.O. Box: 21162, Ktm,","00977-1-44969114472599,,"
Bajrang Automobiles Co. (Nepal),unknown,"580074580219,,"
Lotus Global International Pvt. Ltd.,unknown,"00977-1-44410864441087,,"
Lumbini Motor World (P) Ltd.,"Kamal Pokhari, P.O. Box: 8107, Ktm,","00977-1-4415001,,"
Maruti Showroom,"Thapathali, P.O. Box: 4869, Ktm,","00977-1-422908642290994226722,,"
Nemlink International Traders (P) Ltd.,"Thapathali, P.O. Box: 282, Ktm,","00977-1-42451804232447,,"
On Wheels Auto Traders,"Bagbazar,","00977-1-42267014220396,,"
Rai Automobile Associate's Pvt. Ltd.,"Gongabu,","4418893,,"
Reliable Marketing Enterprises,"Dharmapath, P.O. Box: 40, Ktm,","00977-1-422087042229514226135,,"
Royal Car Centre (P) Ltd.,"Minbhawan,","00977-1-4479466,,"
Shanker Automobiles Agency,"Kalimati, P.O. Box: 287, Ktm,","00977-1-4270372,,"
Shiv Maruti Services,"Dharan Road Bus Stand,","523852,,"
Shiva Maruti Services,"Bus Stand,","523852524476,,"
Shrestha Trading Concern,"Saw Mill Road,","520239521025,,"
United Traders Syndicate Pvt. Ltd.,"Munal Path,","530846,,"
V. K. Trading Circle,"Dhunga Adda,","00977-1-4272439,,"
Annapurna Auto Trade Links Pvt. Ltd.,"Kanchanbari,","021-462256,9852022739,"
Arun Intercontinental Traders,"Jhamsikhel,","00977-1-554716555471665548428,00977-9851013782,"
ASB Investment Company Pvt. Ltd.,"Nayabazar,","061-520602532468,9856024795,"
Asian Trade Link,"TCN Road,","57-521639,9845057250,"
Auto International,unknown,"536724,9842050330,"
Auto Mart International,unknown,"071-438233,9847068678,"
Bhudev Trading,"Munalpath,","532253,9852023086,"
Bishowkarma Automart,"Nayabazar,","061-538863,9856020789,"
CG Automobiles,"Jhamsikhel,","00977-1-554716555471665548428,00977-9851013782,"
CG Automobiles,"Thapathali,","00977-1-422908642290994245361,00977-9851067464,"
Chaitya Laxmi International,unknown,"11-662029,9851010383,"
Geenland Automobiles,"Kupondole,","00977-1-50117705011771,00977-9851049259,"
Global Auto Traders,"Bargachhi,","025-533343,9852045851,"
Manoj Auto Enterprises,"Mitra Park,","00977-1-4469025,00977-9851031547,"
Nabin Auto Centre,"Narayanghat,","056-526975,9855056416,"
Narmada Trade Concern,"Dharan Road,","021-521605,9852021241,"
Narayani Motors Pvt. Ltd.,"Chitwan,","+977-56-524289,+977-9855055521,"
Omni International P. Ltd.,unknown,"+977-1-531947+977-1-525335,+977-9855022991,"
Reknown Automobile Pvt. Ltd.,"Gongabu,","00977-1-4356541,00977-9851084022,"
Renown Automobile Pvt. Ltd.,"Gongabu,","00977-1-4356541,00977-9851084022,"
Rina International Pvt. Ltd.,unknown,"051-528876,9845116385,"
Samar Auto & Trading Pvt. Ltd.,"Ghantaghar,","051530006,9806843973,"
Sayapatri Auto Pvt. Ltd.,"Birtamod, Jhapa","023-542965,9852672700,"
Valley Automobiles,unknown,"00977-1-6636182,00977-9851033861,"
Vijay Motors Pvt. Ltd.,unknown,"021-691444,9852024601,"
Vijay Motors Pvt. Ltd.,"Narayanghat,","056-532567,9855058208,"
Vision Auto Engineering Pvt. Ltd.,"Ratopul,","00977-1-44617944483065,00977-9851007600,"
Yagyalaxmi Auto Distributors,"Surkhet Road,","081-520697,9858021721,"
A & D Auto House,"Nayabazar,","061-522094,,"
Agni Incorporated Pvt. Ltd.,"Dang, Dang","082-560052,,"
Agni Incorporated Pvt. Ltd.,"Dhangadi, Kailali","091-521976,,"
Agni Incorporated Pvt. Ltd.,"Hariban,","529408,,"
Agni Incorporated Pvt. Ltd.,unknown,"033-560054,,"
Agni Incorporated Pvt. Ltd.,"Narayanghat,","526562,,"
Agni Incorporated Pvt. Ltd.,"Bhairahawa, Bhairahawa","522929,,"
