Name,Address,Telephone
Chhaimale Resort,"Ramche Bhanjyang-6, Kathmandu, Nepal,","01-4268121,98511814099860676495,"
Love World Travel and tours pvt ltd,"Satdobato, Lalitpur,","+977-1-5527846,9803977860,"
Scholar Nest Boys Hostel,"Kupondole, 02, Gusingal Chowk,","01-5550105,,"
Snepal Tours & Travel Pvt. Ltd.,"Thamel,","00977-1-4260072,+919873014569,"
Star Adventure Asia Treks (P) Limited,"Boudha-6, Kathmandu, Nepal,","00977-1-4499244,00977-9803626021,"
Himalayan Trekking Path P.Ltd.,"Paknajol marg-16, Hotel Dream City buliding,","+97714251256,+9779849683092,"
Retreat Serviced Apartments,"Bijeshworimarg, Swayambhunath,","977-01- 4274837,977-9801098941,"
Star Boys Hostel,"New Baneshwor, Near uniglobe College(toward Sangam Chowk),","9841100943,9813020352,"
Opera girls hostel,"New baneshwor, thapagaun,","9849032678,9851187951,"
Alfresco Adventure Travel p. ltd,"Dabali Marg, Bhagwan Bahal Thamel,,","+9779851049483,,"
Barahi Jungle Lodge,"Andrauli, Meghauli-1, West Chitwan, Nepal,","+977 56 695447,+977 9851093437,"
Big Sky Treks,"Lakeside-6 pokhara ,","061467848,9846139572,"
KATERO,"Shantipatan, Lakeside-06,","9856026811,9856026811,"
New Om Girls Hostel,"Chabahil,","9841794651,98511242281,"
Thamel Hub Hostel,"Kathmandu - 26, Thamel Marg, Near Thamel House Restaurant, Bhagawati Bahal,","01-4423694,9856086123,"
The Milestone Hotel,"Chibahal Marg, Thamel,","+97715352312,+9779813553698,"
Budget Hotel in Kathmandu,"Shree Ratna Marga, Paknajol, Thamel, Kathmandu,","4700623,9851089497,"
Gandaki Village Trekking and Travel (P) Ltd.,"Paknajol marg-16, Hotel Dream City buliding,","+9779849683092,,"
MANDALA HOTEL PVT.LTD,"LAZIMPAT-2, KATHMANDU, NEPAL,","+97714001733,+9779849867202,"
Subaru Travel Nepal,"Lalitpur-24 , Dhapakhel ,Post box 5387, Kathmandu , Nepal,","977 1 5571144,9851049632,"
Eco-Friendly Treks & Expeditions,"Khusibu,","9851066416,,"
Radhakrishna girls and boys hostel in kathmandu,"Rudramati Marg, Maitidevi, Kathmandu,","9851020396,9851020396,"
ALPS ADVENTURE TREK AND EXPEDITION PVT. LTD.,"Naxal-1, Kathmandu,","+977-01-4425993,9841293254,"
Royal Astoria Hotel,"G.P.O. Box 981, Hattigaunda, Kathmandu, Nepal,","977 1 43728844376845,9851022447,"
Tranquil Homestay,"P.O.B 6817, Mulpani-9, Mulpani Chaur (near Sikhsyalaya School and Nepal Engineering College),","977 1 4160069,9779849600410,"
Sagarmatha Apartment Bed & Breakfast,"Milap Road, Sanepa, Lalitpur,","+977-1-5525556,+977-9813118965,"
Scenic Nepal Treks and Expedition Pvt. Ltd,"Ropeway Sadak, Nayabazar, Kathmandu 44600,","9813205235,9841171257,"
Nepal House Travels Pvt. Ltd,"Baluwatar 4,","014425541,9818722350,"
Open Trail Treks,"Paknajol, Kathmandu, Nepal,","014262719,09860225686,"
Amarawati Boys hostel Pvt. Ltd,"Buddhanagar, just behind alphabeta complex,","9865184900,9865184900,"
Amarawati Boys hostel,"Buddhanagar, behind alphabeta complex,","98651849019851173027,98651849019851173027,"
Backpacker Treks & Expedition (p).Ltd.,"Sorhakhutte,Kathmandu,Nepal,","unknown,9851053697,"
Grandi Travel and Tours Pvt. Ltd,"Ombahal, Newroad,","014228024,9851164290,"
National Niketan Girls Hostel,"Bhumiprashan Chowk,","9852032615,9804014116,"
Splendid Holidays Tours,"Baneshwor, Kathmandu, Nepal,","523350,9812683297,"
Tibet International Travel & Tours (P) Ltd.,"Thamel, Kathmandu,","0977 01 4444314,98511 06298,"
MP Royal Rupandehi Boys Hostel,"New Baneshwor , Thapagau,","9860007775,9806941651,"
Balaji Boys Hostel,"Master Marga , Kalanki,","unknown,9801071231,"
Global Standard Boys Hostel,"Old Baneshwor-09, Kathmandu,","9849102578,,"
INCENTIVE TOURS AND TRAVELS PVT. LTD.,"Lazimpat,","+977 1 4414739/ 4420413 / 4,,"
RANIBAN TREKS AND EXPEDITIONS PVT. LTD.,"Lakeside,","+977 61 539213,+977 9856023451,"
Shakti Travels & Tours,"Lazimpat,","+ 977-1-4428552+977 -985-1026424,+977 - 9851026424,"
Dormitory Nepal,"Geetanjali Marg, Baluwatar,","+9779801127333,+9779801127333,"
PATHIBHARA GIRLS HOSTEL,"MITRAPARK, CHABAHILL, KATHMANDU,","+977-1-4492544,+977-9851128824,"
Nepal Pioneer Treks & Expedition Pvt. Ltd.,"Thamel,","unknown,9841159744,"
Thamel Grand Hotel (p) Ltd.,"Thamel,","+977 1 4700296,,"
The Volunteers Tent,"Jyatha Marg, Thamel, Kathmandu 44600,","980 378 9786,,"
MAI iLAM GIRLS HOSTEL,"nearby Chirayu Hospital, Basundhara,","9808217596,9808217596,"
Nepal Trekking Tourism,"Thamel , Kathmandu,","01-4435828,9851060947,"
DEURALI TRAVELS AND TOURS,"ILAM, BUSPARK,","027520228,,"
Star Lumbini Boys Hostel,"Thapagaon, New Baneshwor,","98410070773,9803917795,"
BROAD BAND CYBER,"LAKESIDE - 6,","061462136,9856024959,"
Cozy Dream Travel and Tours Pvt.Ltd,"Dillibazar, Kathmandu,","014423088014423087,9801087209,"
Cultural Treks & Expeditions,"G.P.O. Box 13309,","0097714415078,009779851092658,"
INFINITE TOURS & TRAVELS PVT.LTD,"P O Box 06, Thamel, Kathmandu,","01-4218271,9851179971,"
Notjusttreks,"Naya Bazaar,","977-1-9841768892,977-1-9841768892,"
Peregrine Treks and Expedition Pvt Ltd,"Nayabaar, Kathmandu,","9851052413,,"
Seven Star Trekking & Tours Pvt. Ltd,"Thamel,","+977-1-4265559,+977-9851138559,"
Earthbound Expeditions,"G.P.O. Box 5801, Thamel, Kathmandu, Nepal,","+977 9851017772,,"
Aasra Eco Treks Pvt. Ltd.,"Boudha-6, Kathmandu, Nepal,","00977 1 4917069,00977 9813938585,"
Nepal Youth Hostel Council,"Tinkhune, P.O. Box: 8975 EPC 989,","00977-1-4480979,00977-9841608995,"
Holy Gems Hostel P. Ltd.,"Dillibazar, P.O. Box: 6767, Ktm,","00977-1-44338244438582,,"
Everest Girls Hostel,"New Baneshwor,","00977-1-44783530,00977-9808306263,"
Hotel Silver Home,"Thamel, P.O. Box: 26584, Ktm,","00977-1-42629864249735,00977-9851071593,"
Star Hostel,"Kupondole, P.O. Box: 10775, Ktm,","00977-1-2297789,00977-9841183958,"
Shanti Niketan Girls Hostel,"Dillibazar,","00977-1-98038410699851019170,,"
Chirayu Boys Hostel,"Buddhanagar,","9845125910,,"
CROSS COUNTRY TOURS AND TRAVELS PVT. LTD.,"Naxal,","44200084415284,,"
Star Lumbini Boys Hostel,"Thapagaon, New Baneshwor,","unknown,98039177959803917795,"
HOTEL MONILA,"Lakeside,","46166846201498460281629726141162,,"
Kathmandu Girls' Hostel,"Kamalpokhari,","00977-1-44198754414344,9841531366,"
Mahendra Youth Hostel,"Jawalakhel,","00977-1-55210035551598,,"
