Name,Address,Telephone
PANCHAKANYA STEEL PVT.LTD.,"Krishnagalli, Lalitpur,","552655155482355526357,,"
Azad Metal engineering Pvt. ltd,"balkhu ,","014036232,+9779823087617,"
Glass Guard,"K-3/78 Budhnagar, New Baneshwor,","+977-1-5902536+977-1-4780022,+977-980-8976094,"
LAXMI STEELS PVT. LTD.,"M8PV+8QH, Sat Marg,","+977 1-4111571+977-1-4111567+977-1-4117502+977-1-4111942,,"
Rajesh Hardwares,"2nd Floor, Bagmati Chambers, Teku, Tipureshwor,","01-4100152/4100153,9849208116,"
Kopiladevi construction n suppliers pvt.ltd,"lagalkhel batukbhairab,","9823267182,9848850206,"
SUPER METAL MANUFACTURING CO.,"7, KIKA STREET, 2/1, GULALWADI, KIKABHAI MANSION, MUMBAI-400004","912223464689,919819909072,"
BHAGAWATI STEEL INDUSTRIES PVT. LTD.,"H02 NE Hway, Gadhimai 44400,","unknown,+977-985-5026258,"
National Structure & Engineering (P) Ltd.,"Lagankhel, P.O. Box: 20157, Ltp,","00977-1-55214055542393,,"
UDECO PVT. LTD.,"Satdobato, Lalitpur","5541289,,"
JAGDAMBA STEEL INDUSTRIES PVT. LTD.,"Chorani,","520300520200,9851063710,"
AARTI STIPS PVT. LTD.,"Balaju,","4351851,,"
ANNAPURNA IRON INDUSTRIES PVT. LTD.,"Sanihat,","523330,,"
BAGESWORI IRON AND STEEL PVT. LTD.,"Thapathali,","42608104260927,,"
GANESH FERROZINC INDUSTRIES PVT. LTD.,"Teku,","4245829,,"
HAMA IRON AND STEEL INDUSTRIES PVT. LTD.,"Tripureshwor,","42617164261148,,"
HANUMAN METALS PVT. LTD.,"Putalisadak,","44111874412268,,"
HIMAL IRON AND STEEL PVT. LTD.,"Kantipath,","422653042252304225490,,"
KOSHI METAL CRAFTS CO.PVT. LTD.,"Ganabahal,","4250001,,"
MARUTI NANDAN ROLLING MILLS,"Adarshnagar,","521024521568,,"
NEPO FINISHING INDUSTRIES,"Narayangadh, Chitwan","520772525888,,"
NEPAL STEEL PVT. LTD.,"Pulchowk, Lalitpur","5520860,,"
OM STEEL STRUCTURE PVT. LTD.,"Imadole, Lalitpur","98510794719841323582,,"
PASHUPATI IRON AND STEEL PVT. LTD.,"Babarmahal,","42582094265405,,"
