Name,Address,Telephone
Sparrow SMS,"8975, EPC 1887 Bakhundole, Pulchowk (100m ahead from opposite of Entrance Cafe), Lalitpur,","+977-1-5522942,9802005007,"
Alpine Ramble Treks,"Nayabazzar, Marg,","014380127+9779851175531,9851175531,"
NCell Pvt. Ltd.,"Krishna Towers, P.O. Box: 9900, Ktm,","00977-1-980555444490059809005000,,"
Haatemaalo online shopping & classified,"New Road,","9779803150150,9779803150150,"
Axis Investment and Development Pvt. Ltd.,"Gairigaun, Tinkune,","014494183,9851134183,"
NGT Mobiles,"Indradev Marg, Narayangarh, Chitwan ,","9860129290,9845506426,"
Aryan Mobile Gallery,"mahendrapool, infront of NTC building (medical line),","061533553,+9779856083621,"
RemaxPokhara,"Arbind Complex, New Road-8, Kaski,","061550434,9802823728,"
Vision World,"C/o Ramit Emporium,Gaighat-2,","+97735420233,+9779852830280,"
Asian Trade Link,"Saheedchowk, (kamalnagarchowk) Narayangarh,","+9779845075532,98450755329845087826,"
EvoStore - Authorised Apple Reseller in Nepal,"Mercantile plaza, Ground floor, Durbar Marg,","977-1-â4212100,,"
Jatatatai Online P. Ltd,"Mid Baneshwor, Sahabhagita Marg,","9801159871,9801159871,"
KTM Plaza Nepal,"Infront Of Shankar Dev Campus Putalisadak,","01-4168085,9851295154,"
RedDoko,"Kathmandu,","01-4031771,9801044204,"
Universal Institute,"Pako, Newroad,","01-4246260,9851198723,"
Cellzen pvt ltd,"thamel-29,","09813999902,09813999902,"
www.synergyestore.com,"Bagdurbar,","+977-01-4233587,9813279992,"
Him Electronics Pvt. Ltd.,"Narayanchaur, Naxal, Kathmandu,","00977-1-5970705,,"
Maa dakneshwori electronics and mobile center,"pato,saptari","9807710183,9842957884,"
Virgin Mobile Pvt. Ltd.,"Shop No. 09 Tamrakar Complex (Mobile Plaza) Pako Market, Newroad,","+977-1-4218928+977-1-4260173,+977-9851198511,"
BANJADE MOBILE SERVICE CENTER,"Butwal 7 amarpath nepal gung road side ,","009779857025816,,"
iPhoneRepairPokhara,"srijanachowk,","unknown,+977 9802825325,"
Tamrakar Complex,"Pako Newroad Tamrakar Complex,","+977 1-4251731,,"
PRADHAN MOBILE HOUSE,"URLABARI-CHOWK, MORANG,","021541992,+9779842091382,"
kabitaMobileCentre,"nagarpalika chowk,damak-11,jhapa,nepal,","023585861,98427919009804842888,"
KALINCHOWK ELECTRONICS AND MOBILE CENTER,"New Baneshwor,","4787711,9841003402,"
NPLmart.com,"New Road,","09861651393,,"
KAUSIKI INFOSYS INTERNATIONAL,"People's Plaza, Pako Sadak,","+977-1-4241438,,"
Samsung Service Center,"Kamaladi,","00977-1-442837844415714441584,,"
Shree centre mobile shop,"Main road, Biratnagar,","021-522223,,"
Cellular Communication Pvt. Ltd.,"New Road,","00977-1-42460704246071,,"
Aakar Tech,"Bagmati,","unknown,,"
CIMEX TRADING PVT. LTD.,"Lazimpat,","44186474419967,,"
Digitek.Com.np Pvt. Ltd.,"Durbar Marg, P.O. Box: 9203, Ktm,","00977-1-42200024241764,,"
Giznp,"Bagmati,","unknown,,"
International Marketing Service Pvt. Ltd.,"Kamaladi,","00977-1-442837844415714441584,,"
I4 TECHNOLOGIES PVT. LTD.,"Kamaladi,","42232824221993,,"
Karbonn Nepal,"Thapathali,","00977-1-4245886,,"
OHM Solution Pvt. Ltd.,"Putalisadak,","00977-1-44397434425351,,"
SAT-NE SHREYS ORGANISATION OF INDUSTRIES PVT. LTD.,unknown,"422508242298864223154,,"
Balu Trade Link Pvt. Ltd.,"New Road,","00977-1-42313724309198,00977-9841492657,"
Windows Mobile,unknown,"00977-1-9851048460,00977-9851048460,"
Fone Zone,"Tripureshwor,","00977-1-2002020,,"
Gadgets Nepal Pvt. Ltd.,"Sorhakhutte, P.O. Box: 9170, Ktm,","00977-1-4366239,,"
IMS Tele Trade P. Ltd.,"Kamaladi, P.O. Box: 2516, Ktm,","00977-1-442837844415714441584,,"
Iphone Services,"Thamel,","00977-1-9841816122,,"
Micro House International Pvt. Ltd.,"Lagankhel,","00977-1-5538306,,"
Start Nepal (P.) Ltd.,"Mahankal-6,","00977-1-44689709841460183,,"
Techno-Tronic Mobile Center (mobile.com),"Khichapokhari,","00977-1-98510291889841514428,,"
A.G.S. Mobiles & Computers,"Tinthana,","00977-1-4315361,00977-9803426003,"
Shanker Impex,"Basantpur, P.O. Box: 1329, Ktm,","00977-1-42247034243209,00977-9851021098,"
Allied Trade Link Int'l Pvt. Ltd.,"Kamaladi, P.O. Box: 2516, Ktm,","00977-1-22398222239844,,"
AMTRONIX PVT. LTD.,"Exhibition Road,","42271264227098,,"
Baba Telecom Centre,"New Road, P.O. Box: 8975 EPC 602,","00977-1-4242312,,"
B. P. TELECOM,"New Road,","4229107,,"
Customer Care,"New Road,","00977-1-4255553,,"
ESTEL Networks Pvt. Ltd.,"Kamaladi,","00977-1-42214454221459,,"
HANSOPHONE ELECTRIC AND ELECTRONICS,"Old Baneshwor,","44927964492970,,"
HOLDING ASIA INC.,"Old Baneshwor,","44730244477526,,"
HONEY ENTERPRISES PVT. LTD.,"Naxal,","441590744150054422495,,"
IMS TELE TRADE PVT. LTD.,"Kamaladi,","44415714428378,,"
LASER HOUSE REPAIR CENTER,"Tripureshwor,","42609884262088,,"
MIMU TRADE LINK,"Dillibazar,","4422493,,"
Mobile Gallery Int'l,"R.B. Complex,","00977-1-4269625,,"
Premiere International Pvt. Ltd.,"New Road,","00977-1-4239975,,"
Prominent International,"Kupondole,","00977-1-21220619851063321,,"
Senao Electronics,"New Road,","00977-1-42312964246391,,"
Teletalk (P) Ltd.,"Tripureshwor, P.O. Box: 1947, ktm,","00977-1-42545462030332,,"
THE ELECTRONIC SHOPPE,"Dharmapath,","42405694244873,,"
THE MOTIVE TECH PVT. LTD.,"Kalimati,","428692542772089851009081,,"
Trend'z,"Khichapokhari,","00977-1-42224724232064,,"
WAVE ZONE TRADERS,"Kathmandu Mall,","4150106,,"
WORLDWIDE TRADING CO. PVT. LTD.,"Lazimpat,","44125474415647,,"
Jaya Mata Di Mobile House,unknown,"542270,9842656370,"
Matrix International,"Machindra Marg,","00977-1-5523500,00977-9721567046,"
Newtake International,"Sanepa,","00977-1-55421695542278,00977-9851132814,"
Reliable Tech,"Pulchowk,","00977-1-2042073,00977-9813281847,"
TWO FOUR SIX IMPEX PVT. LTD.,"Pako Mobile Bazar, Tamrakar Complex, First Floor, Pako,","+977 1-4258192,,"
A.G.S. Computer & Mobile Center,"Kalanki,","00977-1-4315316,,"
Alliance Management Services Pvt. Ltd.,"Gairidhara,","00977-1-40045894004590,,"
ALLIED TRADE LINK INTERNATIONAL PVT. LTD.,"Kathmandu,","22398222239844,,"
Ambar Trading House,"Kamaladi,","42463384219120,,"
AMBER TRADING HOUSE PVT. LTD.,"Kamaladi,","42463384219120,,"
Biz International,"Newroad,","00977-1-2035874,,"
Call Mobility Pvt. Ltd.,unknown,"00977-1-4240886,,"
Cell Tech Exim,"Jhochhen,","00977-1-4241350,,"
CM Trading Enterprises Pvt. Ltd.,"Panipokhari,","+977-1-4430600,+977-9801112038,"
Digitek Pokhara Trading,"Mahendra Pool,","520297,,"
G'Five Authorise Service Center,"New Road,","00977-1-4228673,,"
Guddi's Mobile,"New Road,","00977-1-4221870,,"
GUDDI,"Bishalbazar,","4221870,,"
Gupta Trading House,"New Road,","00977-1-42321994222813,,"
HELLO NOKIA,"Pako, New Road,","4267687,,"
IT Station,"New Road,","00977-1-42678054263685,,"
Karbonn Care,"Tripureshwor,","00977-1-2296500,,"
KNOCK ON COMPUTER,"Butwal/Bhairahawa,","546149,,"
Ktm. Mobile House & Electronics Services Center,"Putalisadak,","00977-1-42445124223439,,"
