Name,Address,Telephone
NEPAL INVESTMENT AND SECURITIES TRADING PVT. LTD.,"Ghumti Kumari Marg,","+977-1-4495450+977-1-44480072+977-1-4228229,,"
Sambandha Saving & Cooperative ltd.,"Sahabhagita marg, Baneshwor,","01-4484046,,"
IME GENERAL INSURANCE LIMITED (IGI),"Narayanchour, Naxal, Kathmandu, Nepal ,","+977 01 44115104411520441173544255084425509,+977-9843214881,"
Divya Mantra Saving And Credit Co-operative ltd.,"KatyayaniChowck,Baneshwor Kathmandu,Nepal,","977-01-41091534109053,9851065580,"
PRK Corporation,"Bhaskarmarg, Putalisadak,","01-4012699,9851222031,"
BG SBLC OFFERS FOR LEASE AND SALES,"London, UK,","447546769978,,"
Sanima Capital Limited,"Narayanchaur, Naxal,","+977-1-4428956/57/58,9840269336,"
Elite Institute & Consultancy Pvt. Ltd.,"Maitidevi , Dillibazar Road,","9845-596516,9845-596516,"
KCL Astute Capital Ltd.,"Hattisar-1,","0977-01-44291494429150,9851200676,"
Falcon Investment Company (Pvt.) Limited,"Putalisadak-31, Near Baggikhana, Kathmandu,","977-01-4228977,,"
Rajshree Saving & Investment Co-operative,"VH35+XR8,","+977-46-521133,,"
Shikhar Organization Ltd.,"Bansbari, Ward No.-03, Maharajgunj,","014371421,,"
CIVIL CAPITAL MARKET LTD.,"Kathmandu Plaza,","4168654,,"
NATIONAL INVESTMENT AND CAPITAL MARKET LIMITED,"Durbarmarg,","42393924239393016206192,,"
Rathi Trading and Investing Company pvt.ltd.,"biratnagar 12 madhumara nepal,","021 526071,9779814363171,"
Lagaani Group Limited,"Lazimpat,","unknown,,"
TRISULI SECURITIES AND INVESTMENT LTD.,"P82F+FFV, New Plaza Galli,","+977-1-4540709,,"
PUBLIC INVESTMENT COMPANY PVT. LTD.,"Maharajgunj,","4371880,,"
