Name,Address,Telephone
All Store,"Dharan-15, Sunsari,","9811303760,,"
Aquagrant Water Purifier Pvt Ltd.,"House No- 126,ward no-17 Opposite ANFA, near Pal Engineering,Satdobato lalitpur (Nepal),","+97715528381,+977-9801-123-391,"
Bender Beans Pvt. Ltd.,"New Colony, Sukedhara,","014015236,9808362580,"
B.P.N Pizza House,"SAMAKHUSI,","9869531333,9851229025,"
Himalayan Coffee Trading,"Gairidhara-2, Kathmandu,","4004082,9841194732,"
Pizza Tree At,"Aloknagar-34,","9802072329,9802072330,"
Motedai Food Delivery Service,"Shivchowk,Dhanusha,Nepal,","9779801655556,9779801655556,"
Vokopoko,"Juneli Marg, Biratnagar,","9824357895,9824357895,"
Ace Himalayan Cafe Restaurant & Bar,"Paknajol-16,","14218078,9851205942,"
nepaldelivery.com,"newbaneshwor, Kathamdndu,","9841473002,9851173002,"
