Name,Address,Telephone
Hilltake Gas Geyser,"Durbar Marg,","00977-1-42157714215788+977 1 4388691,,"
Crystal Eye Pvt Ltd,"Butwal-10, Kalikanagar, Rupandehi ,","9857023662,9851103943,"
EK CALL HOME SOLUTIONS,"Matepani -12, opposite to Hill Point High School,","061-528333,9856035404,"
Thermal Engineering,"Ghodaghodi Municipality, Sukhad Kailali Nepal,","9865650656,9800685535,"
LUMBINI VIDYUT UDYOG PVT. LTD.,"LUCKY TOWER TRIPURESHWOR,","01-4265631,9863165504,"
Allied Power Engineering,"Hetauda Industrial District, Hetauda-8, Makawanpur,","+977-57-413022,+9779802929349,"
Kirloskar Generators Sterling Sales Co. Pvt. Ltd.,"Naxal, Kathmandu,","00977-9801333777 / 9721337777,00977-1-4443952,"
JAY BHAWANI VIDYUT UDYOG PVT LTD,"Birgunj,","+9779811886638,9811886638,"
North Engineering Company P Ltd,"Maina Nagar,","071-5501819857020664,98570341819857034182,"
Pokhara Industrial Automation Engineering,"Shantinagar Tole, Hariyali Marga,","+977 9841260542,,"
Aarambha Energy and Electronics,"Satdobato-15, Lalitpur,","977-01-5533771,9851088010,"
Carp Concern,"Kalaiya,Bara,Nepal,","053551496,9845313151,"
Ans Electricals And Electric Workshop,"M9V8+QJ Kathmandu, Nepal,","+9779849999128,+9779849999128,"
Electrical card,"496 munshi ram market opposite ICICI bank nangloi new delhi,","01165712345,9910929038,"
KR Electrical Hub,"Birendranagar-1,Dodhekhali,","9866711769,9814548503,"
PIONEER ELECTRO CABLES PVT. LTD.,"Bhrikuti Chowk,","+977-21-530935,,"
SHEIKH ENTERPRISES,"Opp. to Satghumti Road, Dharan Road , Shiv Mandir Chowk Biratnagar-7 Morang Nepal,","+977-9807043392,+977-9852029370,"
Aditya Enterprises Pvt Ltd,"Kathmandu, Behind Honda Showroom,below Laxmi Bank,teku Road,","+977-1-4100066,,"
Sarita Enterprises,"Bhrikuti chowk,","9842499381,9802753790,"
Nepal Ekarat Engineering Com.Pvt.Ltd,"Thana bharayang,","unknown,,"
Paraphase controls & transformers,"334/9 Shastri nagar Delhi-110031,","01165257851,92106382058376863221,"
NB Traders,"Kamal Tole Inaruwa,","+9779842503997,+918130114011,"
Airtech Industries Private Limited,"Panchayan Marg, Thapathali,","014219999,+9779851085462,"
PARAPHASE CONTROLS & TRANSFORMERS,"334,st.9,new lahore colony, shastri nagar,Delhi,","01165257851,9210638205,"
ASIA PACIFIC TRADERS,"Teku,","42150754256049,,"
Ghampani solar,"Shantinagar Chowk,","061-537798,9856035798,"
TRANSWELD Nepal (Pvt.) Ltd.,"Lazimpat,","00977-1-44182444410716,00977-9851072148,"
BELTRONIX COMPUTER AND ELECTRONICS ENGINEERS,"Newplaza,","4429777,,"
COUNCIL FOR TECHNICAL EDUCATION AND VACATIONAL TRAINING (CTVT),"Sanothimi,","663040866306796631458,,"
ELECTROBYTE TECHNOLOGY PVT. LTD.,"Naxal,","44455804445581,,"
EXALT ENGINEERING INDUSTRIES,"Mahakali Caves Road, MUMBAI","91-22-2821376428313764,,"
HANSRAJ HULASHCHAND AND CO. PVT. LTD.,"Teku,","42300014261200,,"
PAXI GLASS FIBER INDUSTRIES PVT. LTD.,"New Baneshwor,","47803764782086,,"
TRANSWELD Nepal (Pvt.) Ltd.,"Dhapasi,","00977-1-4363481,00977-9851030021,"
GNA Udyog Limited,V.P.O BUNDALA,"9464474554,,"
HIGHER ELECTRONICS CONCEPT,"Jawalakhel, Lalitpur","5000167,,"
PATHIVARA TECHNICAL CENTRE,"New Baneshwor,","446284820039319841600444,,"
ROYAL ELECTRONICS,"New Road,","4238081,,"
Trans Weld Nepal (Pvt.) Ltd.,"Lazimpat,","4363481,,"
MEGA POWER Trade Pvt. Ltd.,"Jyatha, Kathmandu-30, Nepal,","01-4256428,,"
BESTONE ELECTRONICS,"Dharmapath,","4220625,9841233844,"
ANKUR METAL INDUSTRIES PVT. LTD.,"Kirtipur,","43304164332524,,"
A. S. ELECTRIC AND MACHINERY STORES,"Sundhara,","42305974262438,,"
ASHOKA TRADING,"Bhotebahal,","42537944262025,,"
B.D. ENTERPRISES PVT. LTD.,"Khumaltar, Lalitpur","55533455554345,,"
CLEAR LITES PVT. LTD.,"Soalteemode,","42843054281821,,"
DIAMOND ELCTRODES PVT. LTD. SUNDER WELDING ROD,"Kalimati,","42707304274882,,"
DIGITAL TRADE LINE,"Khichapokhari,","4231410,,"
Everest Transformer (P.) Ltd.,"Teku, P.O. Box: 5711, Ktm,","00977-1-4225851,,"
HIMALAYA BIJULEE UDYOG PVT. LTD.,"Chabahil,","4481487,,"
KAILASH TRADING COMPANY,"Himalaya Road,","525014530299,,"
MACHINERY AND ELECTRIC COMPLEX,"Sundhara,","42204884242435/4222035,,"
MANTRA NEPAL INT,"Kantipath,","42490084259289,,"
NALINI ELECTRODE PVT. LTD.,Lalitpur,"5542764,,"
NEPAL BAYERN ELECTRONIC PVT. LTD.,"Lalitpur, Lalitpur","55273705535020,,"
NEW CLASSIC LIGHTS PTE. LTD.,"Kamaladi,","42423244255673,,"
PATAN MULTI ELECTRICAL AND ELECTRONICS,"Pulchowk, Lalitpur","55259855520417,,"
Power Engineering Udhyog,"Lokanthali,","00977-1-20046549851062788,,"
Prakash AC Maintenance and Electric Work,"Samjhana chowk , Near Todi bhawan ,","unknown,+977-9852028203,"
PROFAB ENGINEERS,"Mumbai, MUMBAI","91-22-276072992769680627604592,,"
PURNA METAL CONCERN PVT. LTD.,"Ind.State, Lalitpur","55214075526062,,"
ROSHANI LAMPS INDUSTRIES PVT. LTD.,"Lalitpur, Lalitpur","42230685535814,,"
R.R.P. ENTERPRISES,"Kamaladi,","42457684245769,,"
SHIVALIK INTERNATIONAL /SHRI GANESH ELECTRIC SUPPLIERS,"Chabahil,","4468990,,"
SILVERLINE GLOBAL TRADE LINK PVT. LTD.,"Kalikasthan,","4425718,,"
STANDARD ELECTRIC CONCERN,"Bagbazar,","42226234232887,,"
STAR LIGHT CENTRE,"Naxal,","4433801,,"
WATT AND VOLTS HOUSE,"Dillibazar,","4411330,,"
YOGESH TRADE CENTRE,"Ganabahal,","42438044268271,,"
DAYAMATIC ELECTRONIC,"Wotu,","42479154244089,,"
IES INTEGRATED ELECTRONIC SERVICES PVT. LTD.,"Bagbazar,","4244678,,"
KALPATARU COMPUTER AND ELECTRONICS,"Kupandole, Lalitpur","5528348,,"
MULTI TECHNICAL INSTITUTE PVT. LTD.,"Milanchowk, Butwal/Bhairahawa","547617,,"
NEW VIDEO CARE (PHILIPS SERVICE CENTER),"Phasikeba,","42499094250796,,"
OM SHIVA ELECTRONIC ENGINEERING SERVICE,"Dharmapath,","4246340,,"
PHOTONICS SERVICE CENTRE,"New Road,","4246260,,"
SHIVASHAKI HYDRO ELECTRICALS SUPPLIERS,"Chauraha, Butwal/Bhairahawa","69416997470040949847026288,,"
SIDDHARTHA TECHNICAL INSTITUTE AND LEKALI ELECTRICAL HOUSE,"Sharwanpath, Butwal/Bhairahawa","546218,,"
STAR TECHNICAL CENTER,"Kirtipur,","20221999841262173,,"
Surya Engineering Udhyog,"Gwarko-7,","00977-1-55419019851100936,,"
THE MICROLAND,"Bishalnagar,","4429220,,"
THIRD POLE TECHNICAL SERVICES PVT. LTD.,"Satdobato, Lalitpur","5550777,,"
SNK PROJECT AIDERS PVT. LTD,"916, KIRTI SHIKHAR TOWER ,","9310459241,9312245331,"
DIPPAN ELECTRONICS,"Bardiya,","4207279848026090,,"
ELECTRONIC TRADE CENTER,"Asan,","4229391,,"
Everest Transformer (P.) Ltd.,"Pokhara Ind. Estate,","530141,,"
HERITAGE ELECTRICALS,"Bagbazar,","4245843,,"
HOOVER ELECTRIC CONCERN,"Jawalakhel, Lalitpur","5527080,,"
IMPERIAL LIGHT CENTRE,"Sundhara,","4231841,,"
Nepal Power Engineering Co. (P) Ltd.,"Exhibition Road, P.O. Box: 1480, Ktm,","00977-1-42270984225912,,"
NEPAL ELECTRICALINDUSTRIES,"Krishnagalli, Lalitpur","5521171,,"
NEW PATHAK HARDWARE AND ELECTRICALS,"Godawari Road, Kailali","5220769848421773,,"
NEW CRYSTAL LIGHTS,"Tripureshwor,","4215160,,"
PIONEER APPLIANCES,"Bhotebahal,","42120574261178,,"
PREMIER ELECTRICAL IND. PVT .LTD.,"Thaiba,","42905734225035,,"
SRS TRADERS,"Kalimati,","42740134279115,,"
Sunrise Centre,"Adarsha Nagar,","522695522970,,"
SYSTEM HOUSE,"Kalimati,","4272308,,"
VISION ELECTRONICS,"Pokhara,","522010,,"
ZEROLINE INTERNATIONAL TRADE WING PVT.LTD.,"Pulchowk, Lalitpur","5524919,,"
Nepal Pole Industries Pvt. Ltd,"Bhanu Chowk,","+977-1-522273,,"
ABC ELECTRONICS SPARE PARTS,"Milanchowk, Butwal/Bhairahawa","541739547483,,"
AKASH DEEP ELECTRONIC,"Putalisadak,","4430015,,"
AMUSE TRADERS PVT. LTD.,"Kalimati,","42744794276368,,"
BAGESHWORI ELECTRONICS,"Kailali,","691170,,"
BESTTONE ELECTRONIC,"Adarshnagar,","528245,,"
BHAWANTI TRADERS,"Basundhara,","4315548,,"
BIBHUS TRADING CONCERN,"Dhoka Bahal,","4221380,,"
BISHNU AUDIO AND VIDEO SERVICE,"Bouddha,","4483930,,"
BLUE DIAMOND ELECTRONICS,"Sundhara,","423168042449839851073598,,"
BUTWAL ELECTRIC AND TRANSFORMER WORKS,"Butwal/Bhairahawa,","549142,,"
CHAMUNDA ELECTRICAL CENTER,"Jorpati,","4472262,,"
CHITWAN ELECTRICAL TRADING,"Sahidchowk, Chitwan","521879,,"
CINTRONIX VIDEO,"Khichapokhari,","4245699,,"
COMPUTER MODE,"Putalisadak,","4226395,,"
DAS ELECTRICAL ENTERPRISES,"Teku,","4214923,,"
DAYANAMIC ELECTRONICS,"Wotu,","4215473,,"
D.C. ELECTRONICS,"Anamnagar,","4266528,,"
DELTA ELECTRONICS CENTRE PVT. LTD.,"Dillibazar,","421722,,"
DHAKWA ENGINEERING WORKS,"Pulchowk, Lalitpur","5539140,,"
DIAMOND ELECTRONICS,"Sahidchowk, Chitwan","521031,,"
DOOR TO DOOR SERVICES,"Tripureshwor,","42604334282073,,"
ELECTRICAL REPAIRING WORKS,"Sanogaucharan,","44149694420465,,"
ELECTRICAL AND ELECTRONIC SERVICE,"Lagankhel, Lalitpur","5522051,,"
ELECTRO CONCERN,unknown,"4265593,,"
ELECTRONIC DOCTORS,Lalitpur,"5525606,,"
ELECTRONIC HOME SERVICE,"Putalisadak,","4433820,,"
GALAXY ELECTRONICS,"Lazimpat,","43536549841238880,,"
GLOBAL ELECTRICAL AND METAL DISTRIBUTORS,"Khichapokhari,","4223849,,"
GURAYA ELECTRONIC CONCERN,"Khichapokhari,","42239444226828,,"
HADA ELECTRICAL CENTRE,"Thapathali,","4258384,,"
HADA ELECTRICAL,"Thapathali,","4258384,,"
HARI ELECTRIC WORK SHOP,"New Baneshwor,","4470247,,"
HARI ELECTRIC CENTER,"New Baneshwor,","4491335,,"
HEART LIGHT ENTERPRISES,"Naxal,","4433801,,"
HIGH TENSION SWITCHGEARS PVT. LTD.,"Kamalpokhari,","44168644226553,,"
HIMALI BIJULI UDYOG,"Jay Bageshwori,","4470487,,"
HIMALAYAN GLASS AND ELECTRIC,"Mahendrachowk,","523485,,"
HOME TV. CENTRE,"Dharmapath,","4243772,,"
I. G. Electronics,"R. B. Complex,","00977-1-4264873,,"
JITLAL AND BROTHERS ELECTRICAL STORE,"New Bus Stand,","4212913,,"
J.R. REFRIGERATION AND MACHINERY PARTS CENTER,"Mitrapark,","446564120523939851013219,,"
KAFLE ELECTRICALS,"Khichapokhari,","4217227,,"
KAMANA ELECTRIC CENTRE,"Gabahal,","4225666,,"
KANCHAN TRADING,"Main Road, Chitwan","520417,,"
KANTIPUR ELECTRONICS,"Chabahil,","44609720162264779851056319,,"
KARUNAMAYA ELECTRICALS CENTRE,"Gangabu,","4350827,,"
KATHMANDU ELECTRONICS AND COMPUTERS PVT. LTD.,"Naxal,","4423540,,"
KOHINOOR ELECTRONICS LAB,"Khichapokhari,","4241444,,"
KULDEEP ELECTRONIC,"Chabahil,","4496979,,"
KUSHAL ELECTRONICS,"Kuleshwor,","46720539851107727,,"
LAGANKHEL TECHNICAL ELECTRONICS INSTITUTE,"Lagankhel, Lalitpur","55359779841268351,,"
LAL ELECTRONICS,"Kupandole, Lalitpur","20500509841293405,,"
LAMICHHANE BIDHYUT SUPPLIERS,"Narayangadh, Chitwan","5279569855055751,,"
LAXMAN ELECTRIC AND ELECTRONICS,"Dillibazar,","44334594428072,,"
LAXMI ELECTRONICS AND COMPUTERS,"Maharajgunj,","4371777,,"
LUMBINI ELECTRICALS,"Ram Mandir, Butwal/Bhairahawa","54006598470259659847147117,,"
MA GAYTRI TRADE AND SUPPLIERS,"Narayangadh, Chitwan","52300698550601129855059763,,"
MAHARJAN ELECTRIC AND,"Kuleshwor,","4222402,,"
M.K. METAL ELECTRIC INDUSTRIES,"Lagankhel, Lalitpur","55254025527402,,"
MODERN ELECTRICAL WORKSHOP,"Kathmandu,","4259001,,"
M.S. TRADE LINK,"Bhotebahal,","4215622,,"
Nepal Power Engineering Co. (P) Ltd.,"Budhanilkantha (Fac.),","00977-1-4371650,,"
Nepal Transformer (P) Ltd.,"Pokhara Ind. Estate,","521438,,"
NEW HADA ELECTRIC,"Thapathali,","42627919841359737,,"
NEW GAUTAM ELECTRICAL,"Chipledhunga,","5206199856022619,,"
NEW SANU SERVICE CENTRE,"Dharmapath,","42227059851045689,,"
NEW THAPA WATCH RADIO TV CENTER,"Pulchowk, Chitwan","525343,,"
NEW PRATIBHA TV CENTER,"Narayangadh, Chitwan","523581,,"
NEW SANGAM WATCH CENTER,"Sahid Chowk, Chitwan","530547,,"
ORIENTAL ELECTRIC CONSTRUCTION,"Pokhara,","520995,,"
PASHUPATI ELECTRICAL,"Mahendrapath,","521030,,"
"PATTERN ELECTRONICS CENTRE, CONSULTANCY AND SERVICES",Lalitpur,"5524778,,"
PIXEL SOUND AND VISION SERVICES,"Baneshwor,","4471686,,"
Plastic Met Chem Traders,"Main Road,","521992527476,,"
POWER NEAPL,"Lagankhel, Lalitpur","5550195,,"
POWER HOUSE,"Kathmandu,","2334047,,"
PRABHATTRADERS & SUPPLIERS,"Kailali,","521890,,"
P. S. COMPUTER PVT. LTD.,"Putalisadak,","4434469,,"
RABINDRA ELECTRICAL,"Kuleshwor,","4283248,,"
RAINBOW ELECTRONICS AND COPUTERS,"Naxal,","44234974419954,,"
RAJU ELECTRONICS SERVICE CENTRE,"Jawalakhel, Lalitpur","55318949841366432,,"
RAJESH LIGHT CENTRE,"Dhumbarahi,","4008502,,"
RAJESH ELECTRIC CENTRE,"Kamalpokhari,","4413090,,"
RAJ ELECTRONICS,"New Baneshwor,","44968594496850,,"
RAJA WATCH AND ELECTRONICS CENTRE,"Mahendra Pool,","5212999856020351,,"
RAM JANAKI GENERAL SUPPLIER,"Butwal/Bhairahawa,","543343548529,,"
RANJANA ELECTRICAL,"Sundhara,","4257332,,"
R.B. ELECTRONICS,"Kanchanpur,","522304,,"
REMOTE WORLD ENTERPRISES,"Naxal,","4414671,,"
RIJU ELECTRONIC SERVICE,"Butwal/Bhairahawa,","547666,,"
ROSHNI LIGHT HOUSE,"Milanchowk, Butwal/Bhairahawa","5417859857020174,,"
SABA ELECTRONICS,"Khichapokhari,","4267621,,"
SAGAR METAL INDUSTRY PVT. LTD.,"Ind.State, Lalitpur","5521174,,"
SAMEER TRADE CENTER,"Main Road, Kailali","5604319848443700,,"
SAMPADA ELECTRONIC,"Bishalbazar,","4222978,,"
SHARMA ELECTRONICS STORE,"Sangam Road, Chitwan","521797,,"
SHIVA ELECTRICAL ENTERPRISES,"Tripureshwor,","4260588,,"
SHIVAM BIJULI BHANDAR AND SUPPLIERS,"Attariya, Kailali","550474,,"
SHREE GANESH BIDHUT SAMAGRI UDYOG,"Sahidchowk, Chitwan","521883,,"
SHREE JYOTI ELECTRICALS,"Teku,","4218031,,"
SHREE JAL ELECTRONICS CENTRE,"Paknajol,","4251825,,"
SHREE GANESH ELECTRICAL WORKSHOP,"Lalitpur, Lalitpur","55327319841378021,,"
SHREE ASIA TECHNICAL INSTITUTE,"Hospital Line, Butwal/Bhairahawa","541473543522,,"
S. K. ELECTRONIC,"Khichapokhari,","4220439,,"
SPACE TELEVISION AND MONITOR REPAIRING CENTER,"Kathmandu,","4479379,,"
STAR TRADING CONCERN,"Bagbazar,","4228713,,"
SUBH ELECTRICL ENTERPRISES,"Maitidevi,","4411486,,"
SUBHAKAMANA ELECTRONICS,"Dillibazar,","4416052,,"
SUNLIGHT ELECTRICALS,"Ganabahal,","42550894258839,,"
SUN-EL-TRONIX,"Khichapokhari,","4220301,,"
SUNNY ELECTRONICS,"Khichapokhari,","42238784223508,,"
SUN RISE ELECTRONICS CENTRE,"Khichapokhari,","4267621,,"
SURYA ELECTRICALS,"Chabahil,","4484329,,"
SWAE ELECTRIC CENTRE,"Maitidevi,","44728744418563,,"
TAJ TRADERS AND SUPPLIERS,"Godawari Road,","520941,,"
THUNDER VIDEO CONCERN,"New Road,","4222984,,"
TIMA ELECTRICAL STORES,"Chitwan,","521580,,"
TIPS ELECTRONIC SERVICE CENTER,"Pulchowk, Lalitpur","5544890,,"
TULADHAR A\V SERVICES,"Khichapokhari,","4245301,,"
TULADHAR ELECTRIC AND ELECTRONIC,"Jorpati,","4472262,,"
UNIQUE LIGHTS,"Bhatbhateni,","4419367,,"
URECA ELECTRONICS LAB,"Anamnagar,","4243868,,"
VALLEY ELECTRONIC,"Bahal,","4222454,,"
Warm Light,"Putalisadak,","00977-1-4242523,,"
WEL-COME AUDIO VIDEO CENTRE,"Katyanichowk,","4487781,,"
XIAN ELECTRICAL (NEPAL) PVT. LTD.,"Kamalpokhari,","4242098,,"
R.K. ELECTRICALS,"Putalisadak,","unknown,,"
