Name,Address,Telephone
"Shree Yoga Retreat, Nepal","Maitrinagar, Kirtipur,","9864537187+977-9814140515,9814140515,"
Yeti Trail Adventure Pvt. Ltd.,"Nayabazar, Kathmandu, Nepal,","97714380815,9779849491482,"
Advanced Adventures,"Bhagwan Bahal, Thamel, Kathmandu, Nepal,","977-1-4444153,+9779851040806,"
Archaic Nepal Adventure,"Paknajol Street, Ext. Thamel,","+977-1-4364083,,"
Himalayan Recreation Treks & Expedition Pvt. ltd,"kathmandu NEPAL,","97714388009,9779851101413,"
High Himalayan Trekking and Expedition,"Bhagawanbahal Marga,Thamel,","+977 1 4415120,+977 98 51031394,"
Pokhara Flight Centre Tours & Travels Pvt. Ltd.,"Lakeside,","977 61 467000,9856028155,"
Etrip Nepal (p). Ltd.,"Gairidhara, Naxal, Katmandu, Nepal,","014419437,9851182434,"
Glorious Himalaya Trekking [P]Ltd.,"Kaldhara-17,","+977 01 4365453,+977 9843760242,"
Simrik Real Nepal Treks & Expedition (P) Ltd,"Nagarjun Municipality ward no 2, Gairigaun, Kathmandu, Kathmandu, Nepal,","014891126,,"
Snepal Tours & Travel Pvt. Ltd.,"Thamel,","00977-1-4260072,+919873014569,"
Access The Asia Treks Pvt. Ltd,"Dhumbarahi-04,","014007555,9851214446,"
Couch Adventure Nepal Pvt Ltd,"Shiva Temple Street, Lakeside, Street no 7,","061463010+977 -01-4365401,9856026811,"
Guided Expedition Pvt.Ltd.,"Gongabu,Nepal,","0097714361878,009779843537635,"
Himalayan Adventure Treks & Tours,"Thamel Marg, Kathmandu Nepal. Post Box: 20808,","977-01-4229672,977-9851138875,"
Mystique Highland Resort,"Astahm, Dhital-8, Kaski,","061 696663,985603007498560707749846087761,"
Active Journey Holidays Pvt. Ltd.,"Thamel- 26, Kathmandu,","9741253004,9841448249,"
Adventure Zambuling Treks (P) Ltd.,"Boudha, Kumarigal-7, Kathmandu, Nepal,","0097714467712,9851057116,"
Nepal Gateway Trekking Pvt. Ltd,"GOP Box 9427, Kathmandu Nepal ,","+977-1-4512103,977-9851055520,"
