Name,Address,Telephone
BG Hospital and Research Centre Pvt. Ltd,"BG Chowk, Matepani, Pohhara 12,","+977 61 538975526016,9856030780985603578098460257719805872876,"
Shanti Yoga Ashram,"Machchegaun 5, Kathmandu Nepal,","(977) 1-4332363,9841-5749579861-051224,"
ATM Pharmacy,"Koteswore, Kathmandu,","9801165986,9861665986,"
Annapurna Aroma,"naya baneswar ,","+97714107655,+9779841985608,"
Embrace HealthNet,"Thapathali, Kathmandu, Nepal,","9801571231,,"
Wave Visions,"A-12, Durganagar, bh tube co, old padra road, vadodara","02652324681,02652324681,"
Subba Pathology Clinic,"Kandevta temple, Kupondol, Lalitpur,","00977-1-55557215555623,,"
Fleur Himalayan Ltd.,"Jeetpur, Simra (Bara), Nepal,","+977-1-5529059,,"
Arogya Bhawan Works Pvt. Ltd.,"Dilli Bazar,","00977-1-477164301-477611,,"
Ayurveda Health Home Pvt. Ltd.,"Dihikopatan, Lakeside,","061-465874463205,,"
CLASSICAL HERBAL GROUP NEPAL PVT. LTD.,"Dhapasi,","43637004355842,,"
Everest Herbs Processing (Pvt.) Ltd.,"Thapathali, P.O. Box: 23455, Ktm,","00977-1-4220087,,"
NAVAJEEVAN HOSPITAL PVT. LTD.,"Ratopul,","+977-91-521233,,"
N. N. Herbal Industries P. Ltd.,"P.O. Box: 1225, Ktm,","00977-1-42756644285807,,"
Dabur Nepal Pvt. Ltd.,"Madan Bhandari Rd,","+977-1-2054530,,"
Bio Intelligence Herbal Industries Pvt. Ltd.,"Basundhara, P.O. Box: 10515, Ktm,","00977-1-2121549,,"
All Nepalese Tea & Coffee Centre Pvt. Ltd.,"GPO: 20421, Ktm, Kupandole,","553545755482015549206,,"
ALL NEPALESE TEA AND COFFEE CENTER PVT. LTD.,"Kupandole, Lalitpur","553545755482015549206,,"
ALL NEPALESE TEA AND COFEE CENTER PVT. LTD.,"Kupandole, Lalitpur","553545755482015549206,,"
Association of Medical Doctors of Asia Nepal (AMDA),"GPO: 8909, Ktm, Jorpati,","44872354477140,,"
BAHUBALI HERBAL ESSENCE AND EXTRACTS PVT. LTD.,"Surkhet Road,","520829521381,,"
Classical Herbal Group-Nepal P. Ltd.,"Jitpurphedi,","00977-1-4363700,,"
Cosmos Herbal Products (P) Ltd.,"Baluwatar, P.O. Box: 12306, Ktm,","00977-1-44230164426556,,"
Gorkha Exim (P.) Ltd.,"Balaju, P.O. Box: 2931, Ktm,","00977-1-4357717,,"
GORKHA EXIM PVT. LTD.,"Balaju,","43577174357716,,"
GURUVED HERBALS AND AYURVEDIC PVT.LTD.,"Vatva, Ahmedabad","91-79- 26891118,,"
Healthy Medication,"street 2, bank road,","unknown,,"
Herbs Production & Processing Co. Ltd.,"Koteshwor, P.O. Box: 2679, Ktm,","00977-1-663045266300674992152,,"
Himalayan Herbs Co. (P) Ltd.,"Baluwatar, P.O. Box: 7823, Ktm,","00977-1-443219044267414442043,,"
Himalayan Herbs Traders,"GPO: 7823, Ktm, Baluwatar,","44321904426741,,"
HIMALAYAN HERBS TRADER,"Baluwatar,","44321904442043,,"
Natural Resources Industries P. Ltd.,"Old Baneshwor, P.O. Box: 410, Ktm,","00977-1-4461848,,"
Nepal Organic Agriculture Ctr. (NOAC) Pvt. Ltd.,"Baneshwor HeightPOB:8973 NPC:818,","4462985,,"
N.N. Herbal Industries P. Ltd.,"P.O. Box: 1225, ktm,","00977-1-42858074275664,,"
N.N. HERBLE INDUSTRIES PVT. LTD.,"Tahachal,","42756644285807,,"
Organic Agriculture and Ayurvedic Herbal,"Baneshwor HeightPOB:8973 NPC:818,","4462985,,"
Orthopedica,"Kupondole, P.O. Box: 9699, Ltp,","00977-1-5523749,,"
RAZ ENTERPRISES,"P.O. BOX No: 449. SIALKOT - 51310.PAKISTAN,","0092-52-3551857,,"
Robeus International P. Ltd.,unknown,"00977-1-4461288,,"
ROBEUS INTERNATIONAL PVT. LTD.,"Kathmandu,","4461288,,"
SAKSHAM DIAGNOSTIC AND IMAGING PVT. LTD.,"Putalisadak,","42685604241271,,"
Aarya Aroma,"Gairighara, P.O. Box: 5025, Ktm,","00977-1-4427133,00977-9851003700,"
Glory Enterprises (P) Ltd.,unknown,"00977-1-4245433,00977-98138095419841288987,"
Gyan Herbal Products Pvt. Ltd.,unknown,"00977-1-4437881,00977-985119625,"
Himalayan (Ayurvedic) Herbal Preparation P. Ltd.,"Jorpati, P.O. Box: 9638, Ktm,","00977-1-4913955,00977-9851050676,"
Mahaved Healthcare,"Teku,","00977-1-42423872093098,00977-09851036707,"
Alternative Herbal Products Pvt. Ltd.,"Baneshwor, P.O. Box: 4555, Ktm,","00977-1-620284244622084491605,,"
Crystal Bio-Energy Nepal Ltd.,"Battisputali,","00977-1-44840499851041186,,"
Gorkha Ayurved Company (P) Ltd.,"Soaltee Mode, P.O. Box: 3666, Ktm,","00977-1-42868734286875,,"
Gorkha Ayurved Company Pvt. Ltd.,"GPO: 3666, Ktm, Teku,","42322184312893,,"
HIGH HIMALAYAN MULTI PRODUCTS,"Balaju,","218042598417440919851046072,,"
Himalayan Special Herbs Industries Pvt. Ltd.,"Dhobidhara,","00977-1-2002355,,"
Nepal Sanjiwani Herbal Production Pvt. Ltd.,unknown,"00977-1-44782869841302141,,"
Sofvision Pvt. Ltd.,"New Baneshwor,","469392,,"
Agro System (P) Ltd.,"Kupondole,","00977-1-55287665537483,,"
Anita's Enterprises,"Makhan, P.O. Box: 673, Ktm,","00977-1-4264067,,"
Aroma Nepal Herbs Production Pvt. Ltd.,"Kamaladi, P.O. Box: 3378, Ktm,","00977-1-42285354246603,,"
Binod Ayurvedic Ausadhalaya,"Gausala, P.O. Box: 19767, Ktm,","00977-1-44698924352243,,"
DEEPJYOTI INTERNATIONAL PVT. LTD.,"Anamnagar,","4212832,,"
Fleur Himalayan Ltd.,"Pulchowk, P.O. Box: 12928, Ktm,","00977-1-55294365529059,,"
Gorkha Ayurved Company (P) Ltd.,"Gorkha, Gorkha","064-420170,,"
Herbo Medico Impex,"Putalisadak,","00977-1-4218182,,"
Herbo Nepal Processing Industry,"Chhetrapati, P.O. Box: 4560, Ktm,","00977-1-4262354,,"
HERBS PRODUCTION AND PROCESSING CO. LTD.,"Jadibuti,","49921524992167,,"
Highland Herbal Trade Concern (P) Ltd.,"Lazimpat, P.O. Box: 9058, Ktm,","00977-1-4428689,,"
Himalayan Medicine Industries Pvt. Ltd.,"Boudha, P.O. Box: 21526, Ktm,","00977-1-44994574478205,,"
Lal Enterprises,"Bangemudha, P.O. Box: 8521, Ktm,","00977-1-42646244259569,,"
