Name,Address,Telephone
Jyoti Group,"Kantipath, P.O. Box: 133, Ktm,","00977-1-42254904225230+977-9801178845,,"
PANCHAKANYA STEEL PVT.LTD.,"Krishnagalli, Lalitpur,","552655155482355526357,,"
Bindabasini Metal Industry,"Devdaha-4,Bijayapur,Nepal,","9857057296,9821578557,"
Jay Traders & Hardwares,"Jay Traders & Hardwares, Surkhet Road, Nepalgunj, opp. Gulm, near Pushpalal Chowk,","+977-081-533002+977-081-533003,9858020016981953255198124185739858033650,"
PCT,"Swayambhu, Kathmandu,","9818952881,9818952881,"
Creative Decor Pvt.Ltd,"446 Gairidhara Marga, Gairidhara,","977-4413499,9841242808,"
Menaka Engineering Works,"Ratnanagar-3, Chitwan,","056560544,9855060544,"
North Engineering Company P Ltd,"Maina Nagar,","071-5501819857020664,98570341819857034182,"
Great Gurkha Khukuri - GGK,"Pyafal Line, Near HanumanDhoka,","+977-1-4219950,9841211343,"
HImalayan Prefab Pvt. Ltd.,"Lakhepati Marg, Dhumbarahi,","+977-1-4432038+977-1-4425039,+977-9801277780,"
Ambe Steels Pvt. Ltd.,"Ambe Complex, 6th Floor, Teku,","+977 1 5358128,,"
JAY TRADERS AND HARDWARES,"Surkhet Road,","+977-81-411102+977-81-411003,985802001698195325519858033650,"
Panchakanya Group,"Krishnagalli, Lalitpur,","5526551,,"
Kohinoor wire and steel Industries Pvt Ltd,"P84F+Q64,","+977-1-4434846,,"
Himchuli SteelTech Industries,"Kalanki,","9856020425,9802033333,"
CHAMUNDA TAR JALI AND STEEL FABRICATOR PVT LTD,"TINDOBATO BANKEPA,","9801058221,9851008549,"
LAXMI STEELS PVT. LTD.,"M8PV+8QH, Sat Marg,","+977 1-4111571+977-1-4111567+977-1-4117502+977-1-4111942,,"
JMB METAL CRAFTS PVT LTD,"BIRATHNAGAR ,","8058098686,8058098686,"
N K Enterprises,"Singhania House, Main Road","+91-6645-270846,+91-88955-09111,"
NECOENCO (P) Ltd.,"New Road, P.O. Box: 156, Ktm,","00977-1-42212884220063,,"
Neptune industries,"Block A-No:01,Shyam Hari Industrial Estate, Nr.Benzo Product. Plot No:-3202. G.I.D.C., Phase-4, Vatva","+91-79-29094424,+919825231748,"
Pathivara Steel Industries PVT.Ltd,"Jhapa, Birtamode,","023-546094,,"
BHAGAWATI STEEL INDUSTRIES PVT. LTD.,"H02 NE Hway, Gadhimai 44400,","unknown,+977-985-5026258,"
National Structure & Engineering (P) Ltd.,"Lagankhel, P.O. Box: 20157, Ltp,","00977-1-55214055542393,,"
Ashok Steel Industries Pvt. Ltd.,"Jitpur (Fac.), Bara","053-520125520041,,"
Mainawati Steel Industries Pvt. Ltd.,"Khichapokhari, P.O. Box: 3127, Ktm,","00977-1-42213124241572,,"
Mainawati Steel Industries Pvt. Ltd.,"Main Road, P.O. Box: 118, Btr,","526997527383527210,9851140992,"
Panchakanya Group,"Bhairahawa, Bhairahawa","560368560571,,"
Panchakanya Steel (P) Ltd.,"Kotihawa, Bhairahawa","560571,,"
Panchakanya Steel (P) Ltd.,"Krishna Galli, P.O. Box: 2743, Ktm,","00977-1-55265515548235,,"
2 STAR GREEL AND ALUMINIUM,"HARION SARLAHI,","9855034465,9844034465,"
UDECO PVT. LTD.,"Satdobato, Lalitpur","5541289,,"
Ashok Steel Industries Pvt. Ltd.,"Teku, P.O. Box: 12112, Ktm,","00977-1-42420234243148,,"
Jagadamba Steels,"Tinkune, P.O. Box: 2513, Ktm,","00977-1-4111822,,"
Hulas Metal Craft Ltd.,"Mills Area, Rani, Biratnagar-15, Nepal,","435410435226,985202769498520203219852020447,"
JAGDAMBA STEEL INDUSTRIES PVT. LTD.,"Chorani,","520300520200,9851063710,"
Siddha Baba Engineering Workshop,"Simara (2), Gaddimai Municipality, Bara District, Narayani Zone, Nepal,","unknown,+9779845021838,"
AARTI STIPS PVT. LTD.,"Balaju,","4351851,,"
ANNAPURNA IRON INDUSTRIES PVT. LTD.,"Sanihat,","523330,,"
Bageshwori Iron & Steel (P) Ltd.,"Thapathali, P.O. Box: 3114, Ktm,","00977-1-410151941018104101610,,"
BAGESWORI IRON AND STEEL PVT. LTD.,"Thapathali,","42608104260927,,"
Bhagwati Steel Industries (P) Ltd.,"Basantapur, P.O. Box: 556, Ktm,","00977-1-424570742457064241504,,"
Everest Iron & Steel (P) Ltd.,"Dharmapath, P.O. Box: 40, Ktm,","00977-1-42229514226135,,"
GANESH FERROZINC INDUSTRIES PVT. LTD.,"Teku,","4245829,,"
Hama Iron & Steel Industries (P) Ltd.,"Tripureshwor, P.O. Box: 4667, Ktm,","00977-1-426171642565044261148,,"
HAMA IRON AND STEEL INDUSTRIES PVT. LTD.,"Tripureshwor,","42617164261148,,"
HANUMAN METALS PVT. LTD.,"Putalisadak,","44111874412268,,"
Hetauda Iron & Steel Pvt. Ltd.,"Kupondole, P.O. Box: 20690, Ktm,","00977-1-5544771,,"
Himal Iron & Steel (P) Ltd.,"Kantipath, P.O. Box: 133, Ktm,","00977-1-42252304225490,,"
HIMAL IRON AND STEEL PVT. LTD.,"Kantipath,","422653042252304225490,,"
Hulas Steel Industries Ltd.,"Simra, Bara,","053-520075520078520170,9855029170,"
KOSHI METAL CRAFTS CO.PVT. LTD.,"Ganabahal,","4250001,,"
Mainawati Steel Industries Pvt. Ltd.,"Duhabi,","540122540404,,"
MARUTI NANDAN ROLLING MILLS,"Adarshnagar,","521024521568,,"
Narayani Rolling Mills Pvt. Ltd.,"Dharmapath,","00977-1-42295519851025324,,"
Nepal Steel (P) Ltd.,"Exhibition Road, P.O. Box: 1480, Ktm,","00977-1-422709842259124227126,,"
NEPO FINISHING INDUSTRIES,"Narayangadh, Chitwan","520772525888,,"
NEPAL STEEL PVT. LTD.,"Pulchowk, Lalitpur","5520860,,"
OM STEEL STRUCTURE PVT. LTD.,"Imadole, Lalitpur","98510794719841323582,,"
Pashupati Wire Products,unknown,"527275526796,,"
PASHUPATI IRON AND STEEL PVT. LTD.,"Babarmahal,","42582094265405,,"
PURNA METAL CONCERN PVT. LTD.,"Ind.State, Lalitpur","55214075526062,,"
RATNA IRON INDUSTRIES PVT. LTD.,"Padasari, Butwal/Bhairahawa","5214675201319857020361,,"
Rukmani Iron & Steel/Rukmani International,"Maitidevi,","00977-1-44202814428294,,"
Rukmani Iron & Steel'Rukmani International,"Maitidevi,","44202814428294,,"
Saakha Steel Industries Pvt. Ltd.,"Simra (Fac.), Bara","053-520322,,"
Saakha Steel Industries Pvt. Ltd.,"Hattisar, P.O. Box: 15, Ktm,","00977-1-44227984434921,,"
SHREE KRISHNA STEEL INDUSTRIES PVT. LTD.,"Adarshnagar,","522505521405,,"
SIDDHARTHA STEEL,"Lumbini Road, Butwal/Bhairahawa","527701527711527721,,"
STEED WOOD,"Adarshnagar,","523167526420,,"
Swadeshi Iron & Steel Udyog (P) Ltd.,unknown,"524690522921,,"
Swodeshi Iron & Steel Udyog (P) Ltd.,unknown,"524690522921,,"
SWODESHI IRON AND STEEL INDUSTRY PVT. LTD.,"Sonapur,","524690522921,,"
TRIDENT TECHNO CONSULTANCY,"Pulchowk, Lalitpur","5520914,,"
Dugar Iron & Steel Trading Co.,"Tripureshwor,","+977-1-4218582+977-1-4218583,,"
JAGADAMBA STEELS PVT. LTD.,"Basantapur,","4227013,,"
APALA D,"Surkhet Road,","5237489858023242,,"
Everest Rolling Industries (P) Ltd.,"GPO: 2523, Ktm, New Road,","520947,,"
Goenka Steels Pvt. Ltd.,"Bhairahawa, Butwal/Bhairahawa,","00977-1-42257634225047,,"
Hama Iron & Steel Industries (P) Ltd.,"Simara (Fac.), Bara","053-520088520099,,"
Hetauda Iron & Steel Pvt. Ltd.,"Bhrikuti Chowk, P.O. Box: 116, Biratnagar,","528863530934530935,,"
Hulas Engineering Works,unknown,"530470530226,,"
Pashupati Iron & Steel Industries (P) Ltd.,"P.O. Box: 91, Btr,","527275524126,,"
Patan Iron & Steel Industries Pvt. Ltd.,"Patan Industrial Estate,","55264165527722,,"
PATAN IRON AND STEEL INDUSTRIES PVT. LTD.,"Ind.State, Lalitpur","55264165527617,,"
Ratna Iron & Febricator Pvt. Ltd.,"Ganabahal, P.O. Box: 8975 EPC 1565,","00977-1-4244412,,"
TEMIYANKO STRUCTURES PVT. LTD.,"Balaju,","4350869,,"
JOSHI FURNITURE,"Narayangadh, Chitwan","5201429845045845,,"
SNK PROJECT AIDERS PVT. LTD,"916, KIRTI SHIKHAR TOWER ,","9310459241,9312245331,"
HULAS METAL CRAFTS LTD.,"Mills Area, GPO Box: 24,","+977-1-530410+977-1-530226+977-1-525022,,"
Annapurna Iron Industries (P) Ltd.,"P.O. Box: 101, Btr,","526929,,"
APOLLO STEEL INDUSTRIES PVT. LTD.,"Sanepa, Lalitpur","55223305522767,,"
