Name,Address,Telephone
Asian Mystery Treks,"Thamel,","+977 1 4414079+977 -985-112-2733,+977 9851122733,"
Trekking Guide Team Adventure,"3rd Floor Puskar Hotel, Nursingh Chwok, Thamel, Kathmandu, Nepal,","9851229400+977 - 01- 4218807,+977 9851229400,"
Mystique Highland Resort,"Astahm, Dhital-8, Kaski,","061 696663,985603007498560707749846087761,"
Adventure West Travels,"Dhangadhi Kailali,","+977-091-520001,9814612261,"
Thamel Apartments/Hotel,"Thamel marg,","+977-1-4220353,+9779813304069,"
ENepal Trekking,"Thamel, Kathmandu, Nepal.,","014701051,9851017772,"
Best Trekking in Nepal,"Thamel 29,","9851213326,9860313326,"
The Milestone Hotel,"Chibahal Marg, Thamel,","+97715352312,+9779813553698,"
Hotel Dream City,"Paknajol marg-16, Thamel ,","+9779849683092,,"
Hotel National Park Sauraha,"sauraha road 44200, Chitwan National Park, Chitwan, Nepal,","09845155749,09845155749,"
Royal Astoria Hotel,"G.P.O. Box 981, Hattigaunda, Kathmandu, Nepal,","977 1 43728844376845,9851022447,"
Tranquil Homestay,"P.O.B 6817, Mulpani-9, Mulpani Chaur (near Sikhsyalaya School and Nepal Engineering College),","977 1 4160069,9779849600410,"
Sagarmatha Apartment Bed & Breakfast,"Milap Road, Sanepa, Lalitpur,","+977-1-5525556,+977-9813118965,"
The Nepal Trekking Company,"Yapikhya Marga,Thamel Kathmandu Nepal,","014 219082,+977 9841812218,"
Hotel Earth House,"Thamel, Bhagwan Bahal,","014418197,,"
Backpacker Treks & Expedition (p).Ltd.,"Sorhakhutte,Kathmandu,Nepal,","unknown,9851053697,"
DESTINATION BUDDHA TOURS & TREK SERVICES,"Amrit Marg, Jyatha-30, Thamel, Attention: Simon, Kathmandu, Nepal,","+977-1-4220462,+977- 9861 677021,"
Iblues Restro,"Nayabazar Road, Pokhara 33700,","061-541639,,"
Dormitory Nepal,"Geetanjali Marg, Baluwatar,","+9779801127333,+9779801127333,"
PATHIBHARA GIRLS HOSTEL,"MITRAPARK, CHABAHILL, KATHMANDU,","+977-1-4492544,+977-9851128824,"
Arts Space Out,"Chhauni, Museum Marg,","9860142406,9841569691,"
INFINITE TOURS & TRAVELS PVT.LTD,"P O Box 06, Thamel, Kathmandu,","01-4218271,9851179971,"
Mountain Tiger Nepal Pvt Ltd.,"Kamalpokhari,","00977-1-441400044226814420644,+977 9851033087,"
Alliance Hotel,"Boudha ,Kathmandu,Nepal,","0097714913884,009779841439436,"
Well Adventure Tours and Travel (P) Ltd.,"P.O.Box:8257, Baluwatar,","01-44154964421591,9851145128,"
