Name,Address,Telephone
Civil Mall,"Sundhara, Ratnapark,","+977 1-4212095,,"
Maa dakneshwori electronics and mobile center,"pato,saptari","9807710183,9842957884,"
Goshali Departmental Store,"New Road, Province IV, 33700,","+977-61-520088,,"
Swoyambhu Supermarket Pvt Ltd,"Ichangunarayan, Thulo Bharang, Swoyambhu,","01-4890550,9801177207,"
NPLmart.com,"New Road,","09861651393,,"
Big Apple,"Durbar Marg,","00977-1-4231154,,"
KANTIPUR MALL,"Balaju,","20103842344344,,"
Behyul Hyolmo Departmental Store Pvt. Ltd.,"Boudha,","00977-1-2073220,00977-9841297231,"
BHATBHATENI SUPER MARKET,"Bhatbhateni,","441918144138255001818 (online inquiry only),9849618100 (online inquiry only),"
Goseli Department Store,"New Road, Province IV, 33700,","+977-61 520088+977-61-570088,,"
Naya Baneshwor Department Store (P.) Ltd.,"Naya Baneshwor, P.O. Box: 2291, Ktm,","00977-1-47829314782937,,"
Bhatbhateni Super Market & Departmental Store,"Maharajgunj,","00977-1-401613040161314016132,,"
Bhatbhateni Super Market & Departmental Store,"Bhatbhateni,","00977-1-44191814413825,,"
Bhatbhateni Super Market & Departmental Store,"Pulchowk,","00977-1-55209885520944,,"
Kahun Kirana Pasal,"Kahun,","061-243193,9746014993,"
Ramalaya,"Lazimpat,","00977-1-40065904006589,,"
Smart Department Store,"Jawalakhel, P.O. Box: 12381, Ktm,","00977-1-55256185533790,,"
ABC Complex,"Nayabazar, P.O. Box: 10219, Ktm,","00977-1-4358619,,"
ABC Shopping Center,"GPO: 10219, Ktm, Nayabazar,","4358619,,"
NepalShop.com,"Baluwatar, P.O. Box: 6626, Ktm,","00977-1-4410817,,"
Sagarmatha Complex,"Naxal, P.O. Box: 8975 EPC 955,","00977-1-44151464422956,,"
Saleways Department Store,"Pulchowk, P.O. Box: 252, Ltp,","00977-1-554747655477125522907,,"
SINGAPORE ENTERPRISES PVT. LTD.,"Khichapokhari,","42566849851021853,,"
Tele Shopping Nepal Pvt. Ltd.,"Kamalpokhari,","00977-1-44357274435722,,"
The Blue Bird Department Store,"GPO: 983, Ktm, Tripureshwor,","4228833,,"
THE KATHMANDU MALL PVT. LTD.,"Kathmandu Mall,","415010041502004150300,,"
U.F.O.,"Kalimati, P.O. Box: 8631, Ktm,","00977-1-4288515,,"
Star Mall,"Putalisadak,","00977-1-4415470,00977-9851004899,"
Attsh,"Jawalakhel,","00977-1-5546944,,"
Bhatbhateni Super Market & Departmental Store,"Koteshwor,","00977-1-46013004601301,,"
Bhatbhateni Super Market & Departmental Store,"Boudha,","00977-1-44853954485396,,"
Boneca Bonita,"Sundhara,","00977-1-4260136,,"
Kilkari Children Wear Outlet,"Lazimpat,","00977-1-4442939,,"
Saleways Department Store,"Chipledhunga,","530977524139,,"
BASANTAPUR PLAZA,"Basantapur,","4241822,,"
Anil's Emporium,"Super Market, P.O. Box: 10334, Ktm,","00977-1-4222060,,"
Ashutosh Impex,"Khichapokhari, P.O. Box: 3532, Ktm,","00977-1-422027642275104470177,,"
BAGHBAZAR PLAZA,"Bagbazar,","4268518,,"
Basantapur Plaza House,"Basantapur, P.O. Box: 301, Ktm,","00977-1-42219194232929,,"
Bhairab Store,"Suraj Arcade,","00977-1-4229125,,"
Bhotahity Departmental Store,"Bhotahity,","00977-1-4240857,,"
Bikesh Shop Centre,"Makhan Tole,","00977-1-42268034230492,,"
