Name,Address,Telephone
Arris Designs,"mahalaxmi-9,lalitpur,","015533896,9801163336,"
Sutra Construction & Designers(Prefab)P.ltd,"Tinkune Gairigaon,Gauri Marg; Kathmandu Nepal,","01-6924123,9851188409985124840998498254099748936524,"
Green Design Nepal Pvt. Ltd.,"1st Floor, Shankamul Tower, Shankamul,","9851120343,9851120343,"
Vara Architects and Builders (Pvt) Ltd.,"Baneshower , Kathmandu,","9851000641,9816900341,"
Voxel Pvt. Ltd.,"372- Hasapota Ganesh Marga Jhamsikhel, Sanepa, Lalitpur-3 Nepal,,","+977-01-5906122,+9779851108108,"
Aiden Engineering Pvt. Ltd.,"Dillibazar-33,","016207568,9843715705,"
Artwill Interior Pvt Ltd,"Kathamandu ,","9851253440,9841309009,"
Interior Points Pvt. Ltd.,"New Baneshwor, Kathmandu, Nepal,","977 1 4782725,9851013123,"
Evolve Design Studio,"Block 1, Tori Mill Compound, Near Gyaneshwor Community park,","+97714426022,9818932370,"
Kashyap Creative Services Pvt. Ltd.,"Chandragiri 12, Balambhu, Kathmandu,","9857072060,,"
Vinayak Interiors Dharan,"Chhata Chowk,Dharan,","9829366914,98293669149804334430,"
Kalpasara Studio,"Tripureshwor,","97715316564,,"
Prime Multipurpose Services Pvt. Ltd.,"Srijanachowk,","unknown,98251535049825153505,"
Rawa Engineering,"Bishalnagar, Kathmandu,","9843952389,9842286861,"
Samden Trade Link - MODULAR KITCHEN AT NEPAL,"shorakhutte ,","014384067,9851097142,"
Dreamland Interior Solution,"Bhadrapur Road,","023-546423,9852689502,"
Reshma Interior Design,"New Road,","977-1-4215505,9841276689,"
Marsyangdi Engineering Consultant and Construction,"Banasthali, Kathmandu,","9810044118,9810044118,"
CA Construction and Consultancy P Ltd,"Sitapaila Kathmandu,","9801067615,9801067615,"
MACHHAPUCHHRE CONSULTANCY PVT. LTD.,"BP Marg, Newroad, Pokhara-9, Nepal,","521622530522,9842285622,"
