Name,Address,Telephone
Bender Beans Pvt. Ltd.,"New Colony, Sukedhara,","014015236,9808362580,"
B.P.N Pizza House,"SAMAKHUSI,","9869531333,9851229025,"
Cmdfoodland,"Naxal Tangal,","00977-1-44384464415997,9851011734,"
Dealgarnu super App,"Balawa Mahottari Nepal,","9807635902,9807635902,"
Greedytraveller,"House no- 18, Gate no- 1, surya chandra colony, kandaghari, kathmandu, 44600,","9801018909,,"
Kitab Cafe,"Basundhara Chowk,","9841459618,9841459618,"
Traveler's Holiday Inn Pvt. Ltd,"Amrit Marg, Jyatha Thamel,","+97714248945,+97714248945,"
911 Food Express,"Gahana Pokhari, Naxal,","+977 9801017911,+977 9851208978,"
Tattato Food Delivery,"Buddha Path,","unknown,+977-986-2417655+977-981-5427836,"
Cafe & Shop Mitini,"Rani Devi Marg 152, Lazimpat,","400206840020694002070,,"
Amigos Cafe,"Jhamsikhel,","9818542727,9841780613,"
Ankur Garden Restaurant,"Chaksibari Marg, Thamel,","01-4243683,,"
Ace Himalayan Cafe Restaurant & Bar,"Paknajol-16,","14218078,9851205942,"
Purna Sweets,"Taukhel , Godawari-6, Lalitpur,","016208894,9851002690,"
Sr tiffin point,"birgunj,","9801569972,9801569972,"
MD nepal cofee shop,"birendra chock gulariya bardiya,","9849099129,9849099129,"
Shrestha Cafe,"sano thimi,","9840000000,,"
