Name,Address,Telephone
Premier Insurance,"GPO: 9183, Ktm, Tripureshwor,","425287242595674249956+977 1 45 13 543,,"
Lumbini General Insurance Co. Ltd.,"New Road,","551211+977 1-4511707,,"
Prime Life Insurance,"Manakamana Marga,","+977 1-5970057+977-144 414 14+977 -01-4024071,,"
Sagarmatha Insurance Company Ltd.,"Chippledhunga,","061-535037+977-1-452904,977-9846219262,"
Century Commercial Bank Ltd.,"Putalisadak,","00977-1-4420982+977-1-444-5062,,"
Himalayan Everest Paper Packaging Pvt. Ltd.,"Chhauni, P.O. Box: 1290, ktm,","00977-1-435097342780329851049170+977 1-5245090,,"
Nepal Life Insurance Company Ltd.,"Kamaladi, P.O. Box: 11030, Ktm,","00977-1-416908241690834169085+977 1-5970971,,"
HIMALAYAN GENERAL INSURANCE COMPANY LTD.,"Babar Mahal,","42317884213014,,"
IME GENERAL INSURANCE LIMITED (IGI),"Narayanchour, Naxal, Kathmandu, Nepal ,","+977 01 44115104411520441173544255084425509,+977-9843214881,"
Divya Mantra Saving And Credit Co-operative ltd.,"KatyayaniChowck,Baneshwor Kathmandu,Nepal,","977-01-41091534109053,9851065580,"
AJOD INSURANCE LIMITED,"CTC Mall (7th Floor) Baagdurbar Marga, Sundhara, Kathmandu, Nepal,","4233743424307242433034244013,,"
Everest Insurance Company Ltd.,"Hattisar, P.O. Box: 10675, Ktm,","00977-1-44447184444717,,"
United Finance Limited,"Bharatpur Chitwan,","056-572028571714571520,984182313498510079489849098923,"
Nepal Claims Bureau,"House No. 48, Papalbot Marg, Kaldhara, Paknajol-16,","+977-1-52180955219905,98510388959841467717,"
eBeema,"Opposite to Himalayan Airlines, Sama Marg, Kathmandu 44600,","+977 -9809829581,,"
Asian Life Insurance Company,"New Plaza,","00977-1-44420474440986,,"
Nepal Insurance Co. Ltd.,"Kamaladi, P.O. Box: 3623, Ktm,","00977-1-4221353422869042455654245568,,"
NEPAL INSURANCE COMPANY LTD.,"Kamaladi,","422135342286904245565/68,,"
