Name,Address,Telephone
Durga Beej Bhandar,"Chhireshwornath-5, Dhanusha, Nepal,","041-540238,98078249639844021145,"
ANAND OVERSEAS,"link road ghantaghar-10 birgunj ,","51529388,9855029388,"
WINDHORSE CARPET MANUFACTURER PVT. LTD.,"Gokarneshwor-9, Attarkhel,","+977 1 4911851,+977 9803601601,"
Heritage Craft & Export,"Ichangu,Kathmandu, Nepal,","977-9841942604,977-9841942604,"
Target International Education Pvt. Ltd.,"Chipledhunga, Pokhara, Nepal,","+977-61-572978,+977-9856032278,"
Mount 8848 Education,"New Road-9, Pokhara,","061-537935,,"
Wholesalenepal,"720 Thamel Marg,","977-01-4418151977-01-4417647,9841815891,"
wholesalenepal Pvt Ltd WSN group,"PO Box 8974 - CPC 552,","4418151,9818677422,"
Samyak International Pvt Ltd,"Bhaktapur,","unknown,9849825407,"
Nmark Education,"Mahendrapool 09,","061 541051,,"
Aero-Ship Logistics Nepal Pvt. Ltd.,"PO Box 2191,","977-01-425258242525834252584,9851056414,"
PREMIER HUMAN RESOURCE P LTD,"Dhapasi , kathmandu,","014388606,00977- 98088609909808148910,"
UNIO EXPORTS,"Thamel Center 312,Chaksibari Mark,infront of kathmandu guest house .ktm,Nepal.,","00977 14700288,009779841385232,"
Wholesalers in Kathmandu,"720 Thamel Marg,","97714418151,9818677422,"
Anuyant Traders,"GR Garden, Greater Noida West UP","+91 7500432378,+91 7500432378,"
UNISTAR Education,"Siddhartha Chowk, Pokhara,","061534957,9864428850,"
International Food Traders,"Balaju-16,Kathmandu,Nepal,","4-390683,,"
NepalFAQ,"720 thamel Marg,","44181514417647,9818677422,"
Sancheti Tea,"Kathmandu, Nepal,","021516882,,"
Al Ajeets Management and Outsourcing Pvt Ltd,"Slesh Mantak Marg, Sinamangal-9, Panchakumari Mandir, Kathmandu, Nepal,","+977-9803395899,919090095993,"
Quick Best Cargo Pvt. Ltd.,"Panknajol-16,","01-4255159,+9779849410924+9779808543429,"
Atlantic Overseas,"Opposite Adarsh School, Near Town Hall, Adarshnagar, Birgunj, Nepal,","+977-51-418504418533418534,9802922581,"
Import Export Global Data,"Hari Vihar Dwarka Sec 16,","8929979895,09643566317,"
DISTAR HOME APPLIANCES PVT. LTD.,"Mahabaudha,","4246113,,"
Eco Incorporation Group Pvt Ltd,"Thamel,","014260072,9851207214,"
Top Brand Nepal WSN,"720 Thamel Margh,","01-441815101-4417647,9841815891,"
United Shipping & Forwarding Service P. Ltd,"Basanta Marg, House no. 351, 2nd floor, Babarmahal, Kathmandu,Nepal,","977 1 4221222/4246543,,"
Haatemaalo - Free Classified site of Nepal,"Pako, Newroad,","4115648,9803787208,"
Ramesh Corp,"Kathmandu,","+9779860066807,,"
Rodhi Sources,"Sinamangal-9 Kathmandu ,","+977 9801976688,,"
YETI LAND BABU KAJI'S KNITWEAR,"Thamel,","42208414261132,,"
Al Ajeets Management and Outsourcing Pvt Ltd,"Tara Hall Chowk, Singamangal-9, Kathmandu, Nepal,","977-9803395899,,"
Himalaya traders & export,"Thamel,","9779840291423,9779840291423,"
Synaptein International Education Consultants,"Dashrath Chand Marg, Bishalnagar-04, Kathmandu, Nepal,","0097714410193,009779803033006,"
VIrgin Pacific (P) LTD.,"Bhagawan Bahal,Thamel,kathmandu,","01-4438600/4438466,9851000077,"
E.trade Concern Private Ltd,"New Buspark, Kathmandu,","9843704537,9861878000,"
S & S Logistic P. Ltd.,"Uttar Dhoka, Kathmandu,","00977-1-44246684436658,98510671929808837022,"
AnmolShop Private Limited,"Janakpur- 8,","9816802274,9816802274,"
MT Import & Export,"New Road,","01-4267849,,"
Ganesh Trading Centre,"Opposite Bal Mandir, Near Town Hall, Adarshnagar,","+977-51-418533+977-51-418534,,"
Siddhant Trade International,"Nayabazar,","9849062423,,"
Goodwill International Pvt. Ltd.,"Basundhara,","00977-1-4383859,00977-9801091126,"
Sajilo Market,"Biratnagar,","9800950300,9862186125,"
