Name,Address,Telephone
CAD Nepal,"P.O. Box: 1442,Ktm,","00977-1-5525278,,"
Tulips Technologies Pvt. Ltd.,"Bijulibazar,","00977-1-478120901-4795677,00977-9841472917,"
Kantipur Management Private Limited,"Lagankhel-19, Lalitpur, Nepal,","+977 1 55305995532572,9801800020,"
"Thakur International for Call Centre, BPO Services","Lamtangi Marg, Chundevi, Maharajgunj, Kathmandu-4, Nepal,","0097714720270,9851187077,"
Neelez Fashion Boutique,"Kumaripati, Laltipur,","9801033880,9862375917,"
Neo-Tech Engineering Pvt. Ltd.,"Koteshwor-35,","01-5199733,9851099585,"
Manakamana Boys Hostel,"Ghattekulo, kathmandu, Nepal,","9841392113,,"
Mobiland electronic pvt ltd,"kritipur,","977014334235,9779861087804,"
Optimum Futurist Pvt. Ltd.,"Saraswati Marga, Thapagaun New Baneshwor 1st Floor of Capital FM Building Behind Panchakumari Temple, Kathmandu 44600,","01-5245009,,"
Shubham Power,"Kalanki,","00977-1-4316101,9851143616,"
HIMALAYA INTERMED,"106 SUMPAKWO MARG, MHAIPEE, KATHMANDU, NEPAL,","+977-1-4362637,-977-9851065096,"
PayPal Solution in Nepal,"Kathmandu,","9852675057,9852675057,"
Silt Consultants (P.) Ltd.,"Ratopul, Gaushala, Kathmandu, Nepal, P.O. Box: 2724.,","+977-1 44875984475139,+977-9851153061,"
TRITHUNGA TRADING CONCERN P. LTD.,"Dhungeadda,","014312036,9851119694,"
Insight Workshop,"Bhanimandal, Lalitpur 44600,","+977 1-4437005,,"
zoom star consultancy,"SAMAKHUSI, TRAKESWOR -18,","014026218,98417839059851010091,"
Bnmahatogroup,"janakpur,","+977 (0) 41 424103,+977 9801622254,"
Virgo Fashion Studio & Collection,"Dhapakhel, Lalitpur,","9803450387,9803450387,"
G.and S. innovation,"Banasthali, Kathmandu,","9845110786,9845110786,"
Advance National Pvt Ltd,"Subidha Nagar, Tinkune, Kathmandu,","00977 98413702609807303589,9807303589,"
KAMAN MARKETING,"BIDUR-4 BATTAR BAZAR, NUWAKOT,","010560278,9841277240,"
SHISAS TRADING CONCERN PVT.LTD,"Yak & Yeti Entry Road, Durbarmarg,","42336034233604,,"
Myshopasiacom,"Bagmati,","+977 -1-4372677,,"
