Name,Address,Telephone
"Shree Yoga Retreat, Nepal","Maitrinagar, Kirtipur,","9864537187+977-9814140515,9814140515,"
Glorious Wellness Spa (p) ltd.,"7th Floor CTC Mall Sundhara Kathmandu,","+977(1)4258671,+9779841320603,"
Smart Aerobics Fitness,"New Baneshwor, Janak Margh,","014470077,9843178609,"
Pro Fitness Store,"Kupondol,","9841594022,9851093921,"
Shanti Yoga Ashram,"Machchegaun 5, Kathmandu Nepal,","(977) 1-4332363,9841-5749579861-051224,"
ATM Pharmacy,"Koteswore, Kathmandu,","9801165986,9861665986,"
Sammunat Nepal,"Sundarijal, Chilaune,","+9779864479090,+9779813847426,"
Get Well Soon Nepal Pvt Ltd,"Dhobighat, Lalitpur-3,","+977-015153315,,"
Moksha Ayurveda & Panchakarma Center P. Ltd.,"Maitri Marg, Bakhundole-3, Lalitpur - Nepal,","1-5522954,9851233755,"
Harihara Ashram Meditation Center,"Ganesthan, Gongabu,","01-4382825,9841532370,"
Nepal School Of Yoga,"Thasikhel Ring Road,Bhawani Complex close to Ekantakuna yatayat office, Lalitpur, Nepal,","01-5193352,+977-9849314324,"
OK Pharma - Online Pharmacy Pokhara,"Bhakti Marg, New Road, Behind Lumbini Bank and Kantipur Dental Hospital,","9846198129,,"
Chaitanya Health & Wellness,"Bakhundole,","+977-1-5447774+977-1-5447971,+977-9851123301+977-9801132922,"
Swiss International Hotel Sarowar,"50087, Nairobi,","+977 61 463 037,,"
Real Therapy and Beauty Point,"Samjhana Street,Thamel, Kathmandu 44600,","9801166651,9801166651,"
Fitness Choice,"Kalikasthan, Basghari,","+977-1-4429855+977-1-4434823+977-1-4429833,+977-9860028444+977-9861283636,"
Nepal Ayurveda Home,"Thamel,","9849521819,9851167373,"
Asian Access Travel and Adventure,"Mandikhatar,Kathmandu,","unknown,977-9808040436,"
Dr. Thasineku Sumana,"New Baneshwor, Kathmandu,","00977-9841491813,00977-984311202800977-9841491813,"
Maharshi Charaka Ayurveda and Yoga Clinic,"Shop no:4, Scout Building Lainchaur, P.O. Box: 2869, Ktm,","00977-1-4430811,00977-1-9851030828,"
Pokhara Yoga and Retreat Center,"Lake Side Road Sedi Height, Pokhara,","9856027660,9856027660,"
Bhaktapur Physiotherapy Clinic,"Jagati-2,","6612839,9849125781,"
Fitness legacy,"lazimpat kathmnadu nepal,","07445203,9808049424,"
Ayurveda Health Home Pvt. Ltd.,"Dihikopatan, Lakeside,","061-465874463205,,"
Real Therapy & Beauty Point,"thamel 29 kathmandhu, Nepal,","014700369,9801166651,"
Yoga-Reiki and Nature Health Foundation (Chetana Yoga-Yogi Ananda),"Thamel,","00977-1-4701296,00977-9741133537,"
Arogya Ashram,"Bhatbhateni, P.O. Box: 3662, Ktm,","00977-1-4412075,00977-9851057392,"
Play Nepal,"Bagmati,","+977 1-5244905,,"
Goniyoure Yogeshram,"Basundhatra, P.O. Box: 14398, ktm,","00977-1-985109154398417941019851023909,,"
Himalayan Buddhist Meditation Centre,"Thamel, P.O. Box: 5761, Ktm,","00977-1-4700895016210048,,"
Qilin Qigong Promotion,"Bhotahity,","00977-1-425303955553244335014,,"
Holistic Yoga Ashrama,"Thamel, P.O. Box: 4783, Ktm,","00977-1-4701334,,"
HOLISTIC YOGA ASHRAM,"Thamel,","4701334,,"
International Yog Reki Pvt. Ltd.,"Kalimati,","00977-1-2011027,,"
Jiva Cafe & Spa,"On Phewa Lake Walking Path between Mike's Breakfast and Boomerang Restaurant,","061 465379,,"
Meditation at Chobhar Monastery,"Thamel, P.O. Box: 8974 CPC 552,","00977-1-4418151,,"
Meditation Or Yoga Nepal,"720 Thamel Marg, P.O. Box: 8974 CPC 552,","00977-1-4417647,,"
Nepal Worldwide Marriage Bureau,unknown,"00977-1-44699999849048344,,"
Patanjali Yoga Ashram,"Tahachal, P.O. Box: 6521, Ktm,","00977-1-4278437,,"
Reiki Healing,unknown,"00977-1-5541613,,"
Siddhashram Shakti Kendra,"Battisputali, P.O. Box: 10511, Ktm,","00977-1-21001532071200,,"
Bulls Tattooz,"Bhaisepati Lalitpur ,","unknown,9841174894,"
Shambu Physio Care,"Sanepa 2,","9849288084,9849288084,"
AROJYA ASHRAM,"Gaushala,","44707769851057392,,"
Golden Globe International (Private) Limited,"GPO: 20448, Ktm, Teenkune,","016910453,,"
MAGIC TOUCH BODY AND BEAUTY CARE CENTRE,"Tushal,","44711084438377,,"
Nagarjun Yoga & Health Care Centre,"Syuchatar,","00977-1-4289445,,"
Nepal Vipassana Center,"Kantipath, P.O. Box: 12896, Ktm,","00977-1-42254904250581,,"
SCHOLARS POINT,"Chhetrapati,","4252753,,"
Spark Health Home Pvt. Ltd.,"GPO: 21149, Ktm, Kalimati,","42730944273369,,"
Universal Spiritual Center,"Putalisadak, P.O. Box: 1510, Ktm,","00977-1-4223118,,"
Yoga & Prakritik Chikitsa Anusandhan Kendra,"GPO: 4456, Ktm, Lazimpat,","44235464423660,,"
Yoga Tatha Prakritik Chikitsa Anusandhan Kendra,"GPO: 21149, ktm, Kalimati,","44270944273369,,"
Charak Yoga Centre,"Thamel,","00977-1-4241771,00977-9849453470,"
Dr. Sudip Paudel (BPT),"Kshetrapur,","unknown,9845363084,"
Ananda Yoga Centre,"Matatirtha, P.O. Box: 11225, Ktm,","00977-1-43110484311639,,"
BODY SHOP NEPAL PVT. LTD.,"Dillibazar,","44212384421231,,"
Matamanakamana Arogya Kendra,"Putalisadak,","00977-1-4240381,,"
Nepal Vipassana Center,"Budhanilkantha, P.O. Box: 12896, Ktm,","00977-1-43716554371007,,"
Nepal Reiki Meditation Centre,"Samakhushi,","4360512,,"
Om Manla,"Nagarkot,","00977-1-66801084439068,,"
The Art of Living- Nepal,"Kupondole, P.O. Box: 10417, Ktm,","00977-1-2030229,,"
The Art of Living,"GPO: 462, Ktm, Kupondole,","55256665521681,,"
YOSAS NATUROPATHY CLINIC,"Lagankhel, Lalitpur","553608455263375532846,,"
Kathmandu Yoga-Dhyan Kendra,"Pako, New Road,,","00977-1-4219653,9841576835,"
Osho Asheesh Meditation Center,"P72Q+RCM,","+977-1-4274126-+977-1-4271385,+977-984-9229815,"
Institute of Natural Health,"Bhimsengola,","00977-1-41091094109163,00977-9851071411,"
Manakamana Arogya Kendra,"Putalisadak,","4240381,,"
MANOKRANTI ABHIYAN,"Sundhara,","42475474432296,,"
SRS TRADERS,"Kalimati,","42740134279115,,"
Akhanda Jyotish Bhaisabadi Centre,"Mitrapark, Chabahil,","00977-1-98414193389741045731,,"
Arogya Ashram,"Dillibazar,","00977-1-4490505,,"
Arogya Dham (Yoga And Nature Cure Centre),"Manbhawan,","00977-1-5548681,,"
AROGYA DHAM,"Jawalakhel, Lalitpur","5548681,,"
AROGYA MANDIR,"Kathmandu,","4226273,,"
BEST BRAND NEPAL PVT. LTD.,"Kathmandu Plaza,","42442224246299,,"
BISHAL AYURBED AUSADHALAYA TATHA YOGA ABHAYAS ASRAM,"Putalisadak,","4418041,,"
Buddha Dharma & Reiki Center,"Chhuchepati,","00977-1-2070673,,"
DEVI YOGA MASSAGE,"Kathmandu,","4211291,,"
EDUCAIONAL AND COMMUNITY HEALTH ORGANISATION,"Lagankhel, Lalitpur","5540860,,"
HARE KRISHNA YOGA AND NATURAL TREATMENT CLINIC,"Thamel,","4421937,,"
