Name,Address,Telephone
Caravan Readymade Company Private Limited,"Baburam Acharya Sadak,Setopul, Old Baneshwor,,","9841017539+977 9851097552,9851097552,"
Mero Rug,"Babuchrriri marg, house no. 114, Shantinagar, Kathmandu, Nepal,","46201034620126,9849087058,"
Caravan Readymade Company private limited,"Naya Thimi, Dakshinbarahi Marg,house no 21,","977 9841017539+977 9851097552,977 9851097552,"
M/s Mastana Mechanical Works(Regd.),"B-I -1226/3 Rajinder nagar Ludhina,","0091-9814011130,0091-9814011130,"
Contech Concrete,"Satungal 2, Kathmandu,","97716200400,,"
MiRON Laboratory & Research Center (MLRC) P. Ltd.,"Sairam Marg, Tinkune, Gairigaon-9, Kathmandu,","977-1-4483490,9851182019,"
Nepo Textile Industries Pvt Ltd,"Sallaghari,","+977-6613137,+9779851051032,"
Sundar Cement Samagri Udhyog,"Chaukitole-2, Hetauda Bazar, Nepal,","98550723519855056006057-526244,,"
Odaan Innovations,"Patan Industrial Estate Lalitpur,","01-5522263,9841630411,"
R. D. Mould & Industry,"Bagdurbar Marg, Kathmandu 44600,","917922900030,919377761062,"
Vegetable Carpet Manufacturer Pvt. Ltd.,"Budhanilkantha 3, Kathmandu, Nepal,","009-77-1-4378765,,"
Needle Felt Creation,"Mahadevthan, Chandragiri-07, Thankot,","+9779806127222,,"
Jaya Bageshwari Cements Pvt Ltd,"Belaspur,","977-81-522209,,"
Quality Fashion Enterprises Nepal,"Balkumari,","00977-1-6615008,+977-9851168289,"
Sagun Foods,"balaju,","01-4390670,9851151270,"
Brother Textile Industries,"Bahuwari,","+977-9855021472,+977-9807217604,"
Chandrajal Group,"Birendranagar Industrial Area, Surkhet,","00977-83-522380,009779858025100,"
CHAMUNDA TAR JALI AND STEEL FABRICATOR PVT LTD,"TINDOBATO BANKEPA,","9801058221,9851008549,"
Wooden Kits Industry,"Satdobato,","00977-1-51524155152059,9851063391,"
Nepal Hosiery,"Balaju ,","015102116,,"
SHIV SHAKTI PACKAGING PVT. LTD.,"Teku,","41000414100042-45,9802910490,"
Pashupati multicom trade pvt ltd,"Kathmandu ,","+9779803198096,+9779803198096,"
Siddha Baba Engineering Workshop,"Simara (2), Gaddimai Municipality, Bara District, Narayani Zone, Nepal,","unknown,+9779845021838,"
