Name,Address,Telephone
Janaki Furniture - Janaki Steel Industries,"Biratnagar, Lekhnath Marg 77 , Sarouchiya,","021-511931,98520221479842073906,"
SLEEK KITCHEN CONCEPT,"Paschim Line,","025-582748,9852055249,"
SLEEK KITCHEN BIRATNAGAR,"BIRATNAGAR 6, BHRIKUTI CHOWK,","021-521518,9801025206,"
Bindabasini Metal Industry,"Devdaha-4,Bijayapur,Nepal,","9857057296,9821578557,"
Furni World,"New Baneshwor,","01-4104367,985109219098484177159804621743,"
G.D.S. Fiber World,"opposit to Dudhfarm chowk,","9841872556,984187255698424010659849721102,"
S. T. Fabrics Pvt. Ltd (ST Carpet),"Kutu Bahal Galli ( near aradhana petrol pump),","01-4494600,9802030759,"
Rabi Furniture,"Dhalko, Chhetrapati,","9803198255,9803198255,"
UNIO EXPORTS,"Thamel Center 312,Chaksibari Mark,infront of kathmandu guest house .ktm,Nepal.,","00977 14700288,009779841385232,"
Home Zone Furniture & Furnishing,"Bhanu chowk, Janakpur,","041229019,9800800008,"
Nalmi Steel Furnishing,"Tersapatti-3 Pokhara,","9808357732,98083577329804196461,"
Janapur Furniture Centre,"Bhanu Chowk,","041590000,,"
Lord buddha himalayan enterprises,"mahepi road ,kathmandu,Nepal,","014358545,9851018264,"
Muskan Interior Pvt. Ltd,"Head office kamladi (opposite of kathmandu plaza) sub branch (santinagar),","014420691,00977-98510365079841411807,"
RICH INTERIOR PVT. LTD.,"Pushpalal Path, Dhalko Link Road,","015351178015351187015365840,9851025042,"
DURGE SHREE FURNITURES,"kamal pokhrari,","014422436,9851072105.9803310408,"
Quest Interiors (P) Ltd.,"Guheshwori Town Planning, Siddartha Chowk,","00977-01-5155201,00977-9851040767,"
SIDDHA BABA FURNITURE UDHYOG,"BANSI CHOK, WAY TO FACTORY ROAD,","9844401210,9804800210,"
Aditya Enterprises Pvt Ltd,"Kathmandu, Behind Honda Showroom,below Laxmi Bank,teku Road,","+977-1-4100066,,"
Radhakrishna Trade and Concern,"Pepsicola-32, Kathmnadu,","01 4991197,9851071896,"
SHAN FURNITURE UDHYOG,"JGHF+QC5,","unknown,+977 984-1030577,"
S R International pvt. ltd.,"Nikosera, thimi, Bhaktapur,","9843317867,,"
Laser Shows with Light and Sound Effect,"17/1C Alipore Road, Kolkata -700027","913340121100,913340121100,"
Maa Chandi Furniture Furnishing & Suppliers,"ThuLa Marg, Banepa Buspark, Banepa,","011663007,,"
Ratna Furniture,"Kharahani, Parsa,","9855066538,9845083328,"
Tirupati Wood Panel Industries Pvt. Ltd.,"itahari khanar highway,","025587428,9852048319,"
Unity Decor & Craft Pvt. Ltd.,"Koteswor,","00977-1-5147180,9851047959,"
Ratna Furniture,"Khairahani, Parsa, Chitwan","unknown,+977-9855066538+977-9845083328,"
Nextgen interiors and architects pvt.ltd,"Baluwatar,","+9779849151220,,"
Himal Metal Industries,"Tathali,","00977-1-66135022133523,00977-9741331633,"
Laafa Pvt. Ltd,"Manapang 3, Tanahun,","065690420,9856040420,"
Om ply wood industries,"Khajura Road,","081525331,9849147972,"
Smith & Fabricators,"Jawlakhel,","9813551085,9813734794,"
PIO Ghana Limited,23 Achimota Road,"unknown,,"
