Name,Address,Telephone
NATRAJ TOURS AND TRAVELS PVT. LTD.,"Kamaladi,","422253242220144220001(977-1) 5261521,,"
Karma Eco Adventure,"Boudha ,","+977-9841142526,+977-9841142526,"
Nepal Planet Treks and Expedition,"Thamel , Kathamandu ,","977-1-4252196+977 9841613822,977-1-9841613822,"
Ethic Himalaya Treks & Expedition P. Ltd,"Shorakhutte, P.O. Box: 9972, Ktm,","00977-1-4365416+977 -1- 4002128,00977-9751006092,"
NEPAL VISION TREKS AND EXPEDITION PVT. LTD.,"Thamel,","441391544232974424762+977 443-0653,,"
KAILASH HIMALAYA TREKS,"Bagbazar,","4241249+977 9813585999,+9779851002789,"
iTourNepal.com P Ltd.,"Galkopakha, Thamel,","977 1 4363643,977 1 9751015645,"
Yeti Trail Adventure Pvt. Ltd.,"Nayabazar, Kathmandu, Nepal,","97714380815,9779849491482,"
Himalayan Exploration Treks,"Ekikaran Sadak, Khusibun - 17,","+97714388913+97710941023371,,"
Dream Heaven Adventure Pvt. Ltd.,"Thamel,","+97714411938,97714389321,"
Advanced Adventures,"Bhagwan Bahal, Thamel, Kathmandu, Nepal,","977-1-4444153,+9779851040806,"
Exotic Destination Nepal Tours & Treks,"Thamel, P.O. Box: 9892, Ktm,","00977-1-44203514420381,00977-9851041464,"
Amigo Treks & Expedition,"Tredevi Marg Thamel,","+97714512014,+9779851136878,"
Access Nepal Tour & Trekking,"Thirbam Sadak,Acharya Galli,","+97714444152,,"
Mosaic Adventure Trek & Expedition Pvt. Ltd.,"Thamel, P.O. Box: 9585, Ktm,","00977-1-4267644,,"
Nepal Gateway Overseas Pvt. Ltd.,"Basundhara, P.O. Box: 26302, ktm,","00977-1-43609244360853+977014512103,,"
Nepamount Trekking Pvt. Ltd.,"St. Jorpati-2,","977-1-4913020,977-9849343960,"
Trekking Team Group,"Post box: 12863, Chaksibari Marg, JP School Road, Thamel,","0097714354519+977 01-4227506,,"
Thamel Physical Fitness,"Tamel mall,","00977-1-4263496+97714417000,,"
Eco Holidays Nepal,"Kaldhara Marg, Kathmandu, Nepal,","+977 9851136074,9813633817,"
Himalayan Recreation Treks & Expedition Pvt. ltd,"kathmandu NEPAL,","97714388009,9779851101413,"
MONTEROSA TREKS AND EXPEDITION PVT. LTD.,"Thamel,","4700348+977-9801031674,+977 9851031674,"
Travel Max Guide Adventure Pvt. Ltd.,"Thamel, Kathmandu, Nepal,","+977 9843688010,+977 9843688010,"
Heaven Himalaya Treks and Expedition,"Nayabazzar, Kathmandu, Nepal ,","9815259419+977-014957403,9809443884,"
Great Himalaya Cricket Academy,"Om kareshwor Temple,","unknown,+977 984-1367821,"
Access The Asia Treks Pvt. Ltd,"Dhumbarahi-04,","014007555,9851214446,"
Smart Aerobics Fitness,"New Baneshwor, Janak Margh,","014470077,9843178609,"
MT International pvt ltd.,"gongabu, 7 Kathmandu Nepal,","014386890,9851092239,"
Bochi-Bochi Trek Pvt. Ltd.,"Shiva Galli, Lazimpat,","4418902,9851086791,"
Nepal Club Travel & Tours,"Changunarayan - 8, Bhaktapur, Nepal,","unknown,0977 9841655954,"
Nepal School Of Yoga,"Thasikhel Ring Road,Bhawani Complex close to Ekantakuna yatayat office, Lalitpur, Nepal,","01-5193352,+977-9849314324,"
Hamro Futsal Arena,"Chapaligaun-03, Budhanilkantha, Kathmandu, Nepal,","9861582968,9861582968,"
Adventures Leader Nepal (P). Ltd.,"Sathghumti, Thamel, Kathmandu,","+977 1 4700310,+9779851150789,"
Higher Path Treks & Expedition Pvt. Ltd.,"Kapan,","4374995,9841073728,"
Swiss International Hotel Sarowar,"50087, Nairobi,","+977 61 463 037,,"
Third Rock Adventures,"Keshar Mahal Marg, Thamle,","9851196875,9851196875,"
Odyssee Nepal Trekking,"17 Alkabasti Galli, Lainchour,","+977014418583,+9779841329820,"
Nepal Nomad Trekking Pvt. Ltd.,"Chaksibari Marg - 26, Thamel,","+97714701039,+9779851090112,"
Trooper Travels and Tours Pvt. Ltd.,"Nagpokhari, Kathmandu,","014414387,,"
Fitness Choice,"Kalikasthan, Basghari,","+977-1-4429855+977-1-4434823+977-1-4429833,+977-9860028444+977-9861283636,"
