Name,Address,Telephone
Oldpinch Online Shopping,"Bagdol-4, Lalitpur,","015191399+977 -9864478470,9864478470,"
Core Dreams Innovations Pvt Ltd,"Tikhedewal,Bishalchowk,Lalitpur.44700,","015543015,,"
OUTSIDE VALLEY,"Kathmandu,","4257800425790001-5554982,,"
Websanjal,"Balaju, Banasthali, Dhungedhara Kathmandu, Nepal,","977-01-4880155+977 9841 688 226,,"
Prabidhi Info,"New Baneshwor, Kathmandu, Nepal,","9804136959,,"
Nepasoft Solutions Pvt. Ltd.,"Kantipath, P.O. Box: 11291, Ktm,","00977-1-426360042437064255088+977-1-5900182,,"
Voxcrow P. Ltd.,"Nagpokhari, Kathmandu,","9802329903+977 9802071665,9802329903,"
Convergetree Technologies Pvt Ltd,"Tinkune, BasukiNagar,","15199579+977 9851161789,9869052525,"
Khumbu Carpet Industries,"Chapali,","00977-1-437006143720714472418,,"
Capital Eye Nepal,"Jhamsikhel,","00977-1-5013564+977-01-5526615,,"
Elance Digital Media Pvt Ltd,"Bhimsengola,","977 981-8097976+9779843210144,,"
Rillmark Pvt Ltd,"Maitidevi, Setopool ,","01-4420115,98404457539851132116,"
Grey-Hound Nepal,"Lakeside,","523093,,"
Nur Nepsol Solutions Pvt Ltd,"Munni Bhairab Marg, Tinkune, Koteshwor,","977 980 10 111 85,,"
Thamel Physical Fitness,"Tamel mall,","00977-1-4263496+97714417000,,"
Web Creation Nepal Pvt. Ltd.,"Bagbazar,","977 42462494243968,977 9851029233,"
Kumari Job,"Thapagaun,","+977 1-5199600,9801178845,"
Amnil Technologies,"Manbhawan,","00977-1-5531784,,"
Til Ganga Eye Centre,"Gaushala, Bagmati Bridge P. O. Box # 561,","+977-1-597 0048,,"
Sparrow SMS,"8975, EPC 1887 Bakhundole, Pulchowk (100m ahead from opposite of Entrance Cafe), Lalitpur,","+977-1-5522942,9802005007,"
Landmark HR Consultant,"Maitidevi, Kathmandu,","01-4390092,9813054004,"
MeroNetwork,"Thapathali Rd,","+977 (1) 5111100+977 -01-4426702,09808213062,"
Vianet Communications Pvt. Ltd.,"Pulchowk,","+977 1 421 7555+977 16600188444,+977 98 0104 6410,"
SoftNEP,"Bhimsen Gola Marg, Min Bhawan,","977-01-4115934,,"
Subisu Cablenet (P) Ltd.,"Baluwatar,","00977-1-44296164429617+977-14235888,,"
OM Networks Pvt Ltd,"Dillibazaar,","01-4435018,,"
Dish Media Network Pvt. Ltd.,"Tinkune,","00977-1-447916116600122000+977 -01-4217666,00977-9851032610,"
DATAHUB PVT LTD,"Thapathali,","+977-1-42473044222025,,"
NCell Pvt. Ltd.,"Krishna Towers, P.O. Box: 9900, Ktm,","00977-1-980555444490059809005000,,"
Daraz Nepal,"Kathmandu, Central Development Region,","+977 980 1292 929,,"
Webpal Private Limited,"Koteshwor-32,","9864900900+9779801096633,,"
Websoft Nepal (P) Ltd,"2nd Floor Pashupati Plaza, Honkong Bazar Rd, Narayangarh, Chitwan,","+977-56-527600,+977-9845506426,"
CompuTeX IT Solution,"rambazar-10, Pension Camp way, gauri marga,","9818320706,9818320706,"
Decade International P Ltd,"Samakhushi Townplanning,","014383043,9851044707,"
"Thakur International for Call Centre, BPO Services","Lamtangi Marg, Chundevi, Maharajgunj, Kathmandu-4, Nepal,","0097714720270,9851187077,"
Upaya: City Cargo,"Babarmahal,","+977 988-1098830,,"
All Store,"Dharan-15, Sunsari,","9811303760,,"
Hamro Store (p) Ltd.,"Chapagaun-6, Lalitpur,","01-5230407,9851188334,"
FM Adhyatma Jyoti 104.8 Mhz,"Dillibazar, P.O. Box: 3390, Ktm,","00977-1-44254014442253,,"
Real Time Solutions Pvt. Ltd,"Dhobighat, Jhamsikhel, Kathmandu,","5538687,9801074963,"
Mac Support Pvt.Ltd,"kathmandu Nepal,","9808612382,9808612382,"
THAKUR INTERNATIONAL AND INVESTMENT Pvt. Ltd,"Lamtangi Marg, Chundevi, Maharajgunj, Kathmandu-4, Nepal,","+977-1-4720270,,"
Connepsys PVT LTD,"Gyaneshwor-30, Kathmandu, Nepal,","4425866,9851014866,"
New A to Z Computer & Language Centre,"Bhanuchowk, JanakpurDham, Nepal,","041-527859,9844026865,"
Zen IT Hub Pvt. Ltd.,"Satdobato, Lalitpur,","+977-1-5521533,+9779849123571,"
Aryan Mobile Gallery,"mahendrapool, infront of NTC building (medical line),","061533553,+9779856083621,"
