Name,Address,Telephone
Nepgeeks Technology,"Putalisadak Kathmandu,","9869178426984-3026054,9869178426,"
Oldpinch Online Shopping,"Bagdol-4, Lalitpur,","015191399+977 -9864478470,9864478470,"
Core Dreams Innovations Pvt Ltd,"Tikhedewal,Bishalchowk,Lalitpur.44700,","015543015,,"
OUTSIDE VALLEY,"Kathmandu,","4257800425790001-5554982,,"
Nepal Art & Craft Industries,"Dallu, P.O. Box: 9614, Ktm,","00977-1-9841549384+977 -1-4248003,,"
Websanjal,"Balaju, Banasthali, Dhungedhara Kathmandu, Nepal,","977-01-4880155+977 9841 688 226,,"
Outshine Adventure Pvt.Ltd,"Thamel, pakanajol,","(+977)014701444,9801026351,"
KlientScape Pvt. Ltd,"Gairidhara,","98020005929808362580+977 1-4425513,,"
GLOBAL IT SUPPOERT PVT. LTD.,"Putalisadak,","42557474243455,9851060143,"
Professional Computer Systems (P) Ltd.,"Kupondole,","00977-1-55480825543554+977 -1-5260820,,"
CAD Nepal,"P.O. Box: 1442,Ktm,","00977-1-5525278,,"
Analogue Inc,"Gausala,","+9779802320803,,"
Nimble Infosys,"New Baneshwor,","01-4104381/82+977 -1-597-0077,98511-26328,"
Convergetree Technologies Pvt Ltd,"Tinkune, BasukiNagar,","15199579+977 9851161789,9869052525,"
PIE,"Mitrapark, Chabahil,","014475239,9801820110,"
Nepfinder Innovative I.T. Solution Pvt. Ltd.,"Bashundhara, Kathmandu, Nepal,","014360230,9851189313,"
Online Saathi,"Koteshwor, Kathmandu, Nepal,","+977-01-5147281,9812370139,"
Trinity Infosys Pvt. Ltd.,"New Road-22,","+977-01-4238034+977 985-1007524,+977-9851007524,"
Bent Ray Technologies,"Jwagal,","00977-1-5526996+977 1526-0252,,"
Capital Eye Nepal,"Jhamsikhel,","00977-1-5013564+977-01-5526615,,"
Young Innovations Pvt. Ltd.,"Pulchowk, P.O. Box: 9876 EPC 241,","00977-1-2291892+977-1-5536093,,"
Neptrox Solutions Pvt. Ltd.,"Imadol, Gwarko, lalitpur, Kathmandu Valley, Nepal,","01-6201277,98511201719851220381,"
Rillmark Pvt Ltd,"Maitidevi, Setopool ,","01-4420115,98404457539851132116,"
Caravan Readymade Company Private Limited,"Baburam Acharya Sadak,Setopul, Old Baneshwor,,","9841017539+977 9851097552,9851097552,"
Nur Nepsol Solutions Pvt Ltd,"Munni Bhairab Marg, Tinkune, Koteshwor,","977 980 10 111 85,,"
I. Nepal Pvt. Ltd.,"Koteshwor-35,","00977-1-9851014638+977 9842037889,,"
Web Creation Nepal Pvt. Ltd.,"Bagbazar,","977 42462494243968,977 9851029233,"
Amnil Technologies,"Manbhawan,","00977-1-5531784,,"
AccessWorld Tech Pvt. Ltd,"5th Floor , Bhatbhateene Super Store , Pulchowk ,","9801000575,9801053824,"
e-Zone International,"New Baneshwor, Opposite of BICC West Gate No.2,","+977-1-44830884494072,9802026676,"
Weblink Nepal IT Institute Pvt. Ltd,"Bagbazar, P.O. Box: 21466, Ktm,","00977-1-4248668+977 980 1114897,00977-9841506331,"
MeroNetwork,"Thapathali Rd,","+977 (1) 5111100+977 -01-4426702,09808213062,"
SoftNEP,"Bhimsen Gola Marg, Min Bhawan,","977-01-4115934,,"
Broadway Infosys Nepal Pvt. Ltd. (Computer Training Institute ),"Tinkune,","00977-1-20505334117578,00977-9841936873,"
Vigorous IT Solution,"Chhorepatan-17, Pokhara 33700, Nepal,","061460932,9816162802,"
Daraz Nepal,"Kathmandu, Central Development Region,","+977 980 1292 929,,"
Webpal Private Limited,"Koteshwor-32,","9864900900+9779801096633,,"
"Thakur International for Call Centre, BPO Services","Lamtangi Marg, Chundevi, Maharajgunj, Kathmandu-4, Nepal,","0097714720270,9851187077,"
Digital Terai,"New Baneshwor,","+9779863992047,+9779863992047,"
Salfox IT Solutions,"1043/31 Bhagawati Marg, Naxal, Kathmandu ,","01-4413364,984154856098400119999803507241,"
Journey4tech,"Ramanad Chowk , Janakpur,","9801035905,9801035905,"
Nxtech Web Development in Itahari,"Itahari 8, Sunsari. Biratnagar Line Bus Stop,","025- 580812,9813478383,"
A to Z Institute & Consultancy,"Kathmandu,","01-2298901,9860089811,"
InDesign Media Pvt. Ltd.,"Sansari Maisthan,","9841653356,9852039585,"
Amsoft Technologies,"Gwarko-17, Lalitpur,","01-5007646,9841347121,"
Orangic Smart Technology Pvt. Ltd.,"Mills Area(Near of Holy Cross School), Janakpurdham,","9824890248,,"
Arun Infosys Pvt. Ltd.,"Birganj -5, Parsa, Nepal,","+9779855025175,+9779855025175,"
ITtraders Pvt Ltd,"Swayambhu Marg, Sorakhutte,","9869634634,9849030347,"
Magnetic Web Solution,"Kupondole -1,","5529553,9810166373,"
Real Time Solutions Pvt. Ltd,"Dhobighat, Jhamsikhel, Kathmandu,","5538687,9801074963,"
Kyrios,"Phulbari Complex - Shop No. 214, Boudha - 6,","014812782,98602402269851101667,"
"Pranish Shrestha :: Website Designer and Joomla developer, Biratnagar","Bargachhi,","9802024403,9802024403,"
aapple technologies,"dhoka baha, jyatha,","014248763,9849143786,"
BMP Infology Pvt. Ltd.,"Baluwatar Kathmandu,","01-44168169849326436,98418271959841851230,"
Helmets Nepal,"Anamnaga, kathmandu,","014268661,9802061944,"
Orasoft Pvt. Ltd,"Minbhawan,","00977-1-46210429801000269,00977-9851000269,"
Transparent Digital Agency,"Adarshanagar, Kathmandu,","01-4822063,98036768589851118518,"
Bramento Technology,"Maitidevi,","+977 9803737690,+977 9843526650,"
Podamibe Nepal,"Blue Star Complex,Tripureshwor,","01-4101043,,"
Zen IT Hub Pvt. Ltd.,"Satdobato, Lalitpur,","+977-1-5521533,+9779849123571,"
Collegenp,"Anamnagar,","9851179881,,"
Softbenz Infosys Pvt. Ltd,"Sankhamul Kathmandu, Nepal ,","01-4786657,9801848492,"
Web Talents Dot Net (Pvt. Ltd.),"44622, Golfutar Height, Ward No. 8,","+97714370454,+9779840679800,"
Websoft IT Nepal Pvt.Ltd.,"biratnagar, morang, nepal,","9842278940,9842278940,"
Mhuchya Technology,"Sankhamul, New Baneshwor,","01-478372001-5533268,+977 9801182170+977 9813350634+977 9843695341,"
Ygen Software Pvt. Ltd.,"Nayabazar Pharmacy Building, 3rd Floor, Nayabazar - 8,","9806748722,9806748722,"
A Complete Web Solutions,"Koteshwor,","9807249698,9807249698,"
Next Nepal,"Muni Bhairab Marg Kathmandu, Nepal,","01-5199731,98018815889801881583,"
Software Shark Tech Pvt Ltd,"chabhil,","015908389,9801333378,"
Delta Tech Nepal,"Tinpaini,","9802753996,9802753996,"
Genesis Web Technology Pvt. Ltd,"House no 17, Pragati Marg, Sankhamul New Baneshwor, Kathmandu, Nepal ,","+97714786782,+97798511273079851182414,"
Meronetwork Pvt. Ltd.,"Kumari mai marga, Lazimpat,","014426702,9849628088,"
NPW Software Technologies,"Shanti Nagar-34, New Baneshwor, Kathmandu, Nepal,","+9779851195784,+9779851195784,"
Treesoftware company,"Santinagar chowck pokhara,","9856042793,9804141793,"
Wholesale Asia,"GPO 8974 - CPC 552,","97714418151,9818677491,"
IIT Nepal,"Bagbazar, Putalisadak, Kathmandu,","01-4167615,9851224985,"
i.Nepal Pvt. Ltd.,"Kathmandu,","01 5155214+977 9842037889,,"
Technology of nepal,"itahari 5 sunsari,","9842582078,9842582078,"
D.J. Group of Company,"Koteshwor,","9848776074,9816527282,"
Theme Nepal,"UN Park Lane, Jwagal, Lalitpur,","015261193,9845398624,"
Yala Institute of Technology,"Lagankhel,","+97715537320,5261903,"
Yourkoseli,"Macchapokhari,Kathmandu,Nepal,","+977-9860291455,,"
Fyreweb,"bajra bir, Amrit Marg, Kathmandu 44600,","986-6454752,986-6454752,"
"Hash-IT Solution,Nepal","Bagbazar-Balamarg -31,Kathmandu,","014241697014243810,9851197492,"
Insight Technology,"Kupondole ,","5181047,9841538467,"
Intesol Nepal Pvt. Ltd,"Shankhamul, Kathmandu (infront of Sunrise Bank),","4784432,4784432,"
National Institute for Career Education,"Adwait Marg, Bagbazar-31, ,","014240193,,"
ProActive Web Developers,"Bishalnagar, Kathmandu, Nepal,","01-4426893,98510156979851012337,"
