Name,Address,Telephone
Holidays to Nepal Pvt. Ltd.,"Lainchaur-29,","0097714413408,009779851166779,"
Annapurna Foothills Treks & Expedition,"Narayantar, Jorpati,","014917745+977 9841579429,977 9860711710,"
Shangri-La Hotel,"Lazimpat, P.O. Box: 655, Ktm,","00977-1-441299944197424419743,,"
Chhaimale Resort,"Ramche Bhanjyang-6, Kathmandu, Nepal,","01-4268121,98511814099860676495,"
Hotel Khumjung,"Maharajgunj, P.O. Box: 2591, Ktm,","00977-1-40161944016111,,"
Hotel Yeti,"Lakeside,","526768,,"
GAJUR HOTEL,"Dhankuta,","520339,,"
HOTEL DEEP SAGAR RESTAURANT AND BAR,"New Road,","5261829856026382,,"
HOTEL JAY VIJAY,"Sunauli, Butwal/Bhairahawa","523029,98470122119804482622,"
Star Adventure Asia Treks (P) Limited,"Boudha-6, Kathmandu, Nepal,","00977-1-4499244,00977-9803626021,"
Mystique Highland Resort,"Astahm, Dhital-8, Kaski,","061 696663,985603007498560707749846087761,"
World Race Travels & Tours,"Koteshwor,","015147079015147220016923746,9851012105,"
Active Journey Holidays Pvt. Ltd.,"Thamel- 26, Kathmandu,","9741253004,9841448249,"
Thamel Apartments/Hotel,"Thamel marg,","+977-1-4220353,+9779813304069,"
ENepal Trekking,"Thamel, Kathmandu, Nepal.,","014701051,9851017772,"
Hotel Bishram,"Barahi Path , Lakeside , Pokhara , Nepal,","97761464734,97798460618339846049227,"
Incredible Himalayan Sherpa Adventure Pvt.Ltd,"Amrit Marg st. Bhagwan Bahal, Thamel, ktm,","+977-1-4411641,+9779841071023,"
Royal Indu Hotel,"Gaur 6,Rautahat (Nepal),","9865014303,,"
Zion Travel and Tour P. Ltd,"Maligaun, Ganesthan,","014446344,9849662890,"
Barahi Jungle Lodge,"Andrauli, Meghauli-1, West Chitwan, Nepal,","+977 56 695447,+977 9851093437,"
Hotel Dream City,"Paknajol marg-16. thamel, Kathmandu ,","4251256,+9779849683092,"
Jungle Safari Lodge,"Sauraha,","01-4444999,9851008399,"
KATERO,"Shantipatan, Lakeside-06,","9856026811,9856026811,"
Landmark Pokhara,"Lakeside, Pokhara, Nepal,","+977-61-463096 | +977-61-462908,+9779851206780,"
Panorama Hotel And Lodge,"Suryodaya Municipality 8, Fikkal,","027540072,9842725114,"
Thamel Hub Hostel,"Kathmandu - 26, Thamel Marg, Near Thamel House Restaurant, Bhagawati Bahal,","01-4423694,9856086123,"
The Milestone Hotel,"Chibahal Marg, Thamel,","+97715352312,+9779813553698,"
Alpine Hotel And Apartment,"Alpine Hotel and Apartment,chaksibari marg, thamel, opposite to manange hotel,","014701308,9779841920870,"
ARV Holidays Pvt. Ltd.,"7th Floor, New Road Complex, New Road, Kathmandu,","08527006665,,"
Four direction travels and tours pvt ltd.,"bharatpur hakimchowk,","+977-520449,9855083036,"
Hotel Dream City,"Paknajol marg-16, Thamel ,","+9779849683092,,"
Sauraha Nana Hotel,"Baadreni Road,","+977-56-580010,+9779802049491,"
Greedytraveller,"House no- 18, Gate no- 1, surya chandra colony, kandaghari, kathmandu, 44600,","9801018909,,"
Hotel View Bhrikuti,"Godavari, P.O. Box: 3788, Ltp,","00977-1-55605425560471,977 9841569191,"
Hotel kathmandu home nepal,"jyatha,","+97714151057,9851081173,"
MANDALA HOTEL PVT.LTD,"LAZIMPAT-2, KATHMANDU, NEPAL,","+97714001733,+9779849867202,"
The Amadablam Hotel,"Pingalasthan,","+977 1 4113712,9856086400,"
The Sunrise Hotel & Lodge,"Rolpa,","+977-86-440065440365,9867313759,"
Three Brothers Apartment & Hotel,"Lazimpat,","+977-1-4002084,+9779841227317,"
Bodhi Tree Hostel,"https://bodhitreehostel.com/,","980-2311491,980-2311491,"
Friend's Guest House,"Lalachhen, Bhaktapur, 44800,","+977-016618444,+977- 980-8515544,"
Hotel Nana Thamel,"Chaksibari Marg, Thamel,","977-1-4443701/ 4429790,,"
Hotel Peace Night,"SORAKHUTTE , P.O. Box: 25190, Ktm,","00977-1-4390140,00977 9851019046,"
Crowne Plaza Kathmandu-Soaltee,"P O Box 97, Tahachal Kathmandu,","977-1-4273999,,"
Kailash Kuti Inn Hotel & Restaurant,"Pashupati, Kathmandu,","97715241442,,"
Little Pokhara Travels & Trekking Pvt. Ltd,"Pokhara-8, Prithvichowk(Lakhanchowk),","061539896,9856056042,"
Sagarmatha Apartment Bed & Breakfast,"Milap Road, Sanepa, Lalitpur,","+977-1-5525556,+977-9813118965,"
Eco Adventure Resort,"Chitwan National Park, Sauraha,","unknown,00977 9818142142,"
Eco Home Kathmandu Hotel,"Raniban ,Kathmandu,","01-5103115,9841624252,"
Hotel Manaslu,"230 Hotel Marg Lazimpat,","+977-1-4410071441347044296714416071,,"
Nag Pukhu Guest House,"Nag Pokhari Bhaktapur - 4, Nepal.,","01-6613736,,"
Summit Trooper Treks & Expeditions Pvt. Ltd.,"Ward No. 1 Kingsway, Level 3 Landmark Apartments, Kathmandu, Nepal,","+977 14444227,+977 9851030705,"
Swiss International Hotel Sarowar,"50087, Nairobi,","+977 61 463 037,,"
Travel Mart Nepal Pvt. Ltd.,"Kathmandu Plaza,","+977-1-4168503,+9779801029321,"
Hotel Earth House,"Thamel, Bhagwan Bahal,","014418197,,"
iTravel Pvt. Ltd.,"Heritage Plaza, Kamladi, Kathmandu,","unknown,,"
Sagrmatha Darshan Pvt. Ltd.,"New Baneshwor, Kathmandu,","9851025303,,"
Traveler's Holiday Inn Pvt. Ltd,"Amrit Marg, Jyatha Thamel,","+97714248945,+97714248945,"
Grandi Travel and Tours Pvt. Ltd,"Ombahal, Newroad,","014228024,9851164290,"
Hotel Trek and Climb,"Lakeside, P.O. Box: 459, Pkr,","61-462262462800,9856021576,"
Iblues Restro,"Nayabazar Road, Pokhara 33700,","061-541639,,"
3 Rooms by Pauline,"Tanka Prasad Ghumti Sadak,","01-4221537,,"
Splendid Holidays Tours,"Baneshwor, Kathmandu, Nepal,","523350,9812683297,"
Three Sixty Travels Pvt. Ltd.,"Kathmandu,","9801304801,9801304802,"
Visa Travels & Tours (P) Ltd.,"Chabahil,","997 01 4469307,9851111719,"
Global Holidays Adventure Pvt.Ltd.,"Bhagawan Bahal Thamel, Kathmandu Nepal,","+977-1-4420009+977-1-4413551,+977-9851162503+977-9851162501,"
Hotel Nana,"Chaksibari Marg, Thamel,","+977-1-4443701/ 4429790,9841554206,"
Hotel Nana Pokhara,"Thado Pasal Path, Pokhara,","+977-61-461563,9841554206,"
Hotel Micasa,"Tridevi Marga, Thamel,","014415149,+977 9841805657,"
Mountain Delights Treks & Expedition Pvt. Ltd.,"Z street, Thamel, Kathmandu, Nepal,","+97714700190,+97714700190,"
Nana Yala Chhen,"Madan Smarak Road, Patan Dhoka, Lalitpur,","+977-1-5544910,9841554206,"
Nepal Trekkers Booking Treks and Expedition pvt.,"thamel -26 pipalboat, kathmandu Nepal ,","014430631,9849455219,"
Balaji Restaurent & Lodge,"master marga, kalanki,","9779842877439,9779801071231,"
Diana Trekking Pvt. Ltd.,"Chaksibari Marga, Thamel-26, Kathmandu ,","977-01-4700890,9779851057890,"
HOTEL DEVOTEE,"Kailali,","091521618,,"
Hotel Imperial Kathmandu Pvt Ltd,"Battisputali 9 Kathmandu,","01-4485182,9801084294,"
Hotel Happy Home P. Ltd.,"J.P. Marg, Thamel, Kathmandu, Nepal,","977 1-4244306,9818979797,"
Hotel the mirror inn,"New bus terminal butwal 11,","071548252,9847131867,"
Landmark Forest Park,"Baghmara, Chitwan National Park, Chitwan, Nepal,","+977 1-4004706+977 1-4004707,+9779851206780,"
Buddha Maya Hotel Palace Pvt. Ltd,"parsa chowk, lumbini cultural municipality, rupandehi district,nepal,","071-404078404091,,"
Chitwan Safari Camp & Lodge,"Chitwan, Chitwan National park, Sauraha,","977-056-580483,977-9851138875,"
Cosy Hotel,"Pottery square, PO box 93,","97716616333,9779841231795,"
Hotel Venus,"Bhakunde-2,","063440686,9856055545,"
Jungle World Resort,"thamel kathmandu,","056-580068,9851178989,"
"River Bank Inn, A Complete Safari Resort","Chitwan National Park, Sauraha,","056580450,9845043912,"
Hotel Swastik (P) Ltd.,"Sundhara, P.O. Box: 10044, Ktm,","00977-1-42663614232786,,"
Hotel Visit Nepal,"Thamel Z Street, P.O. Box: 13570, Ktm,","00977-1-4701384,00977-9851084535,"
Nepal Travel Guide,"Pepsicola, Swabalambi Marg,","unknown,9843397089,"
Fairfield by Marriott Kathmandu,"Tridevi Marg, KMC- 29, Thamel,","+977 1-4217999,,"
Hotel KC,"Damside,","462560462654,977 9846039865,"
Nepal Trekking Tourism,"Thamel , Kathmandu,","01-4435828,9851060947,"
Shambhu Hotel,"Koshi Barrage, Haripur","9810441295,,"
Du Nepal Inn & Lounge,"Maharajgunj,","4439532,98414524369843253333,"
Hotel Tulsi Pokhara (P) Ltd.,"14 Street, Lakeside 06,","450313452895452735,9856066655,"
HOTEL OVERSEAS AND LODGE,"Buspark,","+97757522664,+9779855027295,"
SYANGJA HOTEL,"Thadoline,Bayarghari/syangja,","9814192600,9814192600,"
TUN Travel,"Thamel, P.O. Box: 21688,","2439230898,,"
Budget Hotel Kathmandu (Hotel Blue Horizon),"Kyshermahal Marg, Thamel,","01-4413028,,"
DEURALI TRAVELS AND TOURS,"ILAM, BUSPARK,","027520228,,"
Hotel Kailash Parbat (P. ) Ltd.,"Jyatha, P.O. Box: 218, Ktm,","00977-1-5349231,+9779841784216,"
Hotel Majesty,"QPMF+2G9, Beni Jomsom Sadak,","+977-69-440057,,"
Khumjung Hotel Training Center Pvt. Ltd.,"Narayan Gopal Chowk, Maharajgung. Kathmandu Nepal ,","977-1-40161114016194,,"
HOTEL PRAKASH AND PRAKASH,"Belhiya,Siddhartha Nagar,Bhairawaha","071-418310418311,0097798044114889855064529,"
HOTEL LACOUL,"Siddhartha Nagar, Butwal/Bhairahawa,","071-525575,9810624888,"
Khaptad Paradise Village Resort,"Tikapur Municipality - 9, Kailali,","+977- 91 - 561285,+977 - 9851064813,"
New Friendly Home,"256 Lakeside Marg, Gaurighat.,","+97761461677,+9779846070587,"
Hotel Gangotri Highway,"Chitwan,","56-563201563202,9855062202,"
Hotel Mustang Holiday Inn,"Jyatha, Thamel, P.O. Box: 3352, Ktm,","00977-1-42495074249041,00977-9841347573,"
HOTEL KHUMJUNG TRAINING CENTRE,"Maharajgunj,","40161114016194,,"
Hotel Makalu,"GPO: 85, Alakhiya Road,","523054528500,,"
INFINITE TOURS & TRAVELS PVT.LTD,"P O Box 06, Thamel, Kathmandu,","01-4218271,9851179971,"
Mountain Tiger Nepal Pvt Ltd.,"Kamalpokhari,","00977-1-441400044226814420644,+977 9851033087,"
Sudha's Garden Home,"Mahankal Boudha,","9841511887,,"
Airport Hotel Kathmandu,"Sinamangal, P.O. Box: 1059, Ktm,","00977-1-446297344629744112636,,"
Aloha Inn,"Jawalakhel, P.O. Box: 7348, Ktm,","00977-1-5522796,,"
Amar Hotel,"Kalimati, P.O. Box: 3809, ktm,","00977-1-42834934278408,,"
Ambassador Garden Home,"Thamel,","00977-1-4700724,,"
Annapurna Guest House (Pvt.) Ltd.,"Thamel,","44174614420159,,"
CHITWAN PARADISE HOTEL PVT. LTD.,"Thapathali,","42587464245965,,"
Dwarika's Hotel,"Battisputali, P.O. Box: 459, Ktm,","00977-1-44794884470770,,"
Himalayan Horizon Dhulikhel,"P.O. Box: 1583, Ktm,","490002,,"
Himalayan Horizon Hotel Sun-n-Snow Pvt. Ltd.,"P.O. Box: 1583, Bkt.,","490260490296,,"
Hotel Anand,"Prithvi Chowk, P.O. Box: 170, Pkr,","520029530029,,"
Hotel Bharat (P) Ltd.,"Lake Side,","526149,,"
Hotel Cosmic Pvt. Ltd.,"Thamel, P.O. Box: 24895, Ktm,","00977-1-47004154700684,,"
Hotel Country Villa Pvt. Ltd.,"Nagarkot,","00977-1-66801286213053,,"
Hotel Encounter Nepal,"Thamel, P.O. Box: 11870, Ktm,","00977-1-4440476,,"
Hotel Florid,"Thamel,","00977-1-47010559851007463,,"
Hotel Ganesh Himal,"Chhetrapati, P.O. Box: 12547, Ktm,","00977-1-42635984243819,,"
Hotel Great Wall,"Thamel, P.O. Box: 24719, Ktm,","00977-1-425354342587689841227896,,"
Hotel Heera Plaza,"Bhanumarg, P.O. Box: 07, Birfunj,","523988,,"
Hotel Himalaya,"Kupondole Height, Lalitpur, P.O. Box: 2141, Ltp,","00977-1-5523900,,"
