Name,Address,Telephone
GLOBAL IT SUPPOERT PVT. LTD.,"Putalisadak,","42557474243455,9851060143,"
Tech Care Infosys,"Gokarneshwor-11, Namgyal Bus Park,","+97714801214,,"
S & P Computer Pvt. Ltd.,"New Road,","00977-1-4247774,9841025776,"
Kyrios,"Phulbari Complex - Shop No. 214, Boudha - 6,","014812782,98602402269851101667,"
Pokhara Total Facility Management Company PVT.LTD,"Naya bazar 9 pokhara,","061537565,9856034998,"
New A to Z Computer & Language Centre,"Bhanuchowk, JanakpurDham, Nepal,","041-527859,9844026865,"
Zen IT Hub Pvt. Ltd.,"Satdobato, Lalitpur,","+977-1-5521533,+9779849123571,"
RK electronic and crafts,"Janpath tole, Biratnagar, Nepal ,","9812327166,9812327166,"
BIG COMPUTER INSTITUTE,"Damauli, Tanahun,","065-562580,9846776817,"
Bihani Tech Pvt. Ltd.,"Mohan Marga, New Road, Narayangarh,","977-56-571259,977-9855014140,"
Dynamic IT Solution Pvt.Ltd.,"Butwal-7, Amarpath,","071-541095,9851185027,"
New Microland Computer And Suppliers,"Siraha Road, Rajbiraj,","+977-031-533722,9814747550,"
Techno Savvys,"Jaycees Chowk, Near Sadak Bivag Gate,","023-585947,97723585947,"
MEGATECH TRADE GROUP,"3rd floor, King's Way Tower, Ghantaghar,","977-1-4233501,977-9801110303,"
Computer Repair and Maintaince,"Kawasoti-10, Magarkot,","078540507,9847560762,"
Karkalo Group,"Shankhamul Road, Kathmandu, Nepal,","9847502170,9847502170,"
MICROPLUS PVT. LTD.,"160 Kumari Marga 6, Dillibazar,","01 4521032,,"
Pro Tech Enterprises,"Bagbazar 31, Kathmandu, Nepal,","01-4256699,98410180989849779758,"
WE Infotech Systems,"1,","unknown,,"
Habre Nepal,"Tara Marg, Sinamangal-9, Kathmandu, Nepal,","9849172075,,"
NASA COMPUTER SYSTEM,"Traffic Chowk,","+977-71-540514,+977-985-7033900,"
SmartChoice Technologies Pvt. Ltd.,"P.O.Box: 13162, Baluwatar,","+977-1-4414166+977-1-4414211+977-1-4414155,,"
Techno Trade Concern,"Battisputali -09, Branch Tripureshwor,","01-4222014,9841249043,"
Cloud Tech Solutions Pvt. Ltd.,"Naxal-01, Kathmandu,Nepal,","+977-01-4425136,9801147603,"
Divergent IT Tech,"101 Suryamukhi Marg,","1234567890,,"
Muin International Pvt. Ltd.,"Kupondole,","+977 1 2239988,+977 9851068979,"
Printronix Computing Solution Pvt. Ltd.,"Pako NewRoad,","014212402,9841380626,"
Unlimited Microshop,"Khicha Pokhari,","01-2011302,9841237785,"
