Name,Address,Telephone
Shera Sherpa Adventures,"Post Box - 3417 Kathmandu, Nepal,","977 980816038000977984382313,977 9808160380,"
Premier Insurance,"GPO: 9183, Ktm, Tripureshwor,","425287242595674249956+977 1 45 13 543,,"
KlientScape Pvt. Ltd,"Gairidhara,","98020005929808362580+977 1-4425513,,"
Kedia Organisation,"Alakhiya Road, P.O. Box: 50, Birgunj,","520077520078522297+977-01-5970708,,"
SHANKER GROUP,"G.P.O. Box 2513,","+977 -1-4523733+977-1-4523734+977-1-4545823,,"
Lumbini General Insurance Co. Ltd.,"New Road,","551211+977 1-4511707,,"
Prime Life Insurance,"Manakamana Marga,","+977 1-5970057+977-144 414 14+977 -01-4024071,,"
Sagarmatha Insurance Company Ltd.,"Chippledhunga,","061-535037+977-1-452904,977-9846219262,"
Lucky Group,"Tripureshwor, P.O. Box: 2337, Ktm,","00977-1-42608784260785+977 -1-4117249,,"
Jyoti Group,"Kantipath, P.O. Box: 133, Ktm,","00977-1-42254904225230+977-9801178845,,"
Greentick Nepal (P) Ltd,"4th Floor, Mahalaxmi Complex, Minbhavan, Kathmandu, Nepal,","+977-1-4620741,,"
Sunrise Bank Limited,"Birgunj (Branch),","524784524785+977 4004560,,"
Machhapuchchhre Bank Ltd.,"Jaljala Chowk,","021-440412+977 -01-5970555,,"
SANIMA BIKAS BANK LTD.,"Naxal,","44289794428980+977-01-5970033,,"
Prime Commercial Bank Ltd.,"Bagmati,","056-533240533241+977-01-4423432/3/6+977-01-4423432/3/6,,"
Nepzy,"A One Technology Pvt Ltd, 3rd floor, Alliance tower Dilli Bazzar,","4426684,9801246776,"
Jyoti Bikash Bank Ltd.,"Kamaladi, P.O. Box: 26518, Ktm,","00977-1-442755044276274437181+977-01-5970306,,"
GARIMA BIKAS BANK LTD.,"Syanja,","440015+977 01-4445424,,"
Century Commercial Bank Ltd.,"Putalisadak,","00977-1-4420982+977-1-444-5062,,"
Civil Bank Ltd.,"Kamaladi, P.O. Box: 9799, Ktm,","00977-1-42555514255523+977 -01-4251015,,"
City Express Money Transfer Pvt. Ltd.,"Ghantaghar, P.O. Box: 15142 KPC 171,","00977-1-423190042334264233812,,"
IME,"Kantipath,","42300744219467+977-1421-7600,,"
Muktinath Development Bank Ltd.,"Prithvi Chowk,","61-522786+977 -01-4168683,,"
NEPAL CREDIT AND COMMERCE BANK. LTD,"Bagbazar,","4246991,,"
Everest Bank Ltd.,"Duhabi,","540628540627+977 01-4443377,,"
Nepal Bangladesh Bank Ltd.,"New Baneshwor, P.O. Box: 9062, Ktm,","00977-1-478397247839754783976+977-01-4233780,,"
Mega Bank Nepal Ltd.,"Kantipath, P.O. Box: 26559, Ktm,","+977 01-4169250,,"
Nepal Clearing Agency,"Bagmati,","525981523958+977 -1-4255306,,"
Khetan Group,"GPO Box: 6156,","+977-1-4446400+977-1-4446401+977-1-4446402,,"
Prabhu Finance Company Limited,"Kantipath, P.O. Box: 5211, Ktm,","00977-1-42545804254581+977 1-478-8500,,"
Nepal Rastra Bank,"Sundhara,","522590+977 14419805,,"
Esewa Nepal,"Dillibazar,","00977-1-44424354424743,,"
Nabil Bank Ltd.,"Adarsh Nagar,","521476521746+977-1-5970015,,"
Rastriya Banijya Bank,"Main Road, Bhairahawa,","520136+977-1-425-2595,,"
F1 Soft International Pvt. Ltd.,"Koteshwor, P.O. Box: 8975 EPC 2626,","00977-1-2051158+977 1 4442435,,"
Bank of Kathmandu Ltd.,"Kamalpokhari,","+977-1-4414541+977-1-4437106,,"
NEPAL INVESTMENT AND SECURITIES TRADING PVT. LTD.,"Ghumti Kumari Marg,","+977-1-4495450+977-1-44480072+977-1-4228229,,"
NMB Bank Ltd.,"Chipedhunga,","061-541528+977 1-5970150,,"
Atlas Saving & Credit Cooperative Ltd.,"Kuleshwor, P.O. Box: 26526, Ktm,","00977-1-42771654277192,,"
KUNJ BIHARI KAYAL,unknown,"42236464482418,,"
Sambandha Saving & Cooperative ltd.,"Sahabhagita marg, Baneshwor,","01-4484046,,"
IME GENERAL INSURANCE LIMITED (IGI),"Narayanchour, Naxal, Kathmandu, Nepal ,","+977 01 44115104411520441173544255084425509,+977-9843214881,"
Navajeevan Cooperative Limited,"Dhangadhi-2,Kailali,","+977-91-522950,,"
Divya Mantra Saving And Credit Co-operative ltd.,"KatyayaniChowck,Baneshwor Kathmandu,Nepal,","977-01-41091534109053,9851065580,"
BG SBLC OFFERS FOR LEASE AND SALES,"London, UK,","447546769978,,"
United Finance Limited,"Bharatpur Chitwan,","056-572028571714571520,984182313498510079489849098923,"
Zenith Business Consultancy,"New Road,","9817727325,9817727325,"
BRS Neupane & Co.,"P.O. Box 8137, Naxal,","+977-1-4411314+977-1-4411910+977-1-4417371,,"
Himalayan Bank Limited,"2V6G+PRG, Tribhuvan Rajpath,","+977-51-524678,,"
NARAYANI DEVELOPMENT BANK LTD.,"Tandi Chitwan,","+977-56-560608+977-1-561258,,"
Shree Laligurans Multipurpose Cooperative Ltd.,"M8G8+QCR,","+977-1-5446180+977-1-5409012+977-1-5409101+977-1-5432855,,"
Shramjyoti Saving & Credit Cooperative Ltd.,"Bagbazar-28,","+977-01-4229680,,"
Standard Chartered Bank Nepal Limited,"R75M+2V6, Buddha Marg,","+977-25-520505,,"
Kantipur Saving & Credit Co-Operative Ltd.,"Gorkha Complex, Minbhawan, P.O.B NO. 20457,","+977-1-4106531,,"
Nagarik Lagani Kosh,"Madan Bhandari Road,","+977 1-4785319,,"
NAGARIK LAGANI KOSH (CITIZEN INVESTMENT TRUST),"Madan Bhandari Road,","+977-1-5970201,,"
Pokhara Royal Co-operative Society Ltd.,"Mahendrapul,","061-538833,,"
Prabhu Money Transfer P. Ltd.,"Sarada Sadan, Kamaladi,","+977-1-4169277+977-1-4169278+977-1-4169279+977-1-4169280+977-1-4169281,,"
Goodwill Saving & Credit Cooperative Ltd.,"Chabahil, P.O. Box: 12464, Ktm,","00977-1-44784164481746,9851123604,"
Khatapana,"Bagmati,","+9779818098098,,"
Panchashil Multipurpose Cooperative Ltd.,"Kumaripati,","00977-1-540858554085865432718,,"
Pashchimanchal Finance Co. Ltd.,"Butwal-10, Sukrapath,","541609543609,,"
NEPAL MOUNTAINEERING ASSOCIATION (NMA),"Naxal,","44345254435442,,"
Suryadarshan Saving & Credit Cooperative Ltd.,"Pkr,","534809535887,9856037946,"
ABC Securities,"Gha 2/86, Indra Chowk, Kathmandu 44600,","+977-1-590-5490,,"
C.B.I.L Capital,"Bagmati,","+977-144-177-23,,"
eBeema,"Opposite to Himalayan Airlines, Sama Marg, Kathmandu 44600,","+977 -9809829581,,"
Nepal Payment Solution,"Bagmati,","+977 1-4430980,,"
Prabhu Capital,"Prabhu Group Building, Kathmandu 44600,","+977 1-4169100,,"
RajMS & Co;Chartered Accountants,"Mitra Road C-11, Chakupat-10, Lalitpur, GPO Box: 20189, Kathmanmdu, Nepal,","00977-1-52609995260432,,"
Samsara Remit,"Kholagal Marg 2, Kathmandu 44600,","+977-1-454-1724,,"
Aawaj Saving & Credit Co operative Ltd.,"Butwal-8, Nepalgunj Road' Rupandehi Nepal,","071-541518,9847542830,"
NEW SABAL ENTERPRISES,"Changunarayan Municipality Duwakot-12,","01-6616069,9860297123,"
Prabhu Group,"P859+FMR, Kathmandu 44600,","unknown,,"
Sagun Cooperative Private Limited,"Bhimeshwor Municipality-10, Charikot, Dolakha,","+977-9844235615,+977-9844235615,"
China Trade Multipurpose Cooperative Ltd.,"Mahabaudha, P.O. Box: 25464, Ktm,","00977-1-42335494230848,,"
Hamro Paurakhi Saving and Credit Co-operative Limited,"Gangabu, P.O. Box: 20534, Ktm,","00977-1-43630379841229248,00977-9851009824,"
Nepal SBI Bank Ltd.,"R78P+347, Mahendra Path,","+977-25-530370,,"
Siddhartha Bank Limited,"Main Rd (North),","+977-21-532901,,"
ACCA Nepal,"Sanepa,","00977-1-5551126,,"
"AJJ & Associates, Chartered Accountants","Putali Sadak, P.O. Box: 7962, ktm,","00977-1-20011074238477,,"
AJJ & Associates,"Post Box No - 7962, Putali Sadak,","42384772001107,,"
Capital Saving & Credit Cooperative Ltd.,"Chhetrapati,","+977-1-4269203+977-1-4218629+977-1-4261789,,"
Crystal Multipurpose Co-operative Society Ltd.,"Tinkune, P.O. Box: 25658, Ktm,","00977-1-4480353,,"
Ishaneswor Saving & Finance Co-operative Ltd.,"Gangabu,","00977-1-43544954700040,,"
Lhotse Saving & Credit Co-operative Ltd,"Basundhara,","unknown,,"
MAHALAXMI FINANCE LIMITED (Bittiya Sanstha),"Alkhiya Road,","523271529143,,"
Mukul Saving & Credit Cooperative Ltd.,"Baluwatar,","00977-1-44356264435468,,"
Nawakantipur Multipurpose Co-operative Society Ltd.,"Gaushala,","00977-1-44988014462058,,"
Naxatra Saving & Credit Cooperative Ltd.,"New Baneshwor,","00977-1-4464270,,"
Nepal Peace Foundation,"Putalisadak,","42669164259545,,"
