Name,Address,Telephone
Holidays to Nepal Pvt. Ltd.,"Lainchaur-29,","0097714413408,009779851166779,"
Nepal Everest Trans Service Pvt. Ltd.,"Lainchour, P.O. Box: 19676, Ktm,","00977-1-4443633016922034+9779860900046,00977-9851043540,"
Nepal Auto Rental,"lazimpat,","016914720,9851061108,"
Adventure White Mountain Pvt.Ltd,"Thamel ,","+977144111982,+9779851154520,"
Kathmandu Car Rental,"Rani Devi Marg, Kathmandu, Nepal,","+97714002108,+97719851036473,"
CityMotorbike,"thamel,","+977014260211,+9779843360610,"
Nepal Auto Rental,"Lazimpat,","977-9851061108,9841038164,"
Star Transport Service Pvt. Ltd.,"Sinamangal,","01 447914401 4479075,98510 6648198511 33932,"
SuperApp,"Basundhara, Kathmandu,","9803802177,,"
Nepal Auto Rental,"Lazimpat,","+9779851061108,9851061108,"
PS Vehicle Service,"Saraswotistha Marg, Gairidhara,","00977-1-4425424,00977-9851079693,"
Aaphanta Travels and Tours,"Centerpoint, lakeside,","+977-061-467054,+977-9816647729,"
Gharbheti.com,"Mid Baneshwor, Kathmandu,","977-01-4482995,,"
Ace Transport,"Nayabazar,","977-1-4387376/7,977-9851098143,"
Biratnagar Taxi Rental,"biratnagar main road,","9807028682,,"
Skyline Holiday,"Near Bus station,","9623883366,9823883366,"
Vehicle Consult Pvt. Ltd.,"Biratnagar, Pipal Chowk,","9851166880,9851166880,"
Him Overland Service (P) Ltd.,"Thamel, P.O. Box: 7407, Ktm,","00977-1-44354544439654,,"
Blue Mountain Car Rental Service,"Thamel, P.O. Box: 8974 CPC 167,","00977-1-4438118,00977-9851050313,"
National Tours Services,"Lazimpat, P.O. Box: 8975 EPC 5736,","00977-1-44381164410130,00977-9851055083,"
Enigma Travels and Tours Inc. Reiansu Intl.pvt.ltd,"Jadibuti Kathmandu,","4990067,9860744727,"
Himalayan Mountain Bikes,"Thamel, P.O. Box: 12673, Ktm,","00977-1-4212860,00977-9849021228,"
Dawn Till Dusk Mountain Bike Trekking Pvt. Ltd.,"Thamel, P.O. Box: 19375, Ktm,","00977-1-47002864700617,,"
Dawn Till Dusk,"GPO: 19375, Ktm, Thamel,","47002864252446,,"
Lord Buddha Vehicle Tour Service (P) Ltd.,"Naxal, P.O. Box: 8975 EPC 5377,","00977-1-44244104415191,,"
Nepal Mountain Bike Tours,"Thamel, P.O. Box: 12474, Ktm,","00977-1-4701701,,"
New Buddha Vehicle Service,"Hattisar, P.O. Box: 8975 EPC 5134,","00977-1-444520544358229851024320,,"
Nine Nepal Pvt. Ltd.,"Sinamangal,","00977-1-2199999,,"
Your Vehicle Service (P.) Ltd.,"Naxal,","00977-1-44272734376991,00977-9851104148,"
BIKE HUB,"Thamel,","00977-1-9841424937,,"
Harrys Journey,"Kuleshwor,","00977-1-427957142857279851041724,,"
Himalayan Mountain Bikes,"Lazimpat,","00977-1-4442345,,"
Sahara,"Bagmati,","+977 980-380-2177,,"
New Highway Star Vehicle Service,"Kalopul, P.O. Box: 23586, Ktm,","00977-1-44626664469067,00977-9851026141,"
Buddha Transport Service (Nepal),"Gairidhara, P.O. Box: 8975 EPC 5133,","00977-1-44380144420722,,"
Clean Kantipur Vehicle Service P. Ltd.,"Durbar Marg,","00977-1-422987042231439851038403,,"
