Name,Address,Telephone
MUNCHA HOUSE,"New Road,","977-1-5535757977-1-553941442214704255479+977 1-5550877,,"
Daraz Nepal,"Kathmandu, Central Development Region,","+977 980 1292 929,,"
Big Shop Nepal,"Bhotebahal Kathmandu,","9851246802,9851246802,"
Samyak International Pvt Ltd,"Bhaktapur,","unknown,9849825407,"
Axis Investment and Development Pvt. Ltd.,"Gairigaun, Tinkune,","014494183,9851134183,"
GK&CO.KUKRI HOUSE,"Thamel-29,","977-1-4351393,977-9851015547,"
Clover,"Kamaladi apex building,","014168619,9841966259,"
Enroz Group P. Ltd: Online shopping in Nepal,"Old Baneshwor, Kathmandu, Nepal,","01-4487312,,"
RK electronic and crafts,"Janpath tole, Biratnagar, Nepal ,","9812327166,9812327166,"
Vision World,"C/o Ramit Emporium,Gaighat-2,","+97735420233,+9779852830280,"
Nplmarket,"banasthali,","9823474650,9823474650,"
Wholesalers in Kathmandu,"720 Thamel Marg,","97714418151,9818677422,"
Ex Gurkha Khukuri House,"Thamel-29,","977-1 4355032,98413178129851135201,"
Discount Pashmina,"720 Thamel Marg Kathmandu, Nepal,","4418151,9818677491,"
KTM Plaza Nepal,"Infront Of Shankar Dev Campus Putalisadak,","01-4168085,9851295154,"
RedDoko,"Kathmandu,","01-4031771,9801044204,"
YourKoseli,"Gongabu, Ganeshthan,","068521083,986762168998436132659861007803,"
Kapadaa.com,"Manbhawan Road, Lalitpur,","01-5553020,9851209952,"
New Sunflower Nursery,"Sankhamool,","+977-1-5243010,+977- 9841088993,"
Great Gurkha Khukuri - GGK,"Pyafal Line, Near HanumanDhoka,","+977-1-4219950,9841211343,"
Top Brand Nepal WSN,"720 Thamel Margh,","01-441815101-4417647,9841815891,"
Babyland,"Siddhartha Chowk,","+9779856029435,,"
Novelties International,"Durbar marg ,Woodland Hotel complex ,ward no 1,","00977-1-5328063,9843651531,"
Thanka Art Gallery,"Patan Darbar Square ,Mangal Bazar,","01 5527390,01 9851084900,"
Giftmandu,"Sumnima Marg 14, Lalitpur 44700,","+977 15574782,,"
A1 MEGA MART PRIVATE LIMITED,"Kalaiya 13 , Main Road Near kalaiya Electricity Office BARA (NEPAL),","+9779843819622,+9779843819643,"
Felt in Nepal Pvt Ltd.,"Nayabazar, Nayabazar 16 Kathmandu,","4363579,986-9006398,"
Big Apple,"Durbar Marg,","00977-1-4231154,,"
Supreme Trade Suppliers,"RTO Road, Pokhara-7,","9846279797,96177337129814195499,"
Fewa Mart,"Muni Bhairab Marga, Tinkune,","977-1-5199731,9851239244,"
SmartDoko,"Kathmandu, Nepal,","9801013311,,"
Tibetan Singing Bowls Pvt. Ltd,"Nayabazar, Kathmandu,","97714381722,9840060346,"
NEPAL TRADITIONAL CRAFTS PVT. LTD.,Lalitpur,"55279165523608,,"
Himalaya Crafts,"Narayan Arcade,","4357912,9851130425,"
Souvenir Nepal,"Bhimsensthan, P.O. Box: 7501, Ktm,","00977-1-4241612,,"
Trade Chitwan Pvt. Ltd.,"Near Indradev Cinema, Shahid Chowk, Narayangarh, Chitwan,","unknown,,"
My Shop - online shopping in Nepal,"Nakkhu, Lalitpur,","unknown,9851222136,"
Elephant House,"Babarmahal Revisited,","00977-1-2191500,,"
Nepal Laser Craft Inductries,"Gwarko,","00977-1-55401659841305606,,"
Yala Archies,"Purnachandi Road, Kumaripati,","9616779417,9616779417,"
Everest Trading House,"New Road,","424195842403374218287,,"
Giftsland Enterprises (P) Ltd.,"Nagbahal, P.O. Box: 1054, Ktm,","00977-1-5534522,,"
Heritage Nepal,"Bagbazar, P.O. Box: 7222, Ktm,","00977-1-42445534244555,,"
M. M. Gift House,"Thamel,","00977-1-4410543,,"
M. M. Gift Shop,"Bijayashwori,","00977-1-43612999851046147,,"
NATURE,"Thamel,","4423496,,"
NEUPANE AND NEUPANE PVT. LTD.,"Lalitpur, Lalitpur","5525591,,"
New Abhishek Corner,"Bishal Bazar, P.O. Box: 10528, Ktm,","00977-1-4222080,,"
NGCC Gift Gallery,"Baneshwor, P.O. Box: 5196, Ktm,","00977-1-44868264252361,,"
Patan Museum Gift Shop,unknown,"00977-1-55262715521411,,"
PATAN MUSEUM CAFE GIFT SHOP,"Krishnagalli, Lalitpur","55262715521411,,"
Rishi International,"Suraj Arcade, P.O. Box: 882, Ktm,","00977-1-42285744230209,,"
Sanjay Concern,"Yetkha Tole,","00977-1-42616084261337,,"
THE STANDA\RD NURSERY,"Bansbari,","43712674223137,,"
Elegance - The Store,"F-1, City Center, Kamal Pokhari,","00977-1-4011677,,"
Hallmark Cards & Gift Shop,"Battisputali,","00977-1-4493053,,"
Hallmark Cards & Gift Shop,"Jawalakhel, P.O. Box: 8207, Ktm,","00977-1-5543134,,"
Hallmark Cards & Gift Shop,"Khichapokhari, P.O. Box: 1414, Ktm,","00977-1-42181684240569,,"
HALLMARK CARDS AND GIFTS,"New Baneshwor,","20417819841335176,,"
LALIT IMPEX,"Khichapokhari,","42215199851090274,,"
Lhasa Gift House,"Thamel,","00977-1-4700127,,"
Mansha Devi Store,"Suraj Arcade,","00977-1-4243295,,"
Max Collection,"Main Road,","534353,,"
NATURAL FLOWER AND HERBAL PVT. LTD.,"Milanchowk,","4495671,,"
Nepal Laser Craft Ind.,"Gwarko,","00977-1-5540165,,"
New Gift Shop,"Thamel, P.O. Box: 21323,","00977-1-4265695,,"
Shree Pashupati Photo Frame Store,"New Road,","00977-1-4225784,,"
The Black Magic Flowers & Gift Shop,"Maharajgunj,","00977-1-2091312,,"
4U Gift & Card Collection,"Jawalakhel,","00977-1-5536749,,"
Variety Gift Store,"Bhotahity,","00977-1-4226337,,"
Wizard's Fresh Flower Shoppe,"Isuzu Building, Kamaladi, P.O. Box: 19524, Ktm,","00977-1-4441755,,"
Wizard's,"GPO: 19524, Ktm, Isuzu Building, Kamaladi,","4441755,,"
Wizard's Fresh Flower Shop,"GPO: 19524, Ktm, Isuzu Building, Kamaladi,","4441755,,"
WIZARD,"Kathmandu Plaza,","unknown,,"
Archies Gallery,"Khichapokhari,","00977-1-42532374221215,,"
ROOT NEPAL,"à¤¬à¤¿à¤¨à¤¾ à¤®à¤¾à¤°à¥à¤, Kathmandu 44600,","4223272,,"
Archies Gallery,"Kamalpokhari,","00977-1-4011540,,"
Classic Selection Home,"New Road,","00977-1-42661644263288 Ext. 414,,"
Allianz Pvt. Ltd.,"Jawalakhel, P.O. Box: 1414, Ktm,","00977-1-5524238,,"
ARCHIES GIFT SHOP,"Thapathali,","42121704213621,,"
B. N. Poster House,"New Road,","00977-1-4249673,,"
Classic Gift Gallery,"Chhetrapati,","00977-1-42670749803400786,,"
Classic Gallery,"Chhetrapati,","4255990,,"
JINGLE BELL,"Bagbazar,","4257539,,"
NEW NEVIES CORNER,"Khichapokhari,","4221971,,"
NOVELTIES,"Khichapokhari,","4228037,,"
Tibet Gift House,"Thamel,","00977-1-42513754478006,,"
Vista Collection,"Satghumti,","00977-1-4701558,,"
Zee Arts,"Chikanmugal,","00977-1-42522694253675,,"
Daffodils Flower Shop,"Kamaladi,","00977-1-9841253983,00977-9841628403,"
Design's Fresh Flower Shoppe,"Kamaladi,","00977-1-2011431,00977-9851016388,"
Dolakha Udhyami Koseli Ghar Sahakari Sanstha Lt.,"Dolakha,","049-42100,941026845,"
Abu & Nizam Gift House,"Chhetrapati,","00977-1-4255693,,"
ANJANA GIFT AND KITCHEN CORNER,"Mahendra Pool,","016929249846022993,,"
Archies Gallery,"Durbar Marg,","00977-1-4214068,,"
Archies Gallery,"Chipledhunga,","523058,,"
Archies Gallery,"Kamaladi,","00977-1-4244296,,"
Archies Paper Rose Shop,"Jawalakhel,","00977-1-5551074,,"
ARCHIES GALLARY,"Khichapokhari,","4221215,,"
Ardent Flower Decorator,"Tripureshwor,","00977-1-4262158,,"
A 2 Z GIFT GALLERY,"Kumaripati, Lalitpur","55540279803194472,,"
BAGMATI FLORA PVT. LTD.,"Kathmandu Plaza,","42451089841795954,,"
Baneshwor Gift House,"Battisputali,","00977-1-4486828,,"
Best Buy . Com,"Bishal Bazar,","00977-1-4242188,,"
Best Wishes,"Galkopakaha,","00977-1-4423944,,"
Bhat Bhateni Gift Collection,"Bhatbhateni,","00977-1-4426216,,"
Brass 'N Gift,"New Baneshwor,","00977-1-2040734,,"
Changes Gift Shop,"Thapathali,","00977-1-4230759,,"
CHAMALI FLOWER AND PLANTS,"Pulchowk, Lalitpur","5521199,,"
CHHATA BHANDAR,"Khichapokhari,","42275344223401,,"
Classic Poster Shop,"New Road,","00977-1-42661644263288Ext.635,,"
Classic Poster Shop,unknown,"543510544510,,"
DEHCAP,"Naxal,","4411186,,"
DIMPLE,"Thamel,","42506694256371,,"
Disney Gift Gallery,"Purano Bhansar,","00977-1-4223632,,"
DOLPHIN GALLERY,unknown,"4415702,,"
DOUBLE DORJE TIBETAN GIFT SHOP,"Thamel,","4415314,,"
Dynamic,"Gusingal,","00977-1-5549789,,"
ENIGMA STORE,"Kuleshwor,","42756839841369936,,"
EVERGREEN FLOWER CENTRE,"Tripureshwor,","4265894,,"
Forever Gift Shop,"Churchil Complex,","00977-1-9851060500,,"
FRAGRANCE,"Jawalakhel, Lalitpur","5529706,,"
Friend's World,"Kumaripati,","00977-1-9841339681,,"
Garima Gift & Flowers,"New Baneshwor,","00977-1-2040184,,"
GHUNGHAT GIFT CENTRE,"Thapathali,","4212912,,"
Gift House,"Bishal Bazar,","00977-1-42249554228116,,"
GIFT AND CARD COLLECTION,"Jawalakhel, Lalitpur","55367499841327038,,"
Greet 'n' Gift Snoopy Card Gallery,"Boudha,","00977-1-4481297,,"
Greet N' Gift,"New Road,","00977-1-4221777,,"
Greets Gifts Shop,"Lagankhel, Lalitpur","01554869498412183641,,"
GULDASTA THE GIFT SHOPPE,"Bagbazar,","4247024,,"
Handi-Gift Decor Centre,"Putalisadak,","00977-1-2001179,,"
Himaliyan Gift Centre,"Durbar Square,","00977-1-6610838,,"
H.K. STORE,"Khichapokhari,","42238334271008,,"
IRIS,"Kamaladi,","00977-1-4437315,,"
JAAZER FLORIST,"Purnachandi Road, Lalitpur","55290025529936,,"
JAYA SHREE KRISHNA PHENCHU GIFT SHOP,"Makhan,","42181769803041070,,"
Kanhaiya The Glamour,"Sundhara,","00977-1-5538579,,"
Kathmandu Poster & Gift Collection,"Yetkha,","00977-1-4259046,,"
KATHMANDU FLOWER AND GIFT CENTRE,"Tripureshwor,","4240997,,"
KIDS MAGIC KINGDOM,unknown,"44118914423466,,"
Kosheli Ghar,"Naya Bazar,","520994524994,,"
Krishna Flowers Decorators,"Tripureshwor,","00977-1-42612379841208036,,"
KRRISH,"Bishalbazar,","9841202034,,"
LA FLOURS,unknown,"4222636,,"
LOTUS ORGANIC MARKET,"Maharajgunj,","4427166,,"
Luza Fresh Flowers & Gift Shop,"Kamaladi,","00977-1-42451089851040544,,"
MAA SHAKTI GIFT AND KITCHEN,"Kalimati,","467059923022289841204823,,"
Mali Flower Shop,"Indrachowk,","00977-1-4231158,,"
MANNA JEE FLOWE DECORATOR,"Kamalpokhari,","4421697,,"
NAVEEN BOOK STORE,"Lazimpat,","4415106,,"
New Calcutta Flowers Decoraters,"Tripureshwor,","00977-1-42622444267186,,"
