Name,Address,Telephone
Vianet Communications Pvt. Ltd.,"Pulchowk,","+977 1 421 7555+977 16600188444,+977 98 0104 6410,"
Worldlink Communications Pvt. Ltd.,"Bagmati,","522634,,"
S & P Computer Pvt. Ltd.,"New Road,","00977-1-4247774,9841025776,"
FiberTel FiberNet pvt Ltd,"lamki-chuha 2 motipur,","091-540305,9865885244,"
Everest wireless network,"Jumla nepal, network,","9848333002,9802536630,"
Eastlink Technology Pvt. Ltd.,"Tripureshowr,","4226888,9851046929,"
BroadLink Networks and Communications Pvt. Ltd.,"BroadLink Tower Sanepa,","unknown,+977-980145.3020,"
Infocom Pvt. Ltd.,"3rd Floor, KK Sadan, Hattisar,","+977-1-4442391+977-1-4436459,,"
SmartChoice Technologies Pvt. Ltd.,"P.O.Box: 13162, Baluwatar,","+977-1-4414166+977-1-4414211+977-1-4414155,,"
BAGESHWORI CABLE TELEVISION/COMMUNICATION PVT. LTD.,"2JX7+HH9, Surkhet Road,","+977-81-532604+977-81-531025,,"
FIRSTLINK COMMUNICATIONS,"Jhapa,","+977-23-597003,,"
Unified Communication Pvt. Ltd.,"Damak -05,","+977-23-582120,,"
New Nepal Computer Care,"Rupani Road,","unknown,+977-9804752133,"
Otel Communication Pvt. Ltd.,"Jawalakhel, Lalitpur,","977-1-5553703,,"
RS CYBER,"kirtipur-18, town planing,","014331325,9843152515,"
I tel,"butwal , milanchowk ,","071551318,9801228569,"
SAMARI IT SOLUTION PVT. LTD.,"Kathmandu,","20033094215848,9851125789,"
Seo Company Nepal,"Kathmandu Nepal,","+007 984 55 6678,+007 984 55 6678,"
Websurfer Nepal Communication System Pvt. Ltd.,"Dhumbarahi Height,","+977 1-5199093+977-1-5970222,9801170093,"
Bhawani Secretarials,"Bijeshwori, Kathmandu, Nepal,","00977-1-42784154280578,+9779841012138,"
Hyperlink Cyber,unknown,"9847639591,,"
Reliant Techno Networking Pvt. Ltd.,"Lamkichuha -04 Baliya, Kailali","+977-166081537779801700100,,"
SUPERPRO SOLUTION,"PAKO NEWROAD KATHMANDU ,","09808694701,09808694701,"
Bajra Net Pvt. Ltd.,"Panipokhari, P.O. Box: 8974 CPC 033,","00977-1-44413624441363,,"
Capital Online Pvt. Ltd.,"Kathmandu Plaza,","00977-1-4240865,,"
COMPUTERLAND COMMUNICATION SYSTEM LTD.,"New Road,","42400054232326,,"
Dharana Cyberspace,"Boudhanath, P.O. Box: 8975 EPC 1069,","00977-1-448017744957774494178,,"
Easylink Cyber Cafe,"P.O. Box: 5273, Ktm,","00977-1-44177754418508,,"
Everest Net Pvt. Ltd.,"Jawalakhel, P.O. Box: 20422, Ktm,","00977-1-55460105544370,,"
