Name,Address,Telephone
S&S Logistic Pvt. LTD.,"Uttar Dhoka, Kholagal Marga, Kathmandu, Nepal,","+977 1 4424668+977 1 4416965,+977 9851067192,"
Namaste De Cargo Pvt. Ltd.,"Thamel Kathmandu Nepal,","014223989,9851148116,"
United Shipping & Forwarding Service P. Ltd,"Basanta Marg, House no. 351, 2nd floor, Babarmahal, Kathmandu,Nepal,","977 1 4221222/4246543,,"
SEA SKY CARGO SERVICE,"ward no 26, dolahiti,sunakothi, lalitpur,kathmandu,Nepal,","97715570460,977 98510126,"
P & O Nedlloyd (India) Pvt. Ltd. (C/o. Nepalese Agencies Pvt. Ltd.),"Kathmandu Plaza, P.O. Box: 3263, Ktm,","00977-1-42266034255676,,"
P & O Nedlloyd (India) Pvt. Ltd. (C'o. Nepalese Agencies Pvt. Ltd.),"GPO: 3263, Ktm, Kathmandu Plaza,","42266034255676,,"
IIC CONTAINERS LINE PVT. LTD.,"Pako, New Road,","42211724242114,,"
All Cargo Movers (India) Pvt. Ltd.,"New Baneshwor,","47800094784321,,"
AMERICANS PRESIDENT LINES PVT. LTD.,unknown,"44353884431053,,"
International Containers (P) Ltd.,"Durbar Marg, P.O. Box: 3166, Ktm,","00977-1-42254534248402,,"
INTERNATIONAL CONTAINERS,"Durbarmarg,","42384984248402,,"
INTERSTATE MULTI-MODAL TRANSPORT PVT.LTD.,"Soalteemode,","42714734271987,,"
Sugam Express,unknown,"unknown,,"
Micro Freight Nepal (Pvt.) Ltd.,"Thamel,","00977-1-44146579851024765,,"
Seaways Shipping (Nepal) Pvt. Ltd.,"Jyatha, P.O. Box: 8975 EPC 5164,","00977-1-4251849,,"
Nepal Road Carrier,"Bus Park Road,","unknown,+977-985-8040456,"
MARCO POLO GUEST HOUSE,"Thamel,","42279144251914,,"
OCEAN CARGO,"Thamel,","4417295,,"
Maersk Nepal Pvt. Ltd.,"Tahachal,","+977-1-4273521+977-1-4274674,,"
