Name,Address,Telephone
Target International Education Pvt. Ltd.,"Chipledhunga, Pokhara, Nepal,","+977-61-572978,+977-9856032278,"
Muse Education,"Ram Kunja, Level-1, Putalisadak,","014446077,9803999299,"
Pragya Jyoti English School,"Banasthali 15,","014277720,9851100118,"
Synaptein International Education Consultants,"Dashrath Chand Marg, Bishalnagar-04, Kathmandu, Nepal,","0097714410193,009779803033006,"
islingtoncollege,"Kamal Marg, Kathmandu 44600,","+977 9801 042 242,,"
HARI KHETAN MULTIPLE CAMPUS,"Aadarsanagar Birgunj,","526167522961,,"
Institute of Solar Technology,"Kalimati,Kuleswor ( Naya Basti ) - 14, Kathamandu, Nepal.,","977-1- 0000000,+977-9841440353,"
Swastika,"kalimati, teku,","01-4244319,9841664724,"
International Institute of Higher Studies & Research,"Maitidevi,","44118054424431,,"
London College of Business & Computing,"GPO: 14257, Ktm, Maharajgunj,","47219334721966,,"
MCRP University,"Maitidevi,","44118054424431,,"
Alpine International College,"Battisputali,","44938124481776,,"
Asian College of Higher Studies,"GPO: 2227, Ktm, Swoyambhu,","4285588,,"
Central Department of Population Studies'TU,"GPO: 12161, Ktm,","4330716433132344331324,,"
Cyber College,"GPO: 19719, Ktm, New Baneshwor,","44966114466861,,"
"Department of Ophthalmology, BPKIHS","BPKIHS, Ghopa Camp, Dharan-18, Sunsari, Nepal,","025-525555,,"
Everest Engineering College,"GPO: 6628, Ktm, Gongabu,","4358354,,"
Galaxy Global College of Hotel Management,"GPO: 4901, Ktm, Gyaneshwor,","441136244100764438201,,"
Kathmandu University School of Management (KUSOM),"GPO: 6250, Ktm, Manbhawan,","55288125533543,,"
Active Academy College,"Basundhara,","4356400,,"
Institute of Management & Technology,"GPO: 2410, Ktm,","6614909,,"
Kantipur College of Business & Management Studies,"GPO: 1251, Ktm, Kamalpokhari,","44801834434426,,"
New Summit College,"GPO: 11749, Ktm, Old Baneshwor,","44952014473672,,"
Thames Business School,"GPO: 1195, Ktm, Battisputali,","44732194472672,,"
Biswabhasa Campus,"Exhibition Road,","422671342581324228916,,"
Gandaki College of Sciences,"Lamachaur,","520398532866,,"
Gemological Institute of Nepal,"GPO: 1807, Ktm, Kupondole,","5529452,,"
Kantipur Hotel Management College,"GPO: 21132, Ktm, Buddhanagar,","47805644361746,,"
Nepal College for Computer Studies,"Gaindakot,","521788524444,,"
Sikkim Manipal University (Nepalgunj Medical College),"B.P. Chowk (H.O.),","521572529112520834,,"
Universal College of Medical Sciences (Teaching Hospital),"Paklihawa, Bhairahawa","522896523230522938,,"
Universal College (10+2 & BBS),"GPO: 10414, Ktm, Lazimpat,","44239014426855,,"
Birendra Institute of International Studies,"Jhamsikhel,","5522571,,"
Classic Int'l Academy,"Thapathali,","42620974267452,,"
Crimsom International College,"GPO: 10778, Ktm, Buddhanagar,","4783017,,"
Kathmandu Academy,"Dilli Bazar,","44101934417694,,"
Kist College of Management,"GPO: 3928, Ktm, Kamal Pokhari,","44349904434178,,"
Padma Kanya Campus,"Bagbazar,","42217124224149,,"
Sirjana College of Fine Art,"Kamaladi,","42226374247889,,"
SM College,"GPO: 19363, Ktm, Dillibazar,","44331904433334,,"
City College In Kathmandu,"Panipokhari,","44162489851033373,,"
Nepal Institute of Management & Science (NIMS),"Kupondole,","5553872,,"
School of Environmental Management & Sustainable Development,"Lazimpat,","4354321,,"
B. P. Koirala Health & Science Academy,"GPO: 7053, Ktm,","4258008,,"
EASTERN UNIVERSITY,"Biratnagar,","534800,,"
Jana Adarsha Multiple Campus,"Birendra Nagar, Chitwan,","582100,,"
Madi Campus,"Chitwan,","529360,,"
Maiya Devi Campus,"Chitwan,","524495,,"
National School of Sciences (NIST),"GPO: 8659, Ktm, Lainchour,","44237064422050,,"
Om Institute for Health Manpower Development,"Sinamangal,","4498702,,"
Rampur Campus,"Rampur,","521211,,"
Ratnajyoti Multiple Campus,"Bhagwati Bahal,","4258145,,"
Sahid Smriti Campus,"Chitwan,","560147561447,,"
Sapta Gandaki Multiple Campus,"Chitwan,","520754522558,,"
Saptagandaki Campus,"Chitwan,","520754,,"
Tehrathum Campus,"Chuhandanda,","024-420123,,"
Center Technology Campus,unknown,"unknown,,"
